year,non_ADV égales_ADJ,non_ADV légales_ADJ
1800,0.0,6.288328968651058e-09
1801,0.0,0.0
1802,8.951360541686881e-09,0.0
1803,0.0,7.801356893821776e-09
1804,0.0,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,1.1330369531492579e-08
1809,0.0,9.036122072814123e-09
1810,1.1700633351097167e-08,1.1700633351097167e-08
1811,7.521229861140455e-09,2.5070767684098882e-09
1812,0.0,8.00162425207418e-09
1813,0.0,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,1.3905623319487859e-08,0.0
1817,7.784366928831332e-09,1.556873407970727e-09
1818,0.0,0.0
1819,0.0,2.070210003424222e-09
1820,2.3732962262101864e-09,2.3732962262101864e-09
1821,9.86148829262845e-10,9.86148829262845e-10
1822,2.0051231786055723e-09,8.02049271442229e-09
1823,1.9765373782121287e-09,3.9530747564242574e-09
1824,4.210556348027694e-09,1.3473780313688621e-08
1825,1.7610886082763955e-09,1.937197424695114e-08
1826,3.5231937367541377e-09,0.0
1827,3.6869092223668076e-09,6.452091305675367e-09
1828,1.0089530988466322e-08,3.668920500743411e-09
1829,1.5431716349212365e-08,1.800366966620004e-08
1830,2.2961039292113128e-08,1.0436835840010872e-09
1831,0.0,3.1182412207897414e-09
1832,4.058990921151917e-09,1.3529969367098715e-09
1833,2.3167256557599103e-08,9.266902800675325e-09
1834,1.4001796166951408e-08,9.334531370086552e-09
1835,7.563087933704082e-09,9.832014313815307e-09
1836,6.72075017860152e-09,6.72075017860152e-09
1837,4.174734336004349e-09,6.262101948095733e-09
1838,6.943378316748294e-09,8.2058102535143e-09
1839,3.4957374772659477e-09,1.4682098203877558e-08
1840,4.458782232319436e-09,1.0191501864653674e-08
1841,6.420548537278137e-09,1.5409316489467528e-08
1842,2.0124795163667386e-09,0.0
1843,2.953455480181333e-09,7.678984559333912e-09
1844,0.0,7.683985892015244e-09
1845,7.254296274794569e-09,4.464182357111213e-09
1846,1.7563503984519002e-09,3.5127007969038004e-09
1847,9.168480197274675e-09,2.6966118227278457e-09
1848,0.0,8.04522137798358e-09
1849,1.256912263158938e-08,1.6758829879393033e-09
1850,2.7155984128057753e-09,2.0366988096043315e-09
1851,1.9348316282474798e-09,1.9348316282474798e-09
1852,1.3021090872200602e-09,6.510545436100301e-10
1853,4.180352064508952e-09,1.1943863675867306e-09
1854,5.195664454227256e-10,4.1565315633818045e-09
1855,4.2455496895854594e-09,8.491099379170919e-09
1856,1.1389816201301528e-08,4.659470143053568e-09
1857,1.2691923956253959e-08,0.0
1858,5.872411001917044e-09,9.787352039936081e-10
1859,1.629495471888731e-08,4.582956236731661e-09
1860,5.492620580582752e-09,7.781213007262977e-09
1861,9.903524222920623e-09,7.073945429425521e-09
1862,3.162590411776023e-09,2.2589932147099034e-09
1863,9.989241656072068e-10,4.994620828036034e-10
1864,6.712618905169165e-09,9.589455896019672e-10
1865,4.706844358715045e-10,2.3534221238463715e-09
1866,1.1677471434268227e-08,4.379051787850585e-09
1867,6.308654931785895e-09,1.455843445796745e-09
1868,9.87974813071446e-10,4.93987406535723e-10
1869,2.441759683335931e-09,2.441759683335931e-09
1870,5.734048791339319e-10,8.601073631098188e-09
1871,2.442870794538976e-08,1.0621176826930423e-08
1872,6.047339518033823e-09,6.047339295989218e-10
1873,1.1972008939764578e-09,8.979006871356887e-09
1874,1.1949218281515073e-09,5.974609140757536e-10
1875,0.0,4.577221712764867e-09
1876,1.209202959984168e-09,4.232210137899983e-09
1877,2.4739263970730008e-09,4.9478527941460015e-09
1878,1.2078177347163432e-09,1.2078177347163432e-09
1879,5.498392852132383e-09,3.665595160740054e-09
1880,8.343199908722454e-09,8.984985200299889e-09
1881,2.7890030285249168e-09,9.064259565150223e-09
1882,9.983077475794744e-09,6.655385131892899e-09
1883,5.0554711528150165e-09,6.319338941018771e-10
1884,4.621187876807653e-09,4.621187876807653e-09
1885,1.2891271383708158e-09,2.5782542767416317e-09
1886,3.2267319927115068e-09,6.453463874400711e-10
1887,1.3057849246322917e-09,7.1818169189441505e-09
1888,2.53624587998047e-09,6.974675947901687e-09
1889,6.265136742733546e-10,2.5060546970934183e-09
1890,3.9326319978272295e-09,3.2771931834929546e-09
1891,5.736798147637501e-09,3.824531802365527e-09
1892,4.199903358426127e-08,1.2537024751679837e-09
1893,8.621783287310336e-09,5.542574843531156e-09
1894,1.3233232287745977e-08,1.2603078580752936e-09
1895,6.6204757231957956e-09,6.018614495673091e-10
1896,4.1279202278587945e-09,5.897029087265082e-09
1897,4.078699600285063e-09,1.7480140668268973e-09
1898,5.092519295146758e-09,4.52668391659472e-09
1899,5.527578395003729e-10,1.0502398950507086e-08
1900,5.19105292084987e-09,2.595526460424935e-09
