year,mon_DET latin_NOUN
1800,2.2009152278457123e-08
1801,6.667311192032344e-08
1802,5.147032311469957e-08
1803,3.705644635587646e-08
1804,1.0381774151468903e-07
1805,1.9900143755080535e-08
1806,6.916005812485082e-08
1807,5.124519208976608e-08
1808,3.3991110814923786e-08
1809,5.873479480555943e-08
1810,1.0062544930633521e-07
1811,3.008492166500787e-08
1812,3.200649700829672e-08
1813,4.3136125782439194e-08
1814,3.776012391654149e-08
1815,5.1247248222807684e-08
1816,1.1588019432906549e-08
1817,5.293369387260327e-08
1818,8.34482414280302e-08
1819,3.2088255608186955e-08
1820,9.493185171294272e-08
1821,7.198886697867835e-08
1822,6.717162648328667e-08
1823,6.423746334860425e-08
1824,8.336901569094834e-08
1825,4.0505036658089466e-08
1826,4.492072047668216e-08
1827,5.069500286225548e-08
1828,5.503380617888354e-08
1829,7.973053844922973e-08
1830,1.0436835684579648e-07
1831,6.54830623059155e-08
1832,5.411987613612723e-08
1833,5.444305384294523e-08
1834,7.187588901835795e-08
1835,4.764745398233572e-08
1836,9.476257573082236e-08
1837,5.148839177238074e-08
1838,6.501526783608824e-08
1839,4.4046294611632675e-08
1840,5.47793227445581e-08
1841,6.163726862240537e-08
1842,4.360372285461267e-08
1843,4.430183153658618e-08
1844,3.567564732520623e-08
1845,4.631589139991732e-08
1846,3.16143069500896e-08
1847,5.555020354819362e-08
1848,4.505324063819316e-08
1849,2.9327951622803994e-08
1850,5.5669765686161554e-08
1851,5.482023057723495e-08
1852,4.882908899439542e-08
1853,4.717826085354204e-08
1854,7.066103835384752e-08
1855,4.5108965451845506e-08
1856,5.953767451272185e-08
1857,5.272029662828359e-08
1858,6.117095358026958e-08
1859,5.75415579628924e-08
1860,4.0279219154504275e-08
1861,4.998921454557603e-08
1862,1.0255828908345421e-07
1863,6.343168623690332e-08
1864,5.178306206055083e-08
1865,6.87199245286152e-08
1866,6.03336010596145e-08
1867,4.707226963773792e-08
1868,6.4218362849644e-08
1869,7.325278605918584e-08
1870,5.390005686223276e-08
1871,7.328612294799086e-08
1872,6.47065289127724e-08
1873,7.961386172539164e-08
1874,4.719941060216115e-08
1875,4.520006419150846e-08
1876,7.920279188056156e-08
1877,5.442638217889595e-08
1878,4.28775279726068e-08
1879,4.0932478073685274e-08
1880,8.022308106703235e-08
1881,6.066081531530543e-08
1882,4.7253234880528794e-08
1883,5.245051287738889e-08
1884,7.195849782704045e-08
1885,6.123354023834793e-08
1886,4.969167122226281e-08
1887,3.1991731930247624e-08
1888,6.08699022297543e-08
1889,4.1349900836706865e-08
1890,3.408280907502004e-08
1891,4.143243170773303e-08
1892,4.952124732504615e-08
1893,3.818218330398082e-08
1894,5.2932931149385354e-08
1895,3.671354686929362e-08
1896,5.543207154401486e-08
1897,3.8456308804057926e-08
1898,7.12952740178352e-08
1899,5.969784666604028e-08
1900,4.671947972934021e-08
1901,3.912117213511479e-08
1902,1.915010727771005e-08
