year,bien_ADV latin_ADJ
1800,1.8864987794131594e-08
1801,2.3811825844433088e-09
1802,4.475680270843441e-09
1803,4.290746247193056e-08
1804,6.673997887673977e-08
1805,2.55858996212055e-08
1806,2.881669125542885e-09
1807,2.8469551160981155e-09
1808,0.0
1809,2.25903047379461e-08
1810,2.3401266702194334e-08
1811,1.2535384286138651e-08
1812,3.7340914360584065e-08
1813,1.1502966579257645e-08
1814,0.0
1815,1.3486118000116676e-08
1816,1.1588019432906549e-08
1817,4.203558034987509e-08
1818,1.668964877410417e-08
1819,1.5526575580793178e-08
1820,2.0173018810965004e-08
1821,1.676452932031225e-08
1822,2.2056354964661296e-08
1823,5.237824041159911e-08
1824,1.0105335235266466e-08
1825,9.68598712347557e-09
1826,2.025836387531399e-08
1827,4.608636583469661e-09
1828,2.5682442839070063e-08
1829,2.8291481157793896e-08
1830,2.1917355041978226e-08
1831,3.1182412207897414e-09
1832,1.7588959622116818e-08
1833,1.1583628278799551e-08
1834,1.7735608537350345e-08
1835,3.100866052818674e-08
1836,2.4866775305554256e-08
1837,2.1569462660409044e-08
1838,3.5348108440302894e-08
1839,1.8177836125232716e-08
1840,7.0066574764382494e-09
1841,6.420548537278137e-09
1842,2.4149754196400863e-08
1843,1.6539351221922516e-08
1844,1.0428266250528395e-08
1845,2.0646844234306627e-08
1846,2.9272506196775794e-08
1847,7.011190739092399e-09
1848,8.04522137798358e-09
1849,7.54147322368226e-09
1850,1.2899092460827433e-08
1851,1.1608989325395669e-08
1852,1.9531636752390114e-08
1853,5.971931837933653e-09
1854,9.352196350675968e-09
1855,4.2455496895854594e-09
1856,1.2425253714809514e-08
1857,1.9037885934380938e-08
1858,1.2234189661342043e-08
1859,1.5276519604867644e-08
1860,1.2816115280145368e-08
1861,1.0846716413936974e-08
1862,8.584174260306554e-09
1863,1.8480097452311384e-08
1864,1.582260189536555e-08
1865,1.2708479601997169e-08
1866,9.244664589402873e-09
1867,5.338092634588065e-09
1868,9.87974857480367e-09
1869,1.5138908793232986e-08
1870,2.064257564882155e-08
1871,5.3105884134652115e-09
1872,2.4189357183956872e-09
1873,9.577607151811662e-09
1874,1.6131444624534197e-08
1875,4.005069165202713e-09
1876,5.441413541973361e-09
1877,1.1132669008873108e-08
1878,9.662541877730746e-09
1879,8.55305515301552e-09
1880,2.2462462112571302e-08
1881,1.743126887276958e-08
1882,5.324308105514319e-09
1883,1.2638677659992936e-08
1884,9.242375753615306e-09
1885,2.0626034213933053e-08
1886,1.8069698626277386e-08
1887,8.48760173255414e-09
1888,1.4583413587843097e-08
1889,8.771191772893872e-09
1890,5.243509182406569e-09
1891,1.6572972327821844e-08
1892,6.8953633913793055e-09
1893,1.4164357686752282e-08
1894,1.5123694296903523e-08
1895,1.023164486468886e-08
1896,1.1204354777305525e-08
1897,1.8645483379486905e-08
1898,1.2448380992680086e-08
1899,2.2110313580014918e-08
1900,1.0901211489056095e-08
1901,4.470991132876634e-09
1902,7.365425602756659e-09
1903,1.2420506401156217e-08
1904,1.827372564378038e-08
1905,2.167518786677647e-08
1906,1.800464666246171e-08
1907,1.0799970695529737e-08
1908,7.858222517143076e-09
1909,1.0451868703853506e-08
1910,1.870452770447173e-08
1911,1.4365010514438836e-08
1912,1.3023552902780011e-08
1913,9.545381374209683e-09
1914,5.357394972094198e-09
1915,7.068456930880984e-09
1916,1.648119329900055e-08
1917,3.289927441585405e-09
1918,1.1486376294556067e-08
1919,2.025726608678724e-08
1920,1.3630017114962811e-08
1921,1.3630945261411398e-08
1922,1.1804696775641332e-08
1923,2.0170300985000722e-08
1924,1.5469948877466777e-08
1925,6.598906754362588e-09
1926,1.114613823460786e-08
1927,8.919379901328739e-09
1928,1.3711249025050165e-08
1929,1.1140405931087116e-08
1930,1.1553964007759987e-08
1931,1.4826963656844327e-08
1932,2.1919073223131136e-09
1933,8.02946331646126e-09
1934,2.516131836216573e-08
1935,1.6755597798123745e-08
1936,9.699771652549316e-09
1937,7.554670666820584e-09
1938,9.075650453382877e-09
1939,1.8352860564618823e-08
1940,1.2678914806940611e-08
1941,2.066051862925633e-08
1942,2.4273694165799498e-08
1943,5.806470415592457e-09
1944,1.2852744646352221e-08
1945,1.9606536838523425e-08
1946,8.352662561605939e-09
1947,1.1920870957027319e-09
1948,5.435944139264848e-09
1949,1.0798709482173763e-08
1950,5.317680518146517e-09
1951,1.5992101864981123e-08
1952,3.1634410646574906e-09
1953,1.1851209791302608e-08
1954,9.772536557761669e-09
1955,6.569925492527773e-09
1956,4.360570571293465e-09
1957,8.835037590415595e-09
1958,6.617794756635931e-09
1959,7.750747599288843e-09
1960,1.314958364417862e-08
1961,1.042223907177231e-08
1962,1.331810839388936e-08
1963,1.3578711488548834e-08
1964,1.3384730657151067e-08
1965,2.134096988015699e-08
1966,1.7725039214155913e-08
1967,1.6763140209263838e-08
1968,8.982831367632116e-09
1969,8.175163657142548e-09
1970,1.103694025061941e-08
1971,1.644287195290417e-08
1972,1.2312352026810913e-08
1973,9.37244681864513e-09
1974,9.563471792262135e-09
1975,9.709516746170266e-09
1976,6.8562320265641574e-09
1977,1.1165885105413054e-08
1978,1.0693064211864112e-08
1979,8.192762912528906e-09
1980,8.527726080842513e-09
1981,8.223214109648325e-09
1982,8.690503427999374e-09
1983,6.315316269933646e-09
1984,9.278413592994639e-09
1985,1.3835783185811579e-08
1986,8.392279760016663e-09
1987,5.49973533381376e-09
1988,1.3792074149421296e-08
1989,6.036934507847036e-09
1990,8.172976073694826e-09
1991,8.20605094986604e-09
1992,1.1019888113139586e-08
1993,9.416652346772025e-09
1994,1.793475057354499e-08
1995,8.133675954979935e-09
1996,1.014237493990322e-08
1997,1.006927874414032e-08
1998,9.059445638115449e-09
1999,1.0511462811280126e-08
2000,1.1045078629479121e-08
2001,8.762423675534592e-09
2002,1.0953053575235572e-08
2003,9.58392298855415e-09
2004,1.0571499231559756e-08
2005,3.1526248278623825e-09
2006,7.000412693969338e-09
2007,4.7933754743212376e-09
2008,8.089135583588813e-09
2009,6.198650481792356e-09
2010,6.613310343794865e-09
2011,4.206369030868018e-09
2012,6.127654827992046e-09
2013,4.183687618564136e-09
2014,6.279790909502481e-09
2015,5.319781060109108e-09
2016,4.556948152156792e-09
2017,3.5218559180094644e-09
2018,2.581466596041082e-09
2019,7.1427654901867754e-09
