year,en_ADP armes_NOUN,en_ADP larmes_NOUN
1800,1.8959311773869558e-06,4.2037477214762475e-06
1801,3.540818397596013e-06,4.455192538443953e-06
1802,3.318716835565283e-06,4.567431915347697e-06
1803,3.0132741812849417e-06,4.265391908120364e-06
1804,1.7204082496391493e-06,5.166168648429448e-06
1805,1.924628122651484e-06,4.306959908717545e-06
1806,1.9854701349686366e-06,3.9248334360308945e-06
1807,2.9437514967867173e-06,3.0377011626114836e-06
1808,2.358983010708471e-06,3.2359537271986483e-06
1809,2.2816209366283147e-06,4.1430621422478e-06
1810,1.8065778704112745e-06,4.174786226940341e-06
1811,2.4845130610628985e-06,3.868419298669323e-06
1812,1.5149743148867856e-06,2.9179257126088487e-06
1813,1.509764388174517e-06,4.304985395719996e-06
1814,4.034040102851577e-06,3.6501455724646803e-06
1815,3.468629529379541e-06,3.06944048134028e-06
1816,2.1623243355861632e-06,3.1867052712186705e-06
1817,3.095064357694355e-06,3.848590949928621e-06
1818,3.6359590467327507e-06,3.897032911481801e-06
1819,4.387809894979e-06,3.840239514829591e-06
1820,5.989013061480364e-06,3.858979653159622e-06
1821,3.6941135022061644e-06,3.69214126294537e-06
1822,4.038317911181366e-06,3.421742803766392e-06
1823,6.743945505149895e-06,3.886860667989822e-06
1824,5.914147550356574e-06,3.872027718898607e-06
1825,6.002670488669537e-06,4.533042101684259e-06
1826,9.073985893337522e-06,3.293305326224072e-06
1827,4.826164058613358e-06,2.9707271096413024e-06
1828,4.306395567255095e-06,3.1983813642000314e-06
1829,3.500427737890277e-06,3.4858533126680413e-06
1830,4.005657501693349e-06,3.466073167146533e-06
1831,3.4269471598236123e-06,3.782426574616693e-06
1832,3.5922068946092622e-06,3.7680965760955587e-06
1833,3.4820386645151302e-06,3.5689158721652348e-06
1834,5.70246493225568e-06,3.1074653179530287e-06
1835,6.702408427372575e-06,3.5364998893783195e-06
1836,6.920356554473983e-06,3.445056563577964e-06
1837,5.8063601500180084e-06,3.5457412650430342e-06
1838,7.635190740984399e-06,3.0386747766897315e-06
1839,5.122653874423122e-06,3.0056351079110755e-06
1840,5.651824722008314e-06,2.7689036414813017e-06
1841,4.249119228916243e-06,2.81733673546114e-06
1842,5.654396773024928e-06,3.472197931841947e-06
1843,4.572539637592854e-06,3.372255605427199e-06
1844,5.208644779486349e-06,3.3436315334256506e-06
1845,4.59699185739737e-06,3.305726977487211e-06
1846,4.358090791356517e-06,2.90090542875987e-06
1847,4.043299668410327e-06,2.8109482173022116e-06
1848,4.8287420213455334e-06,2.3837992557673715e-06
1849,4.320426342019346e-06,2.5490180632914416e-06
1850,4.813398390979273e-06,3.1344793569587637e-06
1851,4.385618467495078e-06,2.632660880408366e-06
1852,3.412827936699614e-06,2.9388602342805825e-06
1853,3.713347268785583e-06,2.8874289910163498e-06
1854,4.384621206554584e-06,3.0737551242054906e-06
1855,3.315774392831372e-06,3.3470853395556333e-06
1856,3.2895859476411715e-06,2.988791266034241e-06
