year,on_PRON avait_VERB,on_PRON lavait_VERB
1800,2.1204245058470406e-05,7.231578402766559e-08
1801,2.381658805461484e-05,7.857902772911984e-08
1802,1.6589109236520017e-05,8.056224487518193e-08
1803,1.9548249838408083e-05,4.095712347051972e-08
1804,2.5830842787399888e-05,4.943701803483691e-08
1805,2.169115714423242e-05,5.685755422035754e-09
1806,2.116585983458208e-05,4.610670600868616e-08
1807,3.0798360057815444e-05,5.124519120158766e-08
1808,2.049890554189915e-05,1.5862517965814504e-08
1809,2.473638460287475e-05,3.162642814302785e-08
1810,2.3324043922912097e-05,2.106114127542469e-08
1811,2.7414883788878797e-05,5.766276700569506e-08
1812,2.958734194180579e-05,9.068508255438701e-08
1813,3.502653407849721e-05,1.4378708224072057e-08
1814,3.409109967833501e-05,2.8320093825584536e-08
1815,3.533632661856245e-05,2.6972236000233352e-08
1816,3.0522843644575914e-05,1.8540831092650478e-08
1817,3.3664272905298276e-05,4.0478708829283505e-08
1818,3.383826106073684e-05,7.271918089912788e-08
1819,3.461184132902417e-05,4.6579724966022695e-08
1820,4.019533207610948e-05,1.5426425470366212e-08
1821,4.172987428319175e-05,8.579494803484522e-08
1822,4.363248353911331e-05,6.115625694746996e-08
1823,4.5109522943675984e-05,4.249555374258307e-08
1824,4.225630073051434e-05,3.621078370485975e-08
1825,4.089335743628908e-05,9.245715304473379e-08
1826,4.126452677155612e-05,5.372870370834448e-08
1827,4.4261345465201885e-05,5.899054711377971e-08
1828,4.394908046378987e-05,6.879225811218248e-08
1829,4.9737279368855525e-05,6.172687055938653e-08
1830,4.7767310206836555e-05,1.0541204353842204e-07
1831,4.297404029784957e-05,5.768746369483324e-08
1832,4.578541756927734e-05,4.464889746813583e-08
1833,4.7045748033269774e-05,8.10853997279537e-08
1834,4.8160579353861976e-05,6.534171603789218e-08
1835,4.2532538827799726e-05,1.3084142125308063e-07
1836,4.057585647387896e-05,7.997692552663693e-08
1837,4.544755211099982e-05,9.045258408946211e-08
1838,4.6975109398772474e-05,4.418513288584336e-08
1839,4.434762649907498e-05,7.620707975775076e-08
1840,4.988676664652303e-05,5.796416857606346e-08
1841,4.4753790461982135e-05,8.860356981443829e-08
1842,4.941375027556205e-05,5.500777522371436e-08
1843,4.324154360801913e-05,7.560846171372759e-08
1844,5.063142907602014e-05,8.068184964571401e-08
1845,5.489102841238491e-05,7.086889652896389e-08
1846,4.982941663911333e-05,1.1357732709882384e-07
1847,5.135589526616968e-05,5.608952680091761e-08
1848,4.630829698726302e-05,4.344419668456112e-08
1849,5.085131579107838e-05,1.2736710353067338e-07
1850,4.583319150697207e-05,4.8880769654147116e-08
1851,4.833338243770413e-05,7.35236005411366e-08
1852,4.093700772500597e-05,3.971432893656868e-08
1853,4.219289348839084e-05,6.808002162017601e-08
1854,3.966422264056746e-05,4.9358812148625475e-08
1855,4.429434920893982e-05,6.421393905498007e-08
1856,4.318707669881405e-05,4.193523128748211e-08
1857,4.5339455937210005e-05,7.810414359710194e-08
