year,mon_DET égal_ADJ
1800,7.545994984425874e-08
1801,9.28661236798689e-08
1802,1.0070280609397742e-07
1803,1.2872238985828233e-07
1804,1.359518080334965e-07
1805,1.421438824422694e-07
1806,5.76333825108577e-08
1807,9.11025637151397e-08
1808,5.6651849433819734e-08
1809,5.873479480555943e-08
1810,5.148278958699848e-08
1811,4.262030373070047e-08
1812,1.600324992523383e-07
1813,9.489947672136623e-08
1814,3.1466772298927026e-08
1815,1.2407228666688752e-07
1816,5.7940098940889584e-08
1817,1.0586739307427706e-07
1818,7.27191817873063e-08
1819,1.1800197086131448e-07
1820,8.543866147903145e-08
1821,8.08642042215979e-08
1822,1.2933044502005941e-07
1823,8.795591099897138e-08
1824,1.018954636222702e-07
1825,8.189061873054015e-08
1826,6.870227764466108e-08
1827,7.465990847776993e-08
1828,8.530240336313e-08
1829,9.173298565201549e-08
1830,9.706257486641334e-08
1831,1.2472965238430334e-07
1832,7.982682170837307e-08
1833,7.066013663070692e-08
1834,7.000897994657862e-08
1835,5.8235777089521434e-08
1836,6.989580070282386e-08
1837,7.375364396988715e-08
1838,8.39517539930057e-08
1839,5.8029243632518046e-08
1840,6.81556670545369e-08
1841,6.548959419205858e-08
1842,5.9032732480091e-08
1843,4.4892525363771085e-08
1844,3.951764165899263e-08
1845,5.30121653241622e-08
1846,3.9225159342848315e-08
1847,4.853901369727964e-08
1848,1.247009322469239e-07
1849,5.027649052635752e-08
1850,5.0917471128286707e-08
1851,7.610337604546658e-08
1852,3.5156944022674e-08
1853,4.359510086260343e-08
1854,4.5721847474755606e-08
1855,4.0332722051061864e-08
1856,5.0736453260924463e-08
1857,6.10188624072805e-08
1858,4.3553715300959084e-08
1859,6.976277688863775e-08
1860,6.545373310018476e-08
1861,6.225072013421595e-08
1862,3.975828022362293e-08
1863,7.941446789061501e-08
1864,6.856460998960756e-08
1865,6.354240078554341e-08
1866,5.352174170525359e-08
1867,5.435148864307848e-08
1868,8.694178244006423e-08
1869,5.030024585739312e-08
1870,5.103303379883073e-08
1871,4.779529660936532e-08
1872,4.4750310013164096e-08
1873,4.8486637260758414e-08
1874,3.704257733883054e-08
1875,5.721527074342703e-08
1876,3.143927784776679e-08
1877,7.916564215282307e-08
1878,4.106580131502113e-08
1879,4.826366861720999e-08
1880,3.8507078414795615e-08
1881,2.5101027534280007e-08
1882,2.5956001792337702e-08
1883,4.044376922252013e-08
1884,3.300848305798354e-08
1885,2.4493415351489745e-08
1886,2.5813855941692054e-08
1887,4.961982785767205e-08
1888,2.7898705345918984e-08
1889,2.944614330147033e-08
1890,2.621754602305515e-08
1891,2.42220359325529e-08
1892,2.5700900740943666e-08
1893,2.4017824173938607e-08
1894,2.3945848415252158e-08
1895,5.356566745717828e-08
1896,3.892039046604623e-08
1897,2.9133568446582103e-08
1898,3.168678830434146e-08
1899,2.432134493801641e-08
1900,3.218452870878963e-08
1901,2.2913829056392387e-08
1902,2.553347577816112e-08
1903,3.0241231741001684e-08
1904,2.1498501645567103e-08
1905,2.683594746422102e-08
1906,2.7264178192876187e-08
1907,2.674278576364486e-08
1908,2.9959473124563374e-08
1909,2.9705311987981986e-08
1910,3.7943468811363346e-08
1911,2.553779587799454e-08
1912,1.7191090051493774e-08
1913,3.075734156254839e-08
1914,2.8795998474606677e-08
1915,1.4136913861761968e-08
1916,3.735737053034427e-08
1917,3.61891991929042e-08
1918,2.2972752589112133e-08
1919,3.591060959706738e-08
1920,4.316171953178127e-08
1921,1.6660044011018726e-08
1922,3.9840852839034824e-08
1923,3.3971033985835675e-08
1924,4.640984840875717e-08
1925,4.8391981977147225e-08
1926,2.7865345586519652e-08
1927,5.686104742608222e-08
1928,2.8565102283550914e-08
1929,4.0105462062456354e-08
1930,3.151081173768944e-08
1931,3.5356606531422585e-08
1932,3.507051715700982e-08
1933,2.6382522833046096e-08
1934,5.2718952758823434e-08
1935,4.188899360713094e-08
1936,1.6974599503782883e-08
1937,4.28098014815248e-08
1938,4.408173026604345e-08
1939,3.364691103513451e-08
1940,4.81798743123818e-08
1941,1.4757512545315876e-08
1942,2.1239483061208375e-08
1943,2.6129116648121453e-08
1944,3.213186161588055e-08
1945,3.0499055725385915e-08
1946,5.4292307538617024e-08
1947,5.4836007734593295e-08
1948,7.17544597073072e-08
1949,3.534122838821929e-08
1950,3.93508372553697e-08
1951,2.985192459892261e-08
1952,3.374337254058446e-08
1953,2.8011951092032916e-08
1954,5.1794440736330216e-08
1955,3.754243049769457e-08
1956,3.314033847345854e-08
1957,3.092263267667761e-08
1958,4.797901081987632e-08
1959,4.030388878195623e-08
1960,3.3220001471878646e-08
1961,3.8214875874853504e-08
1962,3.868593556610733e-08
1963,3.36234755593523e-08
1964,2.92030486459538e-08
1965,3.447387203481256e-08
1966,3.434226480969471e-08
1967,3.993571850990918e-08
1968,3.7727894114381044e-08
1969,2.7250547540713654e-08
1970,3.816941651635375e-08
1971,3.7510300643361916e-08
1972,4.206720438659772e-08
1973,3.142526239230392e-08
1974,2.8690415376786405e-08
1975,2.3988217634496323e-08
1976,4.1708744680235554e-08
1977,1.763034590540613e-08
1978,2.1386128423728223e-08
1979,3.394144487689488e-08
1980,2.7857238404926932e-08
1981,3.0995193578409186e-08
1982,5.462602092887181e-08
1983,3.0313516474755886e-08
1984,3.479405263906443e-08
1985,2.767156781491309e-08
1986,2.997242726232585e-08
1987,3.299841111470414e-08
1988,1.9188972188999287e-08
1989,4.116091512074149e-08
1990,4.35892069106103e-08
1991,2.8721180100887977e-08
1992,3.30596639508407e-08
1993,3.988229418938616e-08
1994,3.1122066479483124e-08
1995,2.0063067651676647e-08
1996,1.8149513669740713e-08
1997,3.0207834678108725e-08
1998,2.9085588382216088e-08
1999,4.387393107152526e-08
2000,2.2531960297555997e-08
2001,3.066848161537017e-08
2002,2.847793945104371e-08
2003,4.541946130309782e-08
2004,3.479785243287736e-08
2005,3.287737215806885e-08
2006,3.170775392247194e-08
2007,4.3140379102357684e-08
2008,3.193079772811913e-08
2009,2.9562792658310855e-08
2010,3.164941375644048e-08
2011,3.4798146530956586e-08
2012,5.651059631350819e-08
2013,6.638117699964141e-08
2014,8.596817431538728e-08
2015,7.669351057004725e-08
2016,7.456824163698528e-08
2017,9.156825098166621e-08
2018,7.7185857039197e-08
2019,9.566204095534658e-08
