year,en_ADP âme_NOUN,en_ADP ame_NOUN,en_ADP lames_NOUN
1800,6.288328968651058e-09,1.446315653907959e-07,3.3956977283366996e-06
1801,1.904946067554647e-08,2.0478170359439218e-07,4.0003866672577715e-06
1802,2.0140561218795483e-08,7.832440473976021e-08,1.895450651545616e-06
1803,4.290746247193056e-08,9.751695762005852e-08,3.0639828239031885e-06
1804,1.4831105232815389e-08,2.4471323856189997e-07,1.8786066675602342e-06
1805,2.842877711017877e-09,1.3645813323748257e-07,1.1883229191766986e-06
1806,1.2679343797117326e-07,2.0748018414451508e-07,1.7779898211500722e-06
1807,8.540865792383556e-09,2.7046074890790806e-07,3.0576297831430566e-06
1808,9.064295980465431e-09,2.6286459053892486e-07,1.4480212655598734e-06
1809,1.3554183553310395e-08,1.6716825657070444e-07,2.6069213276969094e-06
1810,1.6380887757350138e-08,1.8487000863487424e-07,1.4906607930242899e-06
1811,7.270522672797597e-08,9.777599307980722e-08,2.0382533421070548e-06
1812,1.3336041604361526e-08,8.268345785822362e-08,2.1844434741069563e-06
1813,6.039057609541487e-08,7.189354045422647e-08,1.8203444369646604e-06
1814,4.405347908686963e-08,1.5733386149463513e-07,1.944646555784857e-06
1815,4.045835311217161e-08,2.886029148996272e-07,1.046522697834007e-06
1816,3.9399267848239106e-08,1.3442102897442965e-07,1.8726238977251342e-06
1817,9.029865566390072e-08,8.25142891791586e-08,1.9694448862850322e-06
1818,8.344824209416402e-08,9.775365494846255e-08,1.7238022491650185e-06
1819,1.625114833814223e-07,1.1800196819677922e-07,1.3663386516649112e-06
1820,9.374520004712394e-08,2.0054353644383127e-07,1.0240772780889529e-06
1821,1.370746929296729e-07,1.4989461838421647e-07,9.565643601661122e-07
1822,1.1529458276982041e-07,1.6141241587774857e-07,1.3213762173336363e-06
1823,8.103803139647425e-08,1.7195875101627678e-07,1.2116173770948535e-06
1824,5.726356633317664e-08,1.1200079974571509e-07,1.5040107328445629e-06
1825,9.509878395874694e-08,1.673034146776331e-07,1.140304872748743e-06
1826,1.0041102171953753e-07,1.444509369896707e-07,1.0684085509637953e-06
1827,4.7929820112813104e-08,1.281200947556016e-07,1.224975562763575e-06
1828,1.1740545602378916e-07,1.1190207738209779e-07,1.1942335760295464e-06
1829,6.858540757548326e-08,1.0287811458287166e-07,1.26197156902208e-06
1830,1.2106730196137505e-07,1.1376150732544943e-07,1.370356550012275e-06
1831,7.483778574624012e-08,1.683850194833525e-07,1.353316653185388e-06
1832,7.035583848846727e-08,1.339466928484967e-07,1.265052150145607e-06
1833,6.950177322551099e-08,1.297366415409229e-07,1.376135060127126e-06
1834,6.347480763224667e-08,9.987947935385932e-08,1.138812817824686e-06
1835,7.941242330389287e-08,1.096647750387092e-07,1.3719441298576385e-06
1836,1.424799052074377e-07,2.3522625891558846e-07,1.0497811373522126e-06
1837,1.4541991610883542e-07,1.0228099567299864e-07,1.1696214927692239e-06
1838,1.1993107307262107e-07,6.880256608887692e-08,1.0995786077216962e-06
1839,9.508406151326199e-08,1.531133128063189e-07,9.473448621122316e-07
1840,1.5733131419892743e-07,5.860113594380323e-08,8.032177262751183e-07
1841,1.2327453191574023e-07,4.558589505876398e-08,1.0670951122726535e-06
1842,1.9923547256439633e-07,8.519496930148307e-08,7.989543453490455e-07
1843,1.7779802874429151e-07,6.143187414320295e-08,1.0124446134796017e-06
1844,2.2503100632897954e-07,2.5796237368425068e-08,8.134047977392811e-07
1845,2.0758447760726995e-07,3.9061595735745414e-08,7.85696074867559e-07
1846,2.3066735366228386e-07,3.80542584110799e-08,9.689199140794358e-07
1847,1.7042586364368617e-07,2.2651539310913904e-08,8.882639539464776e-07
1848,1.4803208414626567e-07,2.1722098675347468e-08,1.009675269614263e-06
1849,1.0977033326753372e-07,3.016589333881825e-08,6.913017438492375e-07
1850,1.6904600386169477e-07,4.480737558765213e-08,9.56569578214328e-07
1851,1.902584472190938e-07,3.1602249261908355e-08,1.0067574294225778e-06
