year,non_ADV latin_ADJ
1800,3.144164484325529e-09
1801,0.0
1802,0.0
1803,0.0
1804,4.943701892301533e-09
1805,5.685755422035754e-09
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,4.6352077731626196e-09
1817,6.227493631882908e-09
1818,1.1921177378582115e-09
1819,3.1053151161586356e-09
1820,2.3732962262101864e-09
1821,4.930744257336528e-09
1822,1.0025615893027862e-09
1823,9.882686891060644e-10
1824,0.0
1825,8.805443041381977e-10
1826,8.807984341885344e-10
1827,4.608636583469661e-09
1828,0.0
1829,5.143905745796928e-09
1830,4.174734336004349e-09
1831,0.0
1832,4.058990921151917e-09
1833,4.6334514003376626e-09
1834,1.8669061851994684e-09
1835,7.563087933704082e-10
1836,0.0
1837,0.0
1838,6.312161904276081e-10
1839,0.0
1840,6.369688665408546e-10
1841,0.0
1842,6.708265054555795e-10
1843,5.906911071384968e-10
1844,0.0
1845,5.580227946389016e-10
1846,1.1709002656346001e-09
1847,5.393223645455691e-10
1848,8.045221711050488e-10
1849,0.0
1850,0.0
1851,7.739326512989919e-09
1852,7.161600201754936e-09
1853,5.971931837933653e-10
1854,1.558699391779328e-09
1855,1.0083180512765466e-08
1856,2.0708756931497874e-09
1857,4.881509085841174e-10
1858,1.9574704079872163e-09
1859,1.018434669930457e-09
1860,4.577183909670879e-10
1861,4.2443675241088386e-09
1862,5.421583626485926e-09
1863,8.490855130105501e-09
1864,9.109982990196386e-09
1865,1.882737743486018e-09
1866,2.919367858567057e-09
1867,6.308654931785895e-09
1868,2.4699371437009177e-09
1869,2.9301114867763545e-09
1870,2.064257564882155e-08
1871,2.1242354542039266e-09
1872,1.2094678591978436e-09
1873,1.2570609442263958e-08
1874,7.766991494406739e-09
1875,8.010138330405425e-09
1876,1.209202959984168e-08
1877,6.184816214727107e-09
1878,6.6429977074733415e-09
1879,5.498392852132383e-09
1880,6.417846254436199e-10
1881,1.3945015142624584e-09
1882,7.986462158271479e-09
1883,6.319338941018771e-10
1884,5.281357573494461e-09
1885,3.86738152613475e-09
1886,8.38950331427668e-09
1887,0.0
1888,1.3315291091942072e-08
1889,4.385595886446936e-09
1890,8.520702365899524e-09
1891,6.3742202627281586e-09
1892,5.014809900671935e-09
1893,4.926733243593162e-09
1894,6.9316934414587195e-09
1895,3.611168697403855e-09
1896,2.358811590497112e-09
1897,5.826713556089658e-10
1898,2.26334195829736e-09
1899,4.4220627160029835e-09
1900,4.671947717582725e-09
1901,5.588738916095792e-10
1902,3.437198747846537e-09
1903,2.1600881083827517e-09
1904,2.6873125946735854e-09
1905,1.0321518084666081e-09
1906,1.18316245689698e-08
1907,6.1714118260169926e-09
1908,2.9468334439286537e-09
1909,2.7504918342913243e-09
1910,1.6032452032632705e-09
1911,1.2236860413850081e-08
1912,3.125652625612929e-09
1913,4.242391771214216e-09
1914,4.68772043404897e-09
1915,5.890381071793627e-09
1916,2.197492410260793e-09
1917,9.869782324756216e-09
1918,2.2972752589112133e-09
1919,4.603924352863942e-09
1920,1.514446346106979e-09
1921,9.844571380313027e-09
1922,9.591316185719734e-09
1923,7.431163684401554e-09
1924,5.156649773851996e-09
1925,8.798542339150117e-09
1926,2.229227691330493e-09
1927,4.4596899506643695e-09
1928,2.2852082448565625e-09
1929,3.342121912552898e-09
1930,4.201441416995522e-09
1931,2.2810713318222042e-09
