year,bien_ADV en_ADP,bien_ADV lents_ADJ
1800,4.574759259412531e-06,2.829747991484055e-08
1801,5.3195617510937154e-06,1.1905912700171939e-08
1802,5.303681064106058e-06,2.0140561218795483e-08
1803,5.384886662795907e-06,9.55666195068261e-08
1804,5.193358902033651e-06,2.9662210465630778e-08
1805,4.966507276549237e-06,4.264316544322355e-08
1806,5.114962732477579e-06,0.0
1807,3.9686556192464195e-06,3.9857372513552036e-08
1808,4.529882062342949e-06,4.758755522971114e-08
1809,5.037637947680196e-06,5.421673421324158e-08
1810,5.148278887645574e-06,1.4040760554223652e-08
1811,5.50052664038958e-06,3.5099073869560016e-08
1812,5.1370429900998715e-06,5.3344164641089264e-09
1813,4.788109890796477e-06,5.7514832008109806e-08
1814,4.981189704267308e-06,2.5173417128598885e-08
1815,4.469299256015802e-06,2.6972236000233352e-08
1816,4.985166015103459e-06,4.8669683394564345e-08
1817,4.966426331520779e-06,7.784366928831332e-09
1818,5.1177612476749346e-06,4.6492591110336434e-08
1819,4.904327397525776e-06,5.589566853814176e-08
1820,5.883401172468439e-06,7.001224133773576e-08
1821,5.786721430922626e-06,4.930744168518686e-08
1822,6.162746103655081e-06,5.9151133768864383e-08
1823,6.154937182145659e-06,1.581229902569703e-08
1824,6.794153705413919e-06,4.968456579490521e-08
1825,6.083680545998504e-06,1.937197424695114e-08
1826,6.215794655872742e-06,3.699353356978463e-08
1827,5.743283054471249e-06,3.3182182335167454e-08
1828,5.5749246712366585e-06,4.035812395386529e-08
1829,5.364236130844802e-06,6.086955295359076e-08
1830,5.125530151417479e-06,5.0096812032052185e-08
1831,5.213699296291452e-06,1.4032085715598441e-08
1832,5.407928711065324e-06,3.6530916958099624e-08
1833,5.635435172735015e-06,9.03523016404506e-08
1834,5.660459464706946e-06,2.14694217959277e-08
1835,6.614676749450155e-06,4.235329242874286e-08
1836,6.728143034706591e-06,2.2850549896702432e-08
1837,6.7067112468066625e-06,5.5663129217009555e-08
1838,6.650493560300674e-06,3.219202682203104e-08
1839,6.502771157101961e-06,2.4470162784950844e-08
1840,5.728260930482065e-06,2.6115722917552375e-08
