year,ton_DET égal_ADJ,ton_DET egal_ADJ
1800,6.288328791015374e-08,0.0
1801,4.524246932646747e-08,0.0
1802,3.3567602031325805e-08,0.0
1803,2.9255089017965474e-08,0.0
1804,1.4831105232815389e-08,0.0
1805,2.842877711017877e-09,0.0
1806,1.729001475325731e-08,0.0
1807,8.540865792383556e-09,0.0
1808,9.517511045942229e-08,0.0
1809,2.9367397402779716e-08,0.0
1810,1.6380887757350138e-08,0.0
1811,3.259199843341776e-08,0.0
1812,8.00162425207418e-09,0.0
1813,5.176335093892703e-08,0.0
1814,1.1328037885505182e-07,0.0
1815,3.506390555685357e-08,0.0
1816,3.244645441213834e-08,0.0
1817,2.1796227045456362e-08,0.0
1818,1.4305412854298538e-08,0.0
1819,3.622867339458935e-08,0.0
1820,4.153268307049984e-08,0.0
1821,4.7335142028259725e-08,0.0
1822,4.411270992932259e-08,0.0
1823,3.162459805139406e-08,0.0
1824,2.778967189698278e-08,0.0
1825,2.3774695989686734e-08,0.0
1826,1.3211976401805714e-08,0.0
1827,2.949527377893446e-08,0.0
1828,4.677873494118856e-08,0.0
1829,1.628903412154159e-08,0.0
1830,4.0703660886265425e-08,0.0
1831,4.677361786775691e-08,0.0
1832,2.0294953273491956e-08,0.0
1833,2.89590715851773e-08,0.0
1834,3.360431222176885e-08,0.0
1835,2.7227116561334697e-08,0.0
1836,4.368487438455304e-08,0.0
1837,5.28799719567985e-08,0.0
1838,2.9035945203759184e-08,0.0
1839,2.866504900111977e-08,0.0
1840,2.4841785517537573e-08,0.0
1841,3.0818633423024266e-08,0.0
1842,4.494537675370225e-08,0.0
1843,3.1306630177141415e-08,0.0
1844,1.0428266250528395e-08,0.0
1845,2.6785095030845696e-08,0.0
1846,1.4050803187615202e-08,0.0
1847,3.66739207890987e-08,0.0
1848,3.53989756951556e-08,0.0
1849,3.1841775438579134e-08,0.0
1850,1.9009188889640427e-08,0.0
1851,1.8703373294570724e-08,0.0
1852,2.6042181744401205e-08,1.9531636308300904e-09
1853,2.2096147800354515e-08,0.0
1854,2.234135720868835e-08,0.0
1855,3.078023524949458e-08,0.0
1856,1.7084724746041502e-08,0.0
1857,3.1241658371428116e-08,0.0
1858,3.131952652779546e-08,0.0
1859,3.208069188076479e-08,0.0
1860,3.112485202905191e-08,0.0
1861,4.33868656557479e-08,0.0
1862,4.653525964570804e-08,0.0
1863,4.045642842953612e-08,0.0
1864,9.877139595104723e-08,9.589455896019672e-10
1865,5.130460323243824e-08,0.0
1866,3.454585240092456e-08,0.0
1867,2.7661025470138156e-08,0.0
1868,1.6301584082611953e-08,0.0
1869,4.8346841197144386e-08,0.0
1870,2.752343419842873e-08,0.0
1871,5.310588635509816e-09,0.0
1872,2.1770421909650395e-08,0.0
1873,2.993002112816612e-08,0.0
1874,1.5533982988813477e-08,0.0
1875,1.7736734747586524e-08,0.0
1876,2.6602464231473277e-08,6.04601479992084e-10
1877,3.5253449937044934e-08,6.184815992682502e-10
1878,4.650098345271303e-08,0.0
1879,2.1993571408529533e-08,0.0
1880,1.8611753915820373e-08,0.0
1881,1.9523021421719022e-08,0.0
1882,3.128031167420886e-08,0.0
1883,6.951272890631799e-09,0.0
1884,1.9805090900604227e-08,0.0
1885,1.6758653131887513e-08,0.0
1886,2.0651084398082276e-08,0.0
1887,1.8933882017790893e-08,0.0
1888,1.521747527988282e-08,0.0
1889,1.8795409673089125e-08,0.0
1890,2.2940351840361473e-08,0.0
1891,1.0198752065093686e-08,0.0
1892,1.002961980134387e-08,0.0
1893,1.9091091374434654e-08,0.0
1894,1.7014155417882648e-08,0.0
1895,1.3842813118003505e-08,0.0
1896,1.1204354777305525e-08,0.0
1897,8.740070334134487e-09,0.0
1898,1.4711722506888236e-08,0.0
1899,1.879376654301268e-08,0.0
1900,6.748368974740515e-09,0.0
1901,2.0678334156087885e-08,0.0
1902,1.0802624572647801e-08,0.0
1903,1.296052865029651e-08,0.0
1904,1.5048950530172078e-08,0.0
1905,1.0321517862621477e-08,0.0
1906,8.745113966313056e-09,0.0
1907,1.542852956504248e-08,0.0
1908,2.259238951474174e-08,4.911389073214423e-10
1909,8.251475058784763e-09,0.0
1910,1.1222716089775986e-08,0.0
1911,4.788336838146279e-09,0.0
1912,2.0316742677106703e-08,0.0
1913,1.2196876397752021e-08,0.0
1914,8.036092236096692e-09,0.0
1915,1.1780762143587253e-08,0.0
1916,6.592477230782379e-09,0.0
1917,9.869782324756216e-09,0.0
1918,1.6080926812378493e-08,0.0
1919,1.2890987832747669e-08,0.0
1920,6.057785384427916e-09,0.0
1921,1.1359120755116692e-08,0.0
1922,3.098733003525922e-08,0.0
1923,6.369568872344189e-09,3.1847844361720945e-09
