year,dont_PRON elle_PRON,dont_PRON telles_ADJ
1800,5.410792800830677e-05,3.144164484325529e-09
1801,5.649117520079017e-05,0.0
1802,5.1978313422296196e-05,2.2378401354217203e-09
1803,5.473431883729063e-05,3.900678446910888e-09
1804,5.4487009037984535e-05,1.4831105232815389e-08
1805,5.591656008618884e-05,3.1271653710973624e-08
1806,5.293626236380078e-05,2.0171682990621775e-08
1807,5.250069807516411e-05,0.0
1808,5.288563625072129e-05,2.2660739951163578e-09
1809,5.3848511015530676e-05,0.0
1810,5.713887367164716e-05,2.3401267590372754e-09
1811,4.529034049483016e-05,1.504245972228091e-08
1812,5.10290265083313e-05,2.6672082320544632e-09
1813,5.468510425998829e-05,2.8757416448144113e-09
1814,5.0274462410015985e-05,0.0
1815,5.701930422219448e-05,0.0
1816,5.1712697313632816e-05,4.6352077731626196e-09
1817,5.4400272347265854e-05,0.0
1818,5.327455073711462e-05,2.741870730460505e-08
1819,4.967158383806236e-05,1.035105001712111e-09
1820,5.381093069445342e-05,0.0
1821,5.210810559219681e-05,1.97229765852569e-09
1822,4.999774682801217e-05,1.804610860745015e-08
1823,4.843010538024828e-05,9.882686891060644e-10
1824,4.889718911726959e-05,9.263223965660927e-09
1825,4.854528742725961e-05,3.258013947515792e-08
1826,4.8075740778585896e-05,3.5231937367541377e-09
1827,4.842571070184931e-05,3.6869092223668076e-09
1828,4.999362863600254e-05,7.337841001486822e-09
1829,5.001248064218089e-05,2.5719527840806222e-08
1830,5.001331737730652e-05,2.0873671680021744e-09
1831,4.453783913049847e-05,0.0
1832,4.7501016524620354e-05,6.764984572527055e-09
1833,4.870104748988524e-05,0.0
1834,4.6839741116855294e-05,1.8669061851994684e-09
1835,4.389162495499477e-05,1.1344631900556124e-08
1836,4.425210499903187e-05,3.36037508930076e-09
1837,4.486517718760297e-05,2.0873671680021744e-09
1838,4.4645919842878357e-05,1.3255539776935166e-08
1839,4.420639743329957e-05,1.3982950353153e-09
1840,4.5789143769070506e-05,8.280594876453051e-09
1841,4.66151068394538e-05,7.704658244733764e-09
1842,4.5815439079888165e-05,7.379091560011375e-09
1843,4.3865311454283074e-05,4.134837805480629e-09
1844,4.674003866966814e-05,0.0
1845,4.6723806008230895e-05,3.348136878855712e-09
1846,4.484138116822578e-05,5.854501328173001e-10
1847,4.34602152381558e-05,1.0786447290911383e-09
1848,4.369762245914899e-05,4.82713291560799e-09
1849,4.474020897760056e-05,8.379414939696517e-10
1850,4.401238402351737e-05,1.0183494048021657e-08
1851,4.2541141738183796e-05,0.0
1852,4.6224871766753495e-05,1.1067927019325907e-08
1853,4.480501593207009e-05,1.7915795513800958e-09
1854,4.621439438778907e-05,6.234797567117312e-09
1855,4.454165537026711e-05,0.0
1856,4.569283555611037e-05,5.177189232874468e-10
1857,4.5035827497486025e-05,0.0
1858,4.5622273319168016e-05,1.2723557318849998e-08
1859,4.7383691708091646e-05,5.092173349652285e-10
1860,4.540795271168463e-05,4.577183909670879e-10
1861,4.432298374013044e-05,1.4147891747029462e-09
1862,4.61241215816699e-05,1.3553959066214816e-09
1863,4.37908383901231e-05,3.995696662428827e-09
1864,4.492899824981578e-05,7.671564716815737e-09
1865,4.486563921091147e-05,1.4120533631256649e-09
1866,4.245247328071855e-05,2.919367858567057e-09
1867,4.292893936508335e-05,7.76449837758264e-09
1868,4.2718056647572666e-05,4.93987406535723e-10
1869,4.3012081732740626e-05,1.953407657850903e-09
1870,4.106840424356051e-05,9.17447806614291e-09
1871,4.050598363392055e-05,1.4869648623516696e-08
