year,tant_ADV eu_VERB,tant_ADV tu_VERB
1800,5.973912209356058e-08,9.432493897065797e-09
1801,9.762848662830947e-08,0.0
1802,3.3567602031325805e-08,4.0281122437590966e-08
1803,7.606323038089613e-08,1.950339223455444e-09
1804,9.145848167690929e-08,1.730295728918918e-08
1805,1.0802935435094696e-07,5.685755422035754e-09
1806,9.797675204481493e-08,0.0
1807,1.537355700520493e-07,2.2775640928784924e-08
1808,7.024829073998262e-08,9.064295980465431e-09
1809,6.777091243748146e-08,6.551188747039305e-08
1810,9.828532654410083e-08,0.0
1811,6.016983888912364e-08,2.5070767684098882e-09
1812,4.000812481308458e-08,2.6672082320544632e-09
1813,1.7254450312975678e-07,8.627225156487839e-09
1814,3.1466772298927026e-08,0.0
1815,5.1247248222807684e-08,1.0788894222457657e-08
1816,8.343373991692715e-08,2.3176038865813098e-09
1817,8.874178547557676e-08,7.784366928831332e-09
1818,6.914282835168706e-08,0.0
1819,8.384350280721264e-08,1.8631889808773394e-08
1820,1.2459804565878585e-07,9.493184904840746e-09
1821,1.0255947557880063e-07,6.903041582795311e-09
1822,8.321261191213125e-08,6.015369535816717e-09
1823,8.499110748516614e-08,5.929612223454228e-08
1824,1.3894836570216285e-07,3.452656116564867e-08
1825,1.0478477463493618e-07,1.1447076175841175e-08
1826,9.336463335785083e-08,5.284790383086602e-09
1827,7.92685455053288e-08,6.452091305675367e-09
1828,1.0181254594954225e-07,1.0089531266022078e-08
1829,1.2602568233432976e-07,8.573175946935407e-09
1830,4.174734158368665e-08,1.0436835617966267e-08
1831,5.3010101197514814e-08,4.677361609140007e-09
1832,1.1500473817704915e-07,5.411987746839486e-09
1833,5.3284690437749305e-08,3.4750886612755494e-09
1834,8.214387037241977e-08,1.0267983796552471e-08
1835,6.277362984974388e-08,2.0420337421001022e-08
1836,1.2702217588866915e-07,4.704525213838906e-09
1837,8.071153700939249e-08,1.2524203785169163e-08
1838,9.531364497661343e-08,1.830527018853445e-08
1839,9.29866175169991e-08,4.194885327990505e-09
1840,5.286841542329057e-08,7.0066574764382494e-09
1841,5.072233477676491e-08,1.0272877659645019e-08
1842,6.641182181965632e-08,1.2074877098200432e-08
1843,5.316219997553162e-08,1.5948659504161355e-08
1844,6.586273570974299e-08,1.0428266250528395e-08
1845,6.138250796539069e-08,9.486387508861327e-09
1846,1.0245377524142896e-07,9.952652257894101e-09
1847,6.094342808182773e-08,1.0786447290911383e-08
1848,5.229394162142853e-08,4.82713291560799e-09
1849,6.619738002200393e-08,7.54147322368226e-09
1850,8.825694663983086e-08,2.7155984128057753e-09
1851,5.482023013314574e-08,2.579775504329973e-09
1852,6.901178295493082e-08,1.3021090872200602e-08
1853,6.449686651421871e-08,1.2541056637616066e-08
1854,7.741540031247496e-08,2.7017455384026334e-08
1855,7.323573214534917e-08,1.3798036491152743e-08
1856,9.111852961041222e-08,1.760244366932895e-08
1857,1.2301403273795586e-07,1.8061584339257308e-08
1858,8.514996352460003e-08,2.8872689128434104e-08
1859,6.110607841947058e-08,1.4767302269902416e-08
1860,7.598125506547149e-08,5.034902272882391e-09
1861,8.630213699234446e-08,1.0375119985361891e-08
1862,5.963742211179124e-08,9.939570083661309e-09
1863,5.6439215967429845e-08,1.5483324511400554e-08
1864,6.472883029573495e-08,1.1027874724511832e-08
1865,6.777855787731824e-08,1.7886009118228685e-08
1866,8.174230003987759e-08,8.758102965078507e-09
1867,5.046923945428716e-08,1.6984840200962026e-08
1868,6.026646559575966e-08,1.2349684941348471e-08
1869,5.567211758261692e-08,1.562726104076262e-08
1870,4.4152177025580386e-08,1.9495765446464475e-08
1871,5.2043770182308435e-08,3.18635318130589e-09
1872,3.930770375859538e-08,1.269941263259966e-08
1873,5.6268440573603584e-08,1.7958014186802984e-08
1874,4.600449088343339e-08,7.766991827473646e-09
1875,4.63443683429432e-08,6.293679799540541e-09
1876,4.836811839936672e-08,1.209202959984168e-08
1877,4.7004601100297805e-08,1.2988114028722464e-08
1878,3.0799352401800206e-08,1.9928992234241605e-08
1879,6.659164597522249e-08,9.774920428640144e-09
1880,5.455169471701993e-08,1.7328185553111553e-08
1881,4.741305303923582e-08,1.5339516323820135e-08
1882,4.9249848643739824e-08,1.9300615994310988e-08
1883,4.3603439081607576e-08,5.68740488038344e-09
1884,4.8192386969958534e-08,1.8484752395409032e-08
1885,5.0920522909336796e-08,1.4180398411056672e-08
1886,5.549978965291302e-08,9.680195756089915e-09
1887,4.6355363991779086e-08,1.8280989833030503e-08
1888,5.389522428345117e-08,5.07249175996094e-09
1889,4.322944491264025e-08,9.397705280633772e-09
