year,auront_VERB en_PRON,auront_VERB tant_ADV
1800,2.2009151834367913e-08,4.087413785214267e-08
1801,0.0,1.6668277424969347e-08
1802,4.475680270843441e-09,3.3567602031325805e-08
1803,1.5602713787643552e-08,2.145373123596528e-08
1804,2.7190360185613827e-08,1.2359254952798437e-08
1805,5.685755422035754e-09,2.842877755426798e-08
1806,0.0,1.0374009207225754e-07
1807,0.0,0.0
1808,4.5321479902327155e-09,6.798221985349073e-09
1809,1.581321384946932e-08,6.7770917766551975e-09
1810,9.360507036149102e-09,4.680253340438867e-08
1811,7.521229861140455e-09,1.504245972228091e-08
1812,5.3344164641089264e-09,1.8670457180292033e-08
1813,8.627225156487839e-09,5.751483289628823e-09
1814,1.2586708564299443e-08,3.4613449884091096e-08
1815,2.697223555614414e-09,3.506390555685357e-08
1816,2.3176038865813098e-09,1.622322720606917e-08
1817,1.556873407970727e-09,1.71256075987003e-08
1818,2.384235475716423e-09,1.4305412854298538e-08
1819,1.6561680027393777e-08,3.415846450138815e-08
1820,3.5599443393152796e-09,4.746592452420373e-08
1821,4.930744257336528e-09,3.648750634965836e-08
1822,3.0076847679083585e-09,5.714601059025881e-08
1823,0.0,6.917880934764753e-09
1824,7.57900142644985e-09,4.968456579490521e-08
1825,1.7610886082763955e-09,6.427973175959778e-08
1826,2.025836387531399e-08,1.5854372037438225e-08
1827,1.7512819638909605e-08,2.3964910056406552e-08
1828,2.5682442839070063e-08,1.1923991571904935e-08
1829,1.8860987438529264e-08,2.2290258527846163e-08
1830,4.174734336004349e-09,4.174734336004349e-09
1831,3.1182412207897414e-09,4.8332740476553226e-08
1832,2.705993873419743e-09,2.4353944638733083e-08
1833,5.791814139399776e-09,9.266902800675325e-09
1834,3.733812370398937e-09,1.3068342852307069e-08
1835,1.4369867074037757e-08,1.739510224751939e-08
1836,1.4785650037651976e-08,8.064899859050456e-09
1837,8.349468672008697e-09,4.6617870452791976e-08
1838,1.0730675015224733e-08,2.9035945203759184e-08
1839,1.3283802502428443e-08,1.2584655095793096e-08
1840,1.0191501864653674e-08,1.1465439264668476e-08
1841,2.5682194149112547e-09,1.5409316489467528e-08
1842,1.2074877098200432e-08,2.0795621225033756e-08
1843,7.088293507706567e-09,2.4809025944705354e-08
1844,4.390849017710252e-09,2.7991662321369404e-08
1845,6.138250796539069e-09,1.2276501593078137e-08
1846,1.9905304071698993e-08,1.1123552745573306e-08
1847,1.0247124926365814e-08,8.683090158001505e-08
1848,1.206783295515379e-08,7.24069959545659e-09
1849,3.3517659758786067e-09,1.9272654583346593e-08
1850,1.1541293254424545e-08,1.6293590476834652e-08
1851,3.8696632564949596e-09,1.6123596680017727e-08
1852,5.859490670445666e-09,1.6927417689771573e-08
1853,5.3747388761848924e-09,2.6873692604567623e-08
1854,1.0391328686409906e-08,3.3252252507054436e-08
1855,5.837630823180007e-09,1.4859423913549108e-08
1856,1.0354378687793542e-08,1.4496129630003907e-08
1857,4.881508974818871e-09,3.612316845647001e-08
1858,6.361778659424999e-09,1.663849857891364e-08
1859,9.165912473463322e-09,1.2730433596175317e-08
1860,5.950338888283113e-09,1.0985241161165504e-08
1861,7.545541969022906e-09,2.5937801240161207e-08
1862,1.355395884417021e-08,2.3041730301542884e-08
1863,1.0988165932701577e-08,9.489779628779615e-09
1864,7.671564716815737e-09,2.7329949858767577e-08
1865,7.530950973944073e-09,3.435996376310868e-08
1866,9.731225603104576e-09,9.244664589402873e-09
1867,8.249779526181555e-09,7.76449837758264e-09
1868,1.0373735648272486e-08,2.222943251695142e-08
1869,9.278686263769487e-09,2.5882650689368347e-08
1870,1.834895613228582e-08,1.6628741050794815e-08
1871,1.5931766128574054e-08,3.292564798584863e-08
1872,9.675742873582749e-09,1.3908880269752899e-08
1873,1.0774807712721213e-08,2.1549615425442425e-08
1874,5.377148060148329e-09,3.1665429389704514e-08
1875,2.1741803024610817e-08,2.1169650921137873e-08
1876,9.069021977836655e-09,2.1765654167893445e-08
1877,2.2265338017746217e-08,1.2988113695655557e-08
1878,5.435179861734696e-09,1.7513357875031943e-08
1879,8.55305515301552e-09,2.6270098985037293e-08
1880,1.1552122813895949e-08,1.6044616302224313e-08
1881,9.761510710859511e-09,1.743126887276958e-08
1882,1.4641846846075168e-08,1.5307385581309063e-08
1883,1.8326083761621703e-08,1.2006744043446815e-08
1884,1.1222884843675729e-08,2.772712726084592e-08
1885,1.353583467533781e-08,3.0294486919046903e-08
1886,1.097088819790315e-08,1.5488312854472497e-08
1887,1.4363633837888301e-08,1.697520346510828e-08
1888,1.268122939990235e-08,1.3949351895803375e-08
1889,1.566284169030041e-08,3.257871128425904e-08
1890,1.3108772733971819e-08,2.0318598359381213e-08
1891,1.4023283867459213e-08,6.3742202627281586e-09
1892,1.3163876211308434e-08,3.57305189879753e-08
1893,1.2932674486876294e-08,2.7097032173628577e-08
1894,8.822155450616265e-09,1.071261657159539e-08
1895,1.8055843042930064e-08,1.745398137131815e-08
1896,1.2973464080801023e-08,1.2383760683576384e-08
1897,1.3401440845939305e-08,1.0488084178916779e-08
1898,1.3014216371232123e-08,1.3580051749784161e-08
1899,7.738609753005221e-09,3.3165470370022376e-09
1900,1.038210584169974e-08,2.4397950326715545e-08
1901,1.117747761014698e-08,2.1237207548097103e-08
1902,1.3257766440233354e-08,1.816805017540446e-08
1903,1.0260418292773466e-08,7.020286574288548e-09
1904,1.0211787859759625e-08,1.4511488011237361e-08
1905,1.857873321853276e-08,1.5482276793932215e-08
1906,1.9547901075611662e-08,6.6874399351490865e-09
1907,2.0057088434555226e-08,4.114274698707732e-09
1908,9.822778146428846e-09,1.620758460774141e-08
1909,1.320236009405562e-08,1.6502950117569526e-08
