year,est_VERB en_ADP,est_VERB tant_ADV
1800,8.012588659767061e-05,4.904896400148573e-07
1801,7.804326014593244e-05,6.072015708014078e-07
1802,8.012810576474294e-05,8.481414397465414e-07
1803,8.20527202449739e-05,6.280092179622443e-07
1804,7.760622975183651e-05,6.179627121127851e-07
1805,7.60412949603051e-05,5.628897952192347e-07
1806,7.141352398321033e-05,4.3801369997709116e-07
1807,7.662579446332529e-05,4.583597785767779e-07
1808,7.359528535744175e-05,6.911525929353957e-07
1809,7.188913150457665e-05,3.0948717721912544e-07
1810,6.479577132267877e-05,6.528953804263438e-07
1811,7.123607792891562e-05,5.465427079798246e-07
1812,7.705831376370043e-05,6.427972039091401e-07
1813,7.450184057233855e-05,4.284854924208048e-07
1814,6.868566561024636e-05,6.482155185949523e-07
1815,6.590126577066258e-05,4.1537242623235215e-07
1816,7.277971599251032e-05,5.400016789280926e-07
1817,7.833875861251727e-05,3.8143397773637844e-07
1818,6.660958024440333e-05,5.829455744787992e-07
1819,6.922161264810711e-05,5.682726396116777e-07
1820,6.399000267265365e-05,6.752027843504038e-07
1821,6.850479985587299e-05,6.183153118399787e-07
1822,6.960584869375452e-05,6.90764920818765e-07
1823,6.312862387858331e-05,7.718378469689924e-07
1824,6.500930612673983e-05,8.539008149455185e-07
1825,6.443206802941859e-05,5.115962267154828e-07
1826,6.480034062406048e-05,6.650028012700204e-07
1827,6.504444900201634e-05,4.534898323527159e-07
1828,6.973792187636718e-05,5.127316171638086e-07
1829,6.989710527705029e-05,5.426820166576363e-07
1830,6.944878987269476e-05,6.293411729529907e-07
1831,7.627061859238893e-05,4.833273692383955e-07
1832,7.02070101397112e-05,5.384927703744324e-07
1833,7.34193527023308e-05,6.092988655836962e-07
1834,7.291855581570417e-05,5.974100076855393e-07
1835,7.177899533417076e-05,6.83703149206849e-07
1836,7.090660074027255e-05,7.056787580950186e-07
1837,7.181100227171555e-05,5.615017926174914e-07
1838,6.693542673019692e-05,6.823447051829135e-07
1839,7.028180698398501e-05,6.124532205831201e-07
1840,7.172842742875218e-05,4.337757957273425e-07
1841,7.352170359808952e-05,9.149281936515763e-07
1842,6.902536551933736e-05,7.452882755387691e-07
1843,7.328350329771638e-05,4.631018271084031e-07
1844,7.02771867509e-05,4.593925666540599e-07
1845,6.986891821725294e-05,4.503243928866141e-07
1846,7.369470404228196e-05,5.321741696207027e-07
1847,6.7432556534186e-05,4.7028910898916365e-07
1848,6.87842330080457e-05,4.432917251051549e-07
1849,7.020106568234041e-05,3.9718426592116884e-07
1850,7.059130439301953e-05,6.103307441662764e-07
1851,6.987128290347755e-05,4.62424765146352e-07
1852,7.119151268852875e-05,4.3360233803468873e-07
1853,7.298596756299958e-05,4.980591370440379e-07
1854,7.104915130184963e-05,6.458211032622785e-07
