year,quand_CONJ elles_PRON,quand_CONJ tels_ADJ
1800,1.7110543922171928e-05,0.0
1801,1.3258424360174104e-05,0.0
1802,1.3648587355419295e-05,1.3427040812530322e-08
1803,1.484403173890314e-05,0.0
1804,1.4485046676782076e-05,0.0
1805,1.2471704906147352e-05,0.0
1806,1.0653530353010865e-05,0.0
1807,1.1077502506395831e-05,0.0
1808,9.948064928266831e-06,0.0
1809,1.221683692165243e-05,0.0
1810,1.0771603911052807e-05,0.0
1811,1.050715877681796e-05,2.5070767684098882e-09
1812,1.0138058485154033e-05,1.0668832928217853e-08
1813,9.308775418048754e-06,0.0
1814,9.251230494555784e-06,1.8880061958270744e-08
1815,1.0155046879845031e-05,0.0
1816,1.3163989819986455e-05,0.0
1817,1.2543729440039897e-05,0.0
1818,1.1352537626407866e-05,0.0
1819,1.0187503505676432e-05,0.0
1820,1.118178539627479e-05,7.119888678630559e-09
1821,1.0641532071531401e-05,1.97229765852569e-09
1822,9.752919595484855e-06,0.0
1823,9.509121184692049e-06,0.0
1824,9.435014703740308e-06,0.0
1825,1.0102484793605981e-05,0.0
1826,1.0487666770586657e-05,6.1655889282974385e-09
1827,9.532504009257536e-06,2.1199728195142598e-08
1828,9.853802907855425e-06,8.255071293206129e-09
1829,9.653396489284205e-06,1.714635211591542e-09
1830,1.0149822401217534e-05,0.0
1831,9.997081406254438e-06,0.0
1832,1.0932215445791371e-05,8.117981509236927e-09
1833,1.0956954611174297e-05,1.1583628833911064e-08
1834,1.0770181916086585e-05,0.0
1835,1.060950006603889e-05,7.563087933704082e-10
1836,1.08533391767196e-05,6.720750067579218e-10
1837,1.0473017709955457e-05,1.739472721418167e-08
1838,1.0024975154010463e-05,6.943378094703689e-09
1839,1.0311726498457574e-05,0.0
1840,9.63670186138188e-06,0.0
1841,9.971753627269209e-06,1.2841097074556274e-09
1842,9.610931215320306e-06,1.341653010911159e-09
1843,1.0138621803434944e-05,2.3627644285539873e-09
1844,1.0435950514420256e-05,2.7442805805577564e-09
1845,1.0582902632449986e-05,1.1160455892778032e-09
1846,1.0928597589554556e-05,0.0
1847,9.32056946112425e-06,0.0
1848,9.670356462265772e-06,0.0
1849,9.66733074392323e-06,8.379414495607307e-09
1850,9.381034487887518e-06,0.0
1851,1.006305944883934e-05,0.0
1852,1.0405804857782641e-05,2.6042181744401205e-09
1853,1.0538668050230626e-05,1.1943863675867306e-09
1854,9.955412508588779e-06,9.352196350675968e-09
1855,1.070037734507423e-05,1.0613874223963649e-09
1856,1.0933187866157823e-05,2.070875637638636e-09
1857,1.046058548581641e-05,4.881509085841174e-10
1858,1.0086845009027456e-05,1.9574704079872163e-09
1859,1.0439464745104488e-05,1.5276520048956854e-09
1860,1.0077585670842382e-05,0.0
1861,1.052084331831793e-05,0.0
1862,9.687465933438943e-06,1.1294965851504912e-08
1863,9.236552159563871e-06,9.989241878116673e-09
1864,1.0011871495407831e-05,4.794728170054441e-09
1865,1.0020400566190801e-05,6.118897832863013e-09
1866,9.871842109987483e-06,0.0
1867,9.570714780693379e-06,0.0
1868,9.804167746096937e-06,1.4819622196071691e-09
1869,9.68987870919591e-06,2.441759683335931e-09
1870,9.29890723000426e-06,5.734048791339319e-10
1871,8.825136490031582e-06,1.5931766128574054e-08
1872,8.925268389248231e-06,1.2094678591978436e-09
1873,9.90144974366558e-06,0.0
1874,9.91605838862597e-06,0.0
1875,9.527487350169395e-06,0.0
1876,9.801799365050101e-06,2.418405919968336e-09
1877,9.472045690017694e-06,0.0
1878,8.832770902245102e-06,1.8117265465633636e-09
1879,9.206142237871973e-06,0.0
1880,8.66986897563038e-06,0.0
1881,8.60965252513779e-06,0.0
1882,8.634031473775394e-06,0.0
1883,8.824324936540506e-06,5.0554711528150165e-09
1884,8.231656011048472e-06,5.281357573494461e-09
1885,8.626838962300099e-06,3.867381359601296e-09
1886,8.29011958103365e-06,1.2906927748801422e-09
1887,8.894354436961294e-06,4.570247291724172e-09
1888,8.313180103414197e-06,6.340614699951175e-10
1889,7.863999428536772e-06,1.2530273485467092e-09
1890,8.541676606910187e-06,0.0
1891,8.394210226470022e-06,0.0
1892,8.068829288276902e-06,0.0
1893,8.26705826284524e-06,1.847525021858587e-09
1894,8.376636344564758e-06,0.0
1895,8.58976619610985e-06,0.0
1896,8.22753503371132e-06,5.89702897624278e-10
1897,8.143415072936477e-06,1.7480140668268973e-09
1898,8.175191339887533e-06,0.0
1899,8.023832947401388e-06,1.1055156790007459e-09
1900,8.254812883023988e-06,2.595526460424935e-09
1901,7.787907634337898e-06,0.0
1902,7.689013386880106e-06,0.0
1903,7.757416256026772e-06,0.0
1904,7.7657957149313e-06,0.0
1905,7.658050208192435e-06,0.0
1906,7.838708540930384e-06,1.0288369045596824e-09
1907,7.770322156375187e-06,5.142843373384665e-10
1908,7.614126275257149e-06,9.822778146428846e-10
1909,7.884559863668983e-06,0.0
1910,7.809407350123365e-06,5.344150677544235e-10
1911,7.788495508975757e-06,1.5961122423746588e-09
1912,7.560432891295932e-06,1.0418842455450772e-09
1913,7.292141162906773e-06,0.0
