year,étaient_VERB en_ADP,étaient_VERB tant_ADV,etaient_VERB en_ADP
1800,5.901596523472108e-06,3.772997558826319e-08,1.5720821977538435e-08
1801,5.838659490109421e-06,1.6668277424969347e-08,9.524730337773235e-09
1802,4.3951181396550965e-06,8.951360541686881e-09,8.951360541686881e-09
1803,5.60332455279422e-06,5.851017448321727e-09,9.751696339321825e-09
1804,6.9459010774153285e-06,1.4831105232815389e-08,1.4831105232815389e-08
1805,6.461861175921513e-06,0.0,2.842877711017877e-09
1806,6.734460839652456e-06,3.1698359492793315e-08,1.152667650217154e-08
1807,9.386410965817049e-06,1.1387820464392462e-08,2.2775640928784924e-08
1808,6.0640140873147175e-06,4.5321479902327155e-09,1.5862518409903714e-08
1809,8.134768904710654e-06,6.7770917766551975e-09,3.6144488291256494e-08
1810,7.069522780511761e-06,2.574139479349924e-08,3.042164919975221e-08
1811,7.639062459929846e-06,1.2535384286138651e-08,1.504245972228091e-08
1812,8.76444664754672e-06,1.8670457180292033e-08,8.00162425207418e-09
1813,9.366290214529727e-06,2.8757416004054903e-08,2.0130190847567064e-08
1814,8.477148185193073e-06,8.496028414128887e-08,9.440030979135372e-09
1815,9.955451787391212e-06,5.394447111228828e-09,3.506390555685357e-08
1816,8.746636922296602e-06,1.8540831092650478e-08,2.7811246638975717e-08
1817,1.0032492355094291e-05,3.580808893843823e-08,2.6466848268569265e-08
1818,1.039288235915592e-05,2.98029441125891e-08,1.668964877410417e-08
1819,1.0458700671733823e-05,2.2772310259711048e-08,2.173720581311045e-08
1820,1.2055158549628686e-05,1.0679833017945839e-08,2.3732962262101864e-08
1821,1.144721591117559e-05,3.4515210245444905e-08,1.1833785507064931e-08
1822,1.1409150829422288e-05,2.7069162911175226e-08,2.2056354964661296e-08
1823,1.3518527339329012e-05,4.941343334508019e-09,2.174191138237802e-08
1824,1.2384930414555129e-05,3.115811608722652e-08,5.894778887238772e-09
1825,1.2950165000802372e-05,3.6982861217893515e-08,1.7610886970942374e-08
1826,1.3080737517157104e-05,1.9377566218281572e-08,3.170874407487645e-08
1827,1.3703320291824639e-05,1.6591091167583727e-08,2.5808365222701468e-08
1828,1.4108833966020029e-05,3.3020285172824515e-08,5.044765671868845e-08
1829,1.4363498848979361e-05,4.2865881511033876e-08,2.8291481157793896e-08
1830,1.4034412743058056e-05,3.965997663613052e-08,2.1917355041978226e-08
1831,1.2437105397111736e-05,3.1182413096075834e-08,3.1182413096075834e-08
1832,1.2626167517737485e-05,3.111892965534935e-08,2.4353944638733083e-08
1833,1.3543578461394645e-05,1.6217079235048004e-08,1.2741991461950875e-08
1834,1.4008330254000612e-05,3.640467127752345e-08,1.7735608537350345e-08
1835,1.4493901289824862e-05,3.403389570166837e-08,3.7059130875150004e-08
1836,1.3836680409440305e-05,4.5701099793404865e-08,2.016225053580456e-08
1837,1.4244194062484894e-05,3.2006298056330706e-08,1.461157062010443e-08
1838,1.593694651091937e-05,2.1461350030449466e-08,1.2624323808552163e-08
1839,1.5070124391058926e-05,3.0063343814390464e-08,1.3283802502428443e-08
1840,1.6065629097283818e-05,3.758116307039927e-08,1.2102408852854296e-08
1841,1.4737084711669013e-05,5.521671653241356e-08,1.3483152372373297e-08
1842,1.595225512573961e-05,1.2745703159566801e-08,1.542900918138912e-08
1843,1.3945035789220128e-05,2.5990408047960045e-08,1.0041748765843295e-08
1844,1.5363581042038277e-05,3.896878553177885e-08,8.232841963717874e-09
1845,1.4612384802603628e-05,2.4553003186156275e-08,9.48638767539478e-09
1846,1.420243461325299e-05,2.8101606375230404e-08,9.367202125076801e-09
1847,1.4116762940830085e-05,4.1527822958187244e-08,1.1865092020002521e-08
1848,1.4238433323043864e-05,4.022610866627474e-08,1.850401076808339e-08
1849,1.3467395547195338e-05,2.1786478399121734e-08,1.508294644736452e-08
1850,1.37626529976842e-05,3.190828223864628e-08,5.431196825611551e-09
1851,1.4281637049862184e-05,3.353708066811123e-08,1.096404567135778e-08
1852,1.2868744306615554e-05,2.2135854038651814e-08,1.6927417689771573e-08
1853,1.3138250324118417e-05,2.149895550473957e-08,1.0749477752369785e-08
1854,1.2499729564297013e-05,2.8056588163849483e-08,1.7665259477439577e-08
1855,1.323284777754452e-05,2.9188154115900034e-08,8.491099379170919e-09
1856,1.2664958376262803e-05,1.7602443946884705e-08,5.177189343896771e-09
1857,1.3583287000074051e-05,2.245494101771328e-08,3.4170564155999728e-09
1858,1.2993199561606161e-05,1.9085335978274998e-08,5.3830437884982985e-09
1859,1.36954004119616e-05,2.7497735644033128e-08,7.129042689513199e-09
1860,1.3684406440006569e-05,3.3871160098897235e-08,8.238931314963338e-09
1861,1.3013702300668228e-05,3.4426534512022045e-08,8.017138064531082e-09
1862,1.3286945431900676e-05,2.84633134839396e-08,9.487771457372673e-09
