year,eut_VERB eu_VERB,eut_VERB tu_VERB
1800,3.961647223604814e-07,0.0
1801,2.7383600809116615e-07,0.0
1802,3.110597788236191e-07,0.0
1803,2.6134546260436764e-07,0.0
1804,3.0898135605639254e-07,0.0
1805,1.648869130121966e-07,2.842877711017877e-09
1806,2.795219131712656e-07,2.881669125542885e-09
1807,2.5053205376934784e-07,0.0
1808,2.923235342677799e-07,0.0
1809,3.2530039106859476e-07,2.259030518203531e-09
1810,2.2933242860290193e-07,2.3401267590372754e-09
1811,2.7577843297876825e-07,0.0
1812,2.2937990706850542e-07,0.0
1813,2.933256553205865e-07,0.0
1814,2.73760917934851e-07,0.0
1815,2.400528842372296e-07,0.0
1816,3.314173682156252e-07,0.0
1817,1.6814232139950036e-07,0.0
1818,2.193496584368404e-07,0.0
1819,2.794783426907088e-07,1.035105001712111e-09
1820,7.618280619681173e-07,1.1866481131050932e-09
1821,2.376618652988327e-07,0.0
1822,2.526455205043021e-07,1.0025615893027862e-09
1823,3.053750390336063e-07,4.941343334508019e-09
1824,7.309525926757487e-07,0.0
1825,4.2706398062364315e-07,8.805443041381977e-10
1826,5.434526428871322e-07,0.0
1827,1.9540618723112857e-07,9.217273055917019e-10
1828,2.302247565921789e-07,0.0
1829,2.1175745246182487e-07,4.286587973467704e-09
1830,1.8995041273228708e-07,0.0
1831,2.2919073217053665e-07,0.0
1832,1.6371262745451531e-07,1.3529969367098715e-09
1833,1.8649642186119308e-07,1.1583628500844156e-09
1834,1.698884659617761e-07,2.8003592777992026e-09
1835,1.973965879642492e-07,0.0
1836,4.1198197209268983e-07,6.720750067579218e-10
1837,3.9938294094099547e-07,6.957890930081589e-10
1838,3.023525607659394e-07,6.312161904276081e-10
1839,3.083240471823956e-07,0.0
1840,1.9172762222297024e-07,1.9109065441114126e-09
1841,2.0995193494854902e-07,0.0
1842,2.0661455835124798e-07,1.341653010911159e-09
1843,2.2150916834107193e-07,3.5441467538532834e-09
1844,1.8496452014460374e-07,5.488561272137815e-10
1845,1.7856729073173483e-07,5.580227946389016e-10
1846,1.7329324464299134e-07,1.1709002656346001e-09
1847,1.65032645327301e-07,0.0
1848,1.97107937083274e-07,8.045221711050488e-10
1849,1.7177801225898293e-07,0.0
1850,2.0638547937323892e-07,2.0366988096043315e-09
1851,1.9090339264948852e-07,1.9348316282474798e-09
1852,1.490914911528307e-07,1.3021090872200602e-09
1853,1.8632427156717313e-07,5.971931837933653e-10
1854,2.909572174303321e-07,2.0782657816909023e-09
1855,2.0272500478313304e-07,0.0
1856,1.9310915888581803e-07,2.0708756931497874e-09
1857,2.499332651950681e-07,9.763018171682347e-10
1858,1.903639912370636e-07,9.787352039936081e-10
1859,1.9604867418365757e-07,1.018434669930457e-09
1860,1.835450689213758e-07,0.0
1861,1.650587364565581e-07,1.4147891747029462e-09
1862,1.8297843951131654e-07,1.3553959066214816e-09
1863,1.6781926603925967e-07,9.989241656072068e-10
1864,2.1576275344159512e-07,9.589455896019672e-10
1865,1.6426886872977775e-07,1.4120533631256649e-09
1866,1.8051423467113636e-07,9.731225825149181e-10
1867,1.7712761746224714e-07,1.455843445796745e-09
1868,1.783294578672212e-07,0.0
1869,1.919222967217138e-07,9.767038289254515e-10
1870,2.2420130108002922e-07,0.0
1871,1.8268424639700243e-07,0.0
1872,1.608592299362499e-07,1.2094678591978436e-09
1873,2.1370036051848729e-07,1.1972008939764578e-09
1874,1.8640780297118908e-07,0.0
1875,1.5219262650134624e-07,5.721527140956084e-10
1876,1.6989301343528496e-07,6.04601479992084e-10
1877,1.7255636919344397e-07,6.184815992682502e-10
1878,1.437303041029736e-07,6.039088673581716e-10
1879,1.7778135941171058e-07,1.221865053580018e-09
1880,1.6622222176465584e-07,6.417846254436199e-10
1881,1.624594290206005e-07,1.3945015142624584e-09
1882,1.6039477657159296e-07,1.3310770263785798e-09
1883,1.7125408646734286e-07,6.319338941018771e-10
1884,1.3797546216665069e-07,0.0
1885,1.3858117142717674e-07,0.0
1886,1.7811559871461213e-07,1.2906927748801422e-09
1887,1.5995865965123812e-07,1.3057849246322917e-09
