year,avait_VERB eu_VERB,avait_VERB tu_VERB
1800,1.2391152267809957e-05,6.288328968651058e-09
1801,1.138919651566539e-05,2.857419123536431e-08
1802,7.617607934662374e-06,8.951360541686881e-09
1803,1.0118359568878077e-05,7.801356893821776e-09
1804,1.3528439922083635e-05,9.887403784603066e-09
1805,1.1561983228602912e-05,8.528632911009026e-09
1806,1.0907117939495947e-05,1.152667650217154e-08
1807,1.8698801795835607e-05,1.7081731584767113e-08
1808,1.3834382116328925e-05,1.8128591960930862e-08
1809,1.7141523130703717e-05,2.2590304959990704e-08
1810,1.453920776839368e-05,1.4040760110134443e-08
1811,2.3466238417313434e-05,1.7549536490690798e-08
1812,2.3106025764718652e-05,3.200649834056435e-08
1813,2.3678856450715102e-05,2.300593315851529e-08
1814,1.9320597857586108e-05,4.720015578385528e-08
1815,1.9770648577832617e-05,1.0788894222457657e-08
1816,1.8334563719690777e-05,1.3905623319487859e-08
1817,2.0687733922386542e-05,2.8023721343473085e-08
1818,2.3510945538873784e-05,1.9073883805731384e-08
1819,2.3209124265122227e-05,2.6912730377581795e-08
1820,2.4361885152757168e-05,2.966620282762733e-08
1821,2.5530407583573833e-05,3.155676253641104e-08
1822,2.5793904569582082e-05,1.5038423839541792e-08
1823,2.578294152044691e-05,2.4706716672540097e-08
1824,2.5482286218903027e-05,1.51580028528997e-08
1825,2.6175059247179888e-05,1.9371974913084955e-08
1826,2.7164704079041258e-05,2.4662355713189754e-08
1827,2.9689757866435684e-05,2.21214555007343e-08
1828,2.8421292881830595e-05,6.420610709767516e-09
1829,3.514916534186341e-05,4.3723197173939354e-08
1830,3.099426976405084e-05,4.2791025167687735e-08
1831,2.8018956072628498e-05,4.833273870019639e-08
1832,2.9910703233326785e-05,4.464890013267109e-08
1833,2.7746265914174728e-05,1.390035431203529e-08
1834,2.833496910170652e-05,2.5203233278148218e-08
1835,2.9176881071180105e-05,2.647080776796429e-08
1836,2.799259527819231e-05,2.486677458390929e-08
1837,2.9207138140918687e-05,2.713577429425129e-08
1838,3.0011173294042237e-05,2.1461350030449466e-08
1839,2.968230728583876e-05,2.307186808270245e-08
1840,3.34848155034706e-05,3.567025563810944e-08
1841,2.7531312298378907e-05,2.5682194149112547e-08
1842,3.311266846139915e-05,2.4149755084579283e-08
1843,2.855932507372927e-05,2.0083497642708892e-08
1844,3.128260505036451e-05,2.1405389571960143e-08
1845,3.197637852281332e-05,3.403939108359566e-08
1846,3.0318120479932986e-05,1.9319854605015507e-08
1847,3.148024552501738e-05,2.3730183151826623e-08
1848,2.7911288270843215e-05,1.126331028444838e-08
1849,3.179652776452713e-05,1.1731181359664333e-08
1850,2.8255801225895993e-05,3.53027802546535e-08
1851,2.934817166533321e-05,2.0638204034639784e-08
1852,2.822972419380676e-05,1.2370035884501362e-08
1853,2.901283914980013e-05,3.105404533521039e-08
1854,2.812153434206266e-05,1.6626126253527218e-08
1855,3.123928399872966e-05,2.865746040470185e-08
1856,2.9078200896037742e-05,2.122647668745259e-08
1857,2.884093191823922e-05,2.1966790220151466e-08
1858,2.979318924190011e-05,1.468102794888182e-08
1859,3.131839548586868e-05,2.495164919125159e-08
1860,3.206225665053353e-05,2.1512764097897374e-08
1861,2.8915459552081302e-05,1.886385503357957e-08
1862,3.0668994440929964e-05,2.0782737308877586e-08
1863,2.8671620384557173e-05,1.5982786927271064e-08
1864,2.8052514608134516e-05,2.4932585773740357e-08
1865,2.97373717330629e-05,1.694463946932956e-08
1866,2.990746361319907e-05,2.2868381521767844e-08
1867,3.005491817020811e-05,1.261730986357179e-08
1868,2.825360934366472e-05,1.3831646938911035e-08
1869,2.9599497793242335e-05,2.0510780074367574e-08
1870,3.0288965717772953e-05,1.777555214133031e-08
1871,2.718065479712095e-05,7.434824311758348e-09
1872,2.882766602851916e-05,1.874675148449967e-08
1873,2.7530233637662604e-05,1.9155214636690232e-08
1874,2.8935630325577222e-05,1.5533982988813477e-08
1875,2.8183671020087786e-05,2.9751941355016243e-08
1876,2.71206081379205e-05,2.116105224381215e-08
1877,2.6672018066165037e-05,1.9791411509650914e-08
1878,2.8108937840443105e-05,1.8117265909722846e-08
1879,2.8256239602342248e-05,1.9549840857280287e-08
1880,2.6748941309051588e-05,1.8611753693775768e-08
1881,2.6584777515381575e-05,2.091752193678076e-08
1882,2.6939002054859884e-05,1.9966154951589488e-08
1883,2.6016086849267595e-05,1.895801765572358e-08
1884,2.7030648197978735e-05,1.1222884843675729e-08
1885,2.6017163690994494e-05,9.66845359329227e-09
1886,2.609458169899881e-05,2.710454793941608e-08
1887,2.5163128157146275e-05,1.2404956672984468e-08
1888,2.5867171643767506e-05,1.3949351895803375e-08
1889,2.4682758521521464e-05,1.8795409673089125e-08
1890,2.495844819350168e-05,5.898947996740844e-09
1891,2.3974078430910595e-05,1.9122660233072963e-08
1892,2.399774530204013e-05,1.3790726782758611e-08
1893,2.501179369573947e-05,1.1700991287000306e-08
1894,2.503160430933349e-05,2.331569448621451e-08
1895,2.4995908461278304e-05,1.5046536461227333e-08
1896,2.4695578758837655e-05,1.47425724961181e-08
1897,2.355973447265569e-05,1.7480140002135158e-08
1898,2.411986861261539e-05,1.8106735777401184e-08
1899,2.3905671696411446e-05,1.4371703827009696e-08
1900,2.3063848857418634e-05,1.1939421895590385e-08
1901,2.3524678908870555e-05,2.3472702892490815e-08
1902,1.994851845665835e-05,1.1293653123800595e-08
1903,2.2519458070746623e-05,2.430099144135056e-08
1904,2.202628820668906e-05,1.5586412160928376e-08
1905,2.1992058464093134e-05,1.651442893546573e-08
1906,2.25958301598439e-05,2.82930141537463e-08
1907,2.129600034095347e-05,2.674278576364486e-08
1908,2.1656769604305737e-05,1.7681001329705737e-08
1909,2.2620593881583773e-05,4.620826299372993e-08
1910,2.1715955881518312e-05,2.9927242906069296e-08
1911,2.1562413166975603e-05,3.1390207766435196e-08
1912,2.121276338584721e-05,2.344239469209697e-08
1913,2.048173701041378e-05,2.0681660439780813e-08
1914,2.03741728910245e-05,2.74566485103378e-08
1915,1.9924802472814918e-05,2.238344798399794e-08
1916,1.993784826481715e-05,2.1974923436474114e-08
1917,1.9636479919427074e-05,4.934890895924582e-08
1918,1.934190913743805e-05,2.5270027848023346e-08
1919,1.9195602362742648e-05,3.130668307926854e-08
1920,1.937885463121347e-05,1.2872793941909322e-08
1921,2.015032441704534e-05,2.9533714140939082e-08
1922,2.018529448832851e-05,1.6969252392140532e-08
1923,2.0776471501449123e-05,3.503262879789304e-08
1924,2.0631756342481822e-05,2.707241186783449e-08
1925,2.0511601178441197e-05,2.0896538499570738e-08
1926,2.0429757569218054e-05,3.009457216762712e-08
1927,2.4165945433196612e-05,2.006860555514578e-08
