year,soient_VERB aux_ADP,soient_VERB tôt_ADV
1800,7.54599476238127e-08,3.144164484325529e-09
1801,6.429193177837078e-08,0.0
1802,7.608656460433849e-08,0.0
1803,8.191424427650418e-08,1.3652374342143503e-08
1804,9.393033195692624e-08,4.943701892301533e-09
1805,6.822906506442905e-08,0.0
1806,6.627838988748636e-08,1.152667650217154e-08
1807,5.4092147649953404e-08,0.0
1808,1.178358477460506e-07,0.0
1809,2.0783080234565432e-07,2.259030518203531e-09
1810,1.2870697219113936e-07,7.020380277111826e-09
1811,1.0529722516139373e-07,0.0
1812,6.13457871168066e-08,0.0
1813,1.3803560250380542e-07,0.0
1814,1.8880062846449164e-07,0.0
1815,6.473336622292436e-08,0.0
1816,8.806894769008977e-08,6.952811659743929e-09
1817,1.1209488270935708e-07,0.0
1818,5.126106206176928e-08,0.0
1819,5.7965878541565985e-08,1.2421260464634543e-08
1820,1.340912350045187e-07,1.1866481131050932e-09
1821,8.579494448213154e-08,9.861488514673056e-09
1822,8.221005032282847e-08,2.0051231786055723e-09
1823,4.0519015698237126e-08,0.0
1824,7.242156652154108e-08,0.0
1825,1.8227267339909758e-07,8.805443041381977e-10
1826,9.68878284268726e-08,8.807984341885344e-10
1827,7.834681770013674e-08,1.2904182611350734e-08
1828,9.997808092521154e-08,3.668920500743411e-09
1829,6.344150138559712e-08,0.0
1830,5.4271546368056534e-08,1.0436835840010872e-09
1831,5.9246584527272717e-08,0.0
1832,5.6825870453636185e-08,4.058990921151917e-09
1833,3.359252431778259e-08,1.1583628500844156e-09
1834,8.494422942817437e-08,2.8003592777992026e-09
1835,5.067268915581735e-08,1.0588323107185715e-08
1836,5.7798450803225876e-08,0.0
1837,8.83652155891923e-08,3.478945576063097e-09
1838,7.069621377198132e-08,3.787297142565649e-09
1839,5.523265422802126e-08,0.0
1840,5.477932418784803e-08,0.0
1841,5.778493861186007e-08,3.2102742686390684e-09
1842,4.628703020870262e-08,4.024959032733477e-09
1843,7.560846282395062e-08,0.0
1844,6.25695986133934e-08,5.488561272137815e-10
1845,8.426144137985148e-08,0.0
1846,6.147226461195032e-08,5.854501328173001e-09
1847,3.343798482546845e-08,0.0
1848,6.757986370509173e-08,3.218088684420195e-09
1849,5.6980021589936314e-08,8.379414939696517e-10
1850,3.86972773824823e-08,4.752297222410107e-09
1851,4.708090450833424e-08,6.449438760824933e-10
1852,9.440291082185581e-08,2.6042181744401205e-09
1853,7.942669344451758e-08,4.777545470346922e-09
1854,8.209149493509926e-08,2.5978321716024766e-09
1855,5.041590256382733e-08,1.5920811335945473e-09
1856,6.160855203773963e-08,5.694908100650764e-09
1857,7.419893588433979e-08,3.905207268672939e-09
1858,5.2851699905431815e-08,0.0
1859,8.402086004721809e-08,1.5276520048956854e-09
1860,4.668727759948865e-08,9.154367819341758e-10
1861,7.262584400535843e-08,4.715963730639317e-10
1862,5.647482881343535e-08,3.6143890103090826e-09
1863,5.2942979333892026e-08,1.9978483312144135e-09
1864,6.281093734017418e-08,4.794727948009836e-10
1865,6.824924114745556e-08,4.23615986733239e-09
1866,6.763201848558609e-08,9.731225603104576e-09
