year,dont_PRON elle_PRON,dont_PRON tel_ADJ
1800,5.410792800830677e-05,3.144164484325529e-09
1801,5.649117520079017e-05,1.904946067554647e-08
1802,5.1978313422296196e-05,8.951360541686881e-09
1803,5.473431883729063e-05,2.3404069793286908e-08
1804,5.4487009037984535e-05,3.213406074564773e-08
1805,5.591656008618884e-05,2.842877755426798e-08
1806,5.293626236380078e-05,1.0662175498055149e-07
1807,5.250069807516411e-05,2.8469551160981155e-09
1808,5.288563625072129e-05,2.2660739951163578e-09
1809,5.3848511015530676e-05,5.6475762733043666e-08
1810,5.713887367164716e-05,6.552355102940055e-08
1811,4.529034049483016e-05,7.521229861140455e-09
1812,5.10290265083313e-05,1.8670457180292033e-08
1813,5.468510425998829e-05,1.150296680130225e-08
1814,5.0274462410015985e-05,3.4613449884091096e-08
1815,5.701930422219448e-05,1.8880564667256294e-08
1816,5.1712697313632816e-05,2.3176038865813098e-09
1817,5.4400272347265854e-05,3.113746815941454e-09
1818,5.327455073711462e-05,3.337929754820834e-08
1819,4.967158383806236e-05,4.140419918030602e-08
1820,5.381093069445342e-05,3.20394981656591e-08
1821,5.210810559219681e-05,2.2681422962023134e-08
1822,4.999774682801217e-05,2.606660132187244e-08
1823,4.843010538024828e-05,2.668325471688604e-08
1824,4.889718911726959e-05,9.010590407143582e-08
1825,4.854528742725961e-05,7.044354433105582e-09
1826,4.8075740778585896e-05,4.932471142637951e-08
1827,4.842571070184931e-05,2.1199728195142598e-08
1828,4.999362863600254e-05,5.228211819030548e-08
1829,5.001248064218089e-05,3.25780691312616e-08
1830,5.001331737730652e-05,4.383471008395645e-08
1831,4.453783913049847e-05,1.2472964883158966e-08
1832,4.7501016524620354e-05,2.029495349553656e-08
1833,4.870104748988524e-05,1.7375443306377747e-08
1834,4.6839741116855294e-05,1.9602514722549813e-08
1835,4.389162495499477e-05,2.4958190181223472e-08
1836,4.425210499903187e-05,2.5538851033957144e-08
1837,4.486517718760297e-05,5.427154903259179e-08
1838,4.4645919842878357e-05,1.7674054220151447e-08
1839,4.420639743329957e-05,4.6842885126352485e-08
1840,4.5789143769070506e-05,2.675269178409323e-08
1841,4.66151068394538e-05,4.687000343395198e-08
1842,4.5815439079888165e-05,2.0124794275488966e-08
1843,4.3865311454283074e-05,2.9534556134080958e-08
1844,4.674003866966814e-05,4.610391357573462e-08
1845,4.6723806008230895e-05,3.1807299905040054e-08
1846,4.484138116822578e-05,3.8639708321852595e-08
1847,4.34602152381558e-05,3.074137566727586e-08
1848,4.369762245914899e-05,1.206783295515379e-08
1849,4.474020897760056e-05,2.6814127807028854e-08
1850,4.401238402351737e-05,3.394498016007219e-08
1851,4.2541141738183796e-05,2.1283147688677673e-08
1852,4.6224871766753495e-05,3.711010876372711e-08
1853,4.480501593207009e-05,5.2552998397459305e-08
1854,4.621439438778907e-05,4.312401458150816e-08
1855,4.454165537026711e-05,2.2819829581521844e-08
1856,4.569283555611037e-05,3.261629161199764e-08
1857,4.5035827497486025e-05,2.9777206034253823e-08
1858,4.5622273319168016e-05,3.1319527193929275e-08
1859,4.7383691708091646e-05,3.309912632865064e-08
