year,fut_VERB en_PRON,fut_VERB tant_ADV
1800,1.131899196593622e-07,1.4148740490327327e-07
1801,1.5239568540437176e-07,1.4048977448055666e-07
1802,1.6336232988578558e-07,5.147032311469957e-07
1803,9.166594594489652e-08,1.3457341196954076e-07
1804,1.5325475999361515e-07,4.69651695311768e-08
1805,1.0802935435094696e-07,1.0802935435094696e-07
1806,1.873084869430386e-07,1.2391177506287931e-07
1807,1.4804166426074516e-07,1.195721210933698e-07
1808,1.5862518409903714e-07,1.0423940466353088e-07
1809,1.1746958961111886e-07,1.581321384946932e-07
1810,1.0296557917399696e-07,1.0530570193623134e-07
1811,1.42903374467096e-07,1.0279014617253779e-07
1812,1.0668833283489221e-07,1.8670458246106136e-07
1813,1.1790540810352468e-07,1.121539270343419e-07
1814,1.2272040805783035e-07,1.4789382873914292e-07
1815,1.1328339155625144e-07,1.537417375629957e-07
1816,1.228330006597389e-07,8.57513455798653e-08
1817,1.401186011662503e-07,1.4167548556542897e-07
1818,9.298518222067287e-08,1.5616741677604296e-07
1819,1.1696686641471388e-07,3.6539205439112266e-07
1820,1.8986369809681491e-07,5.3280501788322e-07
1821,1.370746929296729e-07,1.6764529675583617e-07
1822,1.513867999847207e-07,2.2056354964661296e-07
1823,1.8282970870586723e-07,3.271169362051296e-07
1824,1.8779081756292726e-07,4.0673972989679896e-07
1825,1.937197424695114e-07,2.9674342272301146e-07
1826,2.1403401717634551e-07,6.711683795401768e-07
1827,1.308852830561591e-07,4.958893100592832e-07
1828,1.0272977135628025e-07,3.503818959416094e-07
1829,1.0287811136322489e-07,1.3888545424833865e-07
1830,1.575962187416735e-07,1.5655253093882493e-07
1831,7.327867024287116e-08,1.1225668572478753e-07
1832,1.1635773944362882e-07,1.1771073360478113e-07
1833,1.169946486356821e-07,8.68772147555319e-08
1834,9.894602470694736e-08,2.5389923052898666e-07
1835,1.323540459452488e-07,3.547088169852941e-07
1836,2.0027835034852615e-07,5.067445272288751e-07
1837,1.864714818111679e-07,4.153860970745882e-07
1838,2.5690499683150847e-07,4.412201235481916e-07
1839,1.4961756278353278e-07,1.3843120427736721e-07
1840,1.4522889557611052e-07,2.095627564813185e-07
1841,1.1300165425609521e-07,2.722312615333067e-07
1842,1.1873628835701311e-07,2.0124795696574438e-07
1843,1.2640789748274983e-07,1.4767277889404795e-07
1844,1.2843233321291336e-07,7.025358428336403e-08
1845,1.3057733383448067e-07,6.194053270291988e-08
1846,1.6626783860829164e-07,1.264572233594663e-07
1847,1.1271837507820237e-07,9.384208965457219e-08
1848,1.2309189401094045e-07,1.6814513514873397e-07
1849,9.049767868418712e-08,1.0641856817983353e-07
1850,1.6429370930381992e-07,1.547891059772155e-07
1851,1.4962698458020895e-07,1.289887734401418e-07
1852,1.3411722932232806e-07,1.1328349103223445e-07
1853,1.3854881331099023e-07,1.899074391076283e-07
1854,1.9587655231134704e-07,2.4679405896677054e-07
1855,1.3851105507001193e-07,1.5973880351793923e-07
1856,1.791307511211926e-07,1.6567005900469667e-07
1857,1.6499500077316043e-07,2.884971763705835e-07
1858,1.389803969686909e-07,2.407688555194909e-07
1859,1.5887580673279444e-07,1.8484588792944123e-07
1860,1.3044973456999287e-07,1.2999201715047093e-07
1861,1.2308665020555054e-07,1.8203620300027978e-07
1862,1.296662048844155e-07,1.6942448155532475e-07
1863,1.11879508324364e-07,1.5083755044997815e-07
1864,1.567876068975238e-07,1.5630813265943289e-07
1865,1.289675424231973e-07,1.1014015655064213e-07
1866,1.3575059654158395e-07,1.420758906078845e-07
1867,1.0967353603064112e-07,1.9459774591723544e-07
1868,1.9463104194983316e-07,1.7635350957334595e-07
1869,1.3576183732766367e-07,1.4943569226488762e-07
1870,1.1410757139174166e-07,1.2844269292600075e-07
1871,1.2001930826954776e-07,9.559059321873065e-08
1872,1.4634561296134052e-07,1.608592299362499e-07
1873,1.3288929778809688e-07,1.9334794387759757e-07
1874,1.188947251762329e-07,1.3681854227343138e-07
1875,1.2644575519971113e-07,1.756508822836622e-07
1876,1.1064206972832835e-07,2.0677370571320353e-07
1877,1.4163228456709476e-07,1.36065949618569e-07
1878,1.1534659449807805e-07,1.2500913726398721e-07
1879,1.1180065229154934e-07,1.9916400617603358e-07
1880,1.1937194699385145e-07,2.098635718539299e-07
1881,1.0807386985334233e-07,2.558910239258694e-07
1882,1.2046247377384134e-07,1.5573601785945357e-07
1883,1.1438003610919623e-07,1.0363715574612797e-07
1884,8.648223115415021e-08,1.34014442210173e-07
1885,7.799219048365558e-08,1.2633445578558167e-07
1886,1.0325542376676822e-07,1.59400556754008e-07
1887,7.116528166761782e-08,9.923965649250022e-08
1888,1.1096075525074411e-07,1.7183066347570275e-07
1889,7.51816386923565e-08,1.5286933319202944e-07
1890,7.799719980994269e-08,8.913965388046563e-08
1891,1.121862709396737e-07,1.2047276243265514e-07
1892,1.3101190177167155e-07,1.0531100969046747e-07
1893,1.090039702944523e-07,1.2871090859789547e-07
1894,8.192001388351855e-08,9.830401381805132e-08
1895,9.268666190109798e-08,1.131499516304757e-07
1896,9.435246539624131e-08,1.3740077520196792e-07
1897,7.39992600529149e-08,1.130382401015595e-07
1898,5.6583548513344795e-08,8.940200757479033e-08
1899,7.185852268776216e-08,8.45719512199139e-08
1900,9.13625370912996e-08,1.199133237150818e-07
1901,7.712459648701042e-08,9.10964459421848e-08
1902,7.414528369054096e-08,9.575053638855024e-08
1903,7.506306332061286e-08,1.1340462435782683e-07
1904,6.127072538220091e-08,1.0211788037395308e-07
1905,4.8511136441220515e-08,1.0579555720369171e-07
