year,fût_VERB en_ADP,fût_VERB tant_ADV
1800,2.3329700979957124e-06,1.5720821977538435e-08
1801,2.3740390133752953e-06,2.3811825844433088e-09
1802,2.202034693254973e-06,4.475680270843441e-09
1803,2.1999826458340976e-06,7.801356893821776e-09
1804,3.0379048894246807e-06,3.9549615138412264e-08
1805,2.3908601178845856e-06,3.695740957709859e-08
1806,3.1122026484808885e-06,4.8988376022407465e-08
1807,2.6078109840455e-06,2.562259560079383e-08
1808,2.7351513836038066e-06,2.2660739951163578e-09
1809,2.8734868919855217e-06,2.4849335034105025e-08
1810,2.7777305149356835e-06,9.360507036149102e-09
1811,2.3491309093515156e-06,3.259199843341776e-08
1812,2.5658544018369867e-06,0.0
1813,2.3581080768053653e-06,5.751483289628823e-09
1814,2.2404340143111767e-06,2.2026739543434815e-08
1815,2.308823468410992e-06,5.394447111228828e-09
1816,2.303698238392826e-06,3.9399267848239106e-08
1817,2.9066825391055318e-06,1.401186100480345e-08
1818,2.811013700920739e-06,2.5034472272977837e-08
1819,3.0463140774372732e-06,3.519356894798875e-08
1820,2.699624474189477e-06,1.542642635854463e-08
1821,3.130036475340603e-06,3.648750634965836e-08
1822,2.999664275193936e-06,1.9048670196752937e-08
1823,4.5361534830590244e-06,5.0401702367253165e-08
1824,3.4080242130585248e-06,3.115811608722652e-08
1825,3.3469489153503673e-06,1.8491430608946757e-08
1826,3.288020479885745e-06,1.4973572604048968e-08
1827,3.308079385533347e-06,4.055600300034712e-08
1828,2.9094539968355093e-06,1.559291185060374e-08
1829,3.0563371637981618e-06,1.628903412154159e-08
1830,2.8596930405910825e-06,1.7742621594152297e-08
1831,2.4743244466662873e-06,1.2472964883158966e-08
1832,2.171560026908992e-06,1.352996914505411e-08
1833,2.9862594601581804e-06,3.359252431778259e-08
1834,2.540859213695512e-06,1.9602515166639023e-08
1835,2.8414522148523247e-06,2.7983425354705105e-08
1836,2.8536305762827396e-06,3.1587525484155776e-08
1837,2.761586983979214e-06,2.2265250976261086e-08
1838,3.2210962217504857e-06,3.597932263232906e-08
1839,2.744154016909306e-06,1.3982949909063791e-08
1840,2.968274884551647e-06,2.6752692505738196e-08
1841,2.9052982881694334e-06,4.365973182984817e-08
1842,2.7034307095163967e-06,1.0733224087289273e-08
1843,2.4466426111757755e-06,2.539971788451112e-08
1844,2.610908495626063e-06,2.360081374774836e-08
1845,2.5825295324466424e-06,1.8414752389617206e-08
1846,2.58944601227995e-06,3.1614305839866574e-08
1847,2.174547717004316e-06,1.4022381478184798e-08
1848,2.1689918412448606e-06,2.091757700384278e-08
1849,2.1350749648263445e-06,1.75967720394965e-08
1850,2.3028273972158786e-06,1.5614691761811628e-08
1851,2.353400304855313e-06,1.2253933867611977e-08
1852,2.297571427334333e-06,2.018269107395554e-08
1853,2.2364883989212103e-06,2.508211416341055e-08
1854,2.43053182202857e-06,1.2469595134234623e-08
1855,2.189111455663806e-06,2.3350523292720027e-08
1856,2.205482587669394e-06,2.692138423299184e-08
1857,2.490057795512257e-06,4.1980978693345605e-08
1858,2.3279217202798463e-06,1.7127865348243176e-08
1859,2.3255954602063866e-06,2.64793023063703e-08
1860,2.2272577098192414e-06,1.876645328025006e-08
1861,2.1127516447450034e-06,1.839225838295988e-08
1862,2.3236002562043723e-06,1.1294965851504912e-08
1863,1.9928536403313046e-06,2.3974180862751382e-08
1864,1.992209490708774e-06,1.1986819536957682e-08
1865,2.103959332089289e-06,1.1767110841276462e-08
1866,2.124326556440792e-06,9.244664589402873e-09
1867,2.056621497104061e-06,2.2808213984149006e-08
1868,1.9932392660848564e-06,2.1735445443482604e-08
1869,2.1272610410960624e-06,1.7580669364747337e-08
1870,2.0143713754805503e-06,2.0069171213776826e-08
1871,1.8130349417333491e-06,1.1683295220166201e-08
1872,2.102659891534131e-06,8.4662747923403e-09
1873,1.9113313101115637e-06,8.979006871356887e-09
1874,1.972815880435519e-06,1.2546679251101978e-08
1875,1.919000169436913e-06,2.8607635371713513e-08
1876,1.7974801949094399e-06,1.5719638923883394e-08
1877,1.6012488686101278e-06,2.3502300550148902e-08
1878,1.6474633639518288e-06,9.662541877730746e-09
1879,1.727106223370356e-06,1.1607718342077078e-08
1880,1.739236381581577e-06,3.2089231272180996e-09
1881,1.6559705500185373e-06,9.064259565150223e-09
1882,1.8435416677675676e-06,1.3310770263785798e-08
1883,1.6202784536289982e-06,1.3902545781263598e-08
1884,1.5989310213626595e-06,1.1883054540362536e-08
1885,1.4857190535622067e-06,9.66845359329227e-09
1886,1.589488192621502e-06,1.677900662855336e-08
1887,1.4461568298429484e-06,5.223139698529167e-09
1888,1.5635955605830532e-06,1.3949351895803375e-08
1889,1.52806683217932e-06,8.771191772893872e-09
1890,1.389529984408e-06,7.865263995654459e-09
1891,1.3608960216515698e-06,1.0836173736095134e-08
1892,1.45993658406951e-06,8.149066310636499e-09
1893,1.4743249039383954e-06,5.542574843531156e-09
1894,1.3863386811863165e-06,1.071261657159539e-08
1895,1.3656235751113854e-06,9.629783193076946e-09
1896,1.473077873015427e-06,1.592197840238896e-08
1897,1.3820964568367344e-06,1.4566784223291052e-08
1898,1.4264712717704242e-06,1.1882545614128048e-08
1899,1.4056631698622368e-06,1.1055156790007459e-08
1900,1.3221612107372493e-06,9.863001082521805e-09
1901,1.2675259313255083e-06,5.58873880507349e-09
1902,1.1917259143956471e-06,1.6203935970793282e-08
1903,1.325214043390588e-06,2.1600881083827517e-08
1904,1.1888671451742994e-06,4.299700151477737e-09
