year,eut_VERB en_PRON,eut_VERB tant_ADV
1800,1.4148740490327327e-07,3.961647223604814e-07
1801,1.7144515140898875e-07,4.78617721455521e-07
1802,1.5888664961494214e-07,5.415573127720563e-07
1803,8.776526527753958e-08,5.226909252087353e-07
1804,1.7797326279378467e-07,5.759412715633516e-07
1805,1.5351540127994667e-07,5.543611791836156e-07
1806,2.0459850702536642e-07,5.561621492233826e-07
1807,1.6227643584443285e-07,4.384311012017861e-07
1808,8.837688625362716e-08,4.44150515477304e-07
1809,1.5135503872443223e-07,5.941250265095732e-07
1810,1.591286178381779e-07,7.886227422204684e-07
1811,1.780024518893697e-07,8.82491008269426e-07
1812,1.8670458246106136e-07,4.88099090034666e-07
1813,2.9620139230246423e-07,6.614205858568312e-07
1814,2.580275122454623e-07,4.24801413601017e-07
1815,1.6722786710943183e-07,4.666196673497325e-07
1816,2.201723674488676e-07,4.982848622603342e-07
1817,1.2299300067297736e-07,7.395148600153334e-07
1818,3.290244876552606e-07,6.461278303504514e-07
1819,1.749327509514842e-07,8.622424729765044e-07
1820,1.5189095847745193e-07,8.259070796157175e-07
1821,1.922990264802138e-07,7.632792176082148e-07
1822,1.6943290859217086e-07,7.539263151556952e-07
1823,1.4725203811849497e-07,9.872803730104351e-07
1824,2.467386082116718e-07,8.749536277719017e-07
1825,2.703270922665979e-07,8.224283760682738e-07
1826,3.514385866765224e-07,5.416910653366358e-07
1827,1.2719836206542823e-07,5.613319444819354e-07
1828,2.4214875793404644e-07,5.833583713865664e-07
1829,1.217391059071815e-07,6.146967166387185e-07
1830,1.6072726793936454e-07,4.800944566341059e-07
1831,1.2317052267007966e-07,3.617159904933942e-07
1832,1.055337577327009e-07,4.045460855195415e-07
1833,1.4016190164056752e-07,4.07743726782428e-07
1834,1.278830694673161e-07,4.312553301133448e-07
1835,1.2403464211274695e-07,6.398372534022201e-07
1836,1.754115714902582e-07,6.720750320710067e-07
1837,1.4959465488573187e-07,6.651743547081423e-07
1838,1.3760512729277252e-07,7.189552206909866e-07
1839,1.6220222676111007e-07,4.2857743665081216e-07
1840,1.05099864811109e-07,6.267773642321117e-07
1841,1.6693425664016104e-07,5.547353794099763e-07
1842,1.3081117344881932e-07,4.809825782103871e-07
1843,1.4117517821432557e-07,5.381195933296112e-07
1844,1.3611631288767967e-07,5.521492880689038e-07
1845,1.2499710067004344e-07,4.653909968510561e-07
1846,1.3933713205460663e-07,4.4962570200368646e-07
1847,1.450777205036502e-07,3.3815513234003447e-07
1848,1.5768634398227732e-07,4.7225452703969495e-07
1849,1.2569122986860748e-07,3.041727723029908e-07
1850,1.6565149962843861e-07,4.5214713395580475e-07
1851,1.2060451126671978e-07,3.985753096458211e-07
1852,1.6081047249372205e-07,4.6615505766567367e-07
1853,1.3436846302283811e-07,4.6819945964671206e-07
1854,1.5638950401353213e-07,5.959427085144853e-07
1855,1.347962097497657e-07,5.77925447942107e-07
1856,1.1700447544171766e-07,5.788097610093246e-07
1857,1.2594293252732314e-07,6.467999469350616e-07
1858,1.3359735362428182e-07,5.461342311718909e-07
1859,1.1762920593128001e-07,5.280583650346671e-07
1860,7.369266086243442e-08,4.462754361611587e-07
1861,8.488734692946309e-08,3.942545561130828e-07
1862,1.1249785814015922e-07,5.123396249473444e-07
1863,1.618257101654308e-07,4.3852770659214e-07
1864,8.151037178549814e-08,4.406354889852082e-07
1865,1.3085026751014084e-07,4.800981514563318e-07
1866,9.974506554044638e-08,4.442304657459317e-07
1867,1.0530600746960772e-07,4.411205623000569e-07
1868,1.3881046356800653e-07,4.589143145494745e-07
1869,9.42519164937039e-08,3.8579801753257925e-07
1870,1.4392462333034928e-07,4.5241645807436726e-07
1871,7.859671313781291e-08,2.708400188566884e-07
1872,1.354603966774448e-07,3.6042141005054873e-07
1873,1.1014248002538807e-07,3.657448814919917e-07
1874,1.559373004056397e-07,4.152353483277693e-07
1875,8.925582051233505e-08,3.1182324278233864e-07
1876,9.975924086802479e-08,4.431728939380264e-07
1877,9.52461647329983e-08,4.0634242282067135e-07
1878,1.0145669193661888e-07,4.764841037285805e-07
1879,1.4601288000903878e-07,3.5678459653354366e-07
1880,1.01401973040538e-07,3.600411844217888e-07
1881,9.900960407094317e-08,3.158546064696566e-07
1882,1.1380708286878871e-07,4.31268944112162e-07
1883,1.0300522745865237e-07,3.1659888577451056e-07
1884,7.591951600716129e-08,3.531907850629068e-07
1885,1.1344318551209653e-07,3.177698317813338e-07
1886,7.7441569601433e-08,3.175104268393625e-07
1887,7.116528166761782e-08,2.9837184456482646e-07
1888,6.721051448721482e-08,2.9547263125095924e-07
1889,6.828999232766364e-08,2.813046364735783e-07
1890,6.161123167203186e-08,2.4251230001937074e-07
1891,8.350228597464593e-08,2.396706690888095e-07
1892,8.023695841075096e-08,2.488599477601383e-07
1893,9.607129669575443e-08,2.3648320279789914e-07
1894,1.1783878761661981e-07,2.2433479784922383e-07
1895,7.76401236635138e-08,2.732450923303986e-07
1896,9.31730568254352e-08,2.653663102591963e-07
1897,8.565268672100501e-08,2.604541009532113e-07
1898,9.562619851521958e-08,3.049853205538966e-07
1899,7.517506617205072e-08,2.6255997909174766e-07
1900,5.5544269628171605e-08,2.1490960477876797e-07
1901,6.818261510943557e-08,2.5205213205481414e-07
1902,6.432471622019875e-08,2.514065329251025e-07
1903,6.912281946824805e-08,2.370696705611408e-07
1904,6.449550227216605e-08,2.816303492636507e-07
1905,7.121847289681682e-08,3.091294615842344e-07
1906,5.5042775670699484e-08,2.582380602689227e-07
1907,7.817121883135769e-08,2.370850751276521e-07
1908,5.893667065492991e-08,2.603036080017773e-07
1909,6.60118004702781e-08,2.5249514123970584e-07
1910,5.451033757708501e-08,2.6293221822015767e-07
1911,4.62872549178428e-08,3.218826236661698e-07
1912,5.1052328586820295e-08,2.6515954232309014e-07
1913,5.302989691813309e-08,2.8370993732096395e-07
1914,6.629776549971211e-08,2.698787682220427e-07
1915,2.4739600590351074e-08,2.5799869263209985e-07
1916,2.0876177231343718e-08,2.7798279234048096e-07
1917,5.263883906536648e-08,2.9609344665004755e-07
1918,4.9391417178412667e-08,2.9979440796523704e-07
1919,3.591060959706738e-08,3.020174403900455e-07
1920,5.3762846619065385e-08,2.642708807343297e-07
1921,4.770830841493989e-08,3.150262841700169e-07
