year,grand_ADJ acte_NOUN,grand_ADJ tact_NOUN
1800,5.282196298139752e-07,9.432493897065797e-09
1801,6.976865165597701e-07,0.0
1802,7.116331630641071e-07,0.0
1803,7.489302333851811e-07,0.0
1804,5.265042659630126e-07,0.0
1805,4.605461754181306e-07,0.0
1806,2.507052272449073e-07,2.881669125542885e-09
1807,3.2739984590079985e-07,0.0
1808,3.1271821399059263e-07,1.8128591960930862e-08
1809,3.5240876172792923e-07,0.0
1810,2.1529166360778618e-07,0.0
1811,3.3093414231188945e-07,0.0
1812,2.2137828636914492e-07,0.0
1813,3.335860299102933e-07,0.0
1814,7.300291144929361e-07,0.0
1815,1.0707977935453528e-06,0.0
1816,8.320197935063334e-07,2.3176038865813098e-09
1817,7.76879858221946e-07,0.0
1818,6.210933634065441e-07,4.530047448270125e-08
1819,5.806938929708849e-07,2.070210003424222e-09
1820,8.46080126848392e-07,2.254631326081835e-08
1821,5.7591091717768e-07,6.903041693817613e-09
1822,5.985292546029086e-07,1.5038423839541792e-08
1823,3.9431921550203697e-07,3.9530747564242574e-09
1824,1.0223230901829083e-06,2.189489300974401e-08
1825,7.845649747650896e-07,1.0566531649658373e-08
1826,6.623604349442758e-07,5.284790383086602e-09
1827,7.963723760440189e-07,9.217273166939322e-09
1828,7.888178856774175e-07,0.0
1829,7.381504474324174e-07,6.001223074036943e-09
1830,8.558205308872857e-07,7.305785310052215e-09
1831,8.918169669414056e-07,3.1182413096075834e-08
1832,8.591530331614194e-07,2.705993873419743e-09
1833,7.842116360734508e-07,1.9692167896323554e-08
1834,8.597103260399308e-07,1.8669062740173104e-08
1835,7.434515509885387e-07,2.0420337421001022e-08
1836,8.259801802523725e-07,3.1587525484155776e-08
1837,8.092027314887673e-07,2.5048407792382932e-08
1838,7.833393169676128e-07,2.209256599883247e-08
1839,7.683631224608689e-07,6.9914749545318955e-09
1840,1.0509986623219447e-06,1.2739377552861697e-08
1841,9.303374781666207e-07,2.5040138851295524e-08
1842,1.1263176702414057e-06,1.341653010911159e-08
1843,9.88226247500279e-07,1.3585895075607368e-08
1844,9.808059076021891e-07,2.305195678786731e-08
1845,1.2309982366787153e-06,2.3436957263811564e-08
1846,1.0286358929079142e-06,1.5807152919933287e-08
1847,1.1347342478984501e-06,1.7258315665458213e-08
1848,1.367687673337059e-06,1.287235473768078e-08
1849,1.4999152426753426e-06,2.1786478399121734e-08
1850,1.00001909686398e-06,1.968808760466345e-08
1851,1.1228472658331157e-06,3.1602251482354404e-08
1852,1.2506757229857612e-06,1.1718981340891332e-08
1853,9.793968729354674e-07,3.762317035693741e-08
1854,8.46373723106808e-07,3.896748168585873e-08
1855,8.655614465169492e-07,3.874064091746732e-08
1856,9.215397085426957e-07,3.36517302912398e-08
1857,9.792307764655561e-07,5.516105261449411e-08
1858,1.0770980907182093e-06,4.257498176230001e-08
1859,1.061208877217723e-06,3.0043821652725455e-08
1860,1.1053899697799352e-06,6.957319698130959e-08
1861,1.1723885791070643e-06,4.385846352761291e-08
1862,1.321059130532376e-06,4.427626620895353e-08
1863,1.1677423117362196e-06,4.2454278315062766e-08
1864,1.2547802725748625e-06,7.096197407463478e-08
1865,1.2044814639011747e-06,3.859612363044107e-08
1866,1.165314301942999e-06,6.27664036301212e-08
1867,1.0326782557967817e-06,7.133633062039735e-08
1868,1.072446707439667e-06,6.668830110356794e-08
1869,1.4924034985597245e-06,3.7603097524652185e-08
1870,1.083735241991235e-06,5.8487298559839473e-08
1871,1.1481492947496008e-06,1.0196330180178848e-07
1872,1.0304665920557454e-06,5.200711683528425e-08
1873,9.511761049907363e-07,3.8909028887701425e-08
1874,9.224796713169781e-07,4.002988163165355e-08
1875,8.685278203302005e-07,7.09469389903461e-08
1876,8.035153769014869e-07,6.590155976482492e-08
1877,7.687726224503422e-07,4.2675228684174726e-08
1878,8.829147759570333e-07,5.1332254003000344e-08
1879,9.982637720895582e-07,2.871382953628654e-08
1880,9.543337000650354e-07,4.6208491255583795e-08
1881,7.976548772603564e-07,2.9284532132578533e-08
1882,7.201126663858304e-07,7.254369904785563e-08
1883,6.970230970182456e-07,6.635305993540896e-08
1884,7.314680487979786e-07,4.291102939646407e-08
1885,6.271603751883958e-07,4.640857653726016e-08
1886,6.188872134771373e-07,8.77671055832252e-08
1887,5.784627319371793e-07,6.790081386043312e-08
1888,7.240981858558371e-07,6.213802095089704e-08
1889,6.803938390476105e-07,3.947036120166558e-08
1890,6.606821330024104e-07,5.83340380444497e-08
1891,6.53357574265101e-07,5.991766727220238e-08
1892,6.337465947581222e-07,4.764069316820496e-08
1893,6.620297767767624e-07,6.220000869916475e-08
1894,5.003421961191634e-07,6.616616587962199e-08
1895,5.59129262001079e-07,4.092657945875544e-08
1896,7.200272307272826e-07,4.1868904787634165e-08
1897,4.7254647483896406e-07,5.010973680441566e-08
1898,6.410916171262215e-07,6.450524381307332e-08
1899,5.162758043297799e-07,2.65323762960179e-08
1900,6.141015660432458e-07,3.114631752509922e-08
