year,quand_CONJ elles_PRON,quand_CONJ telles_ADJ
1800,1.7110543922171928e-05,6.288328968651058e-09
1801,1.3258424360174104e-05,9.524730337773235e-09
1802,1.3648587355419295e-05,6.713520406265161e-09
1803,1.484403173890314e-05,0.0
1804,1.4485046676782076e-05,1.9774807569206132e-08
1805,1.2471704906147352e-05,1.7057265822018053e-08
1806,1.0653530353010865e-05,0.0
1807,1.1077502506395831e-05,0.0
1808,9.948064928266831e-06,0.0
1809,1.221683692165243e-05,0.0
1810,1.0771603911052807e-05,0.0
1811,1.050715877681796e-05,5.0141535368197765e-09
1812,1.0138058485154033e-05,2.6672082320544632e-09
1813,9.308775418048754e-06,1.1502966579257645e-08
1814,9.251230494555784e-06,6.293354282149721e-09
1815,1.0155046879845031e-05,2.697223555614414e-09
1816,1.3163989819986455e-05,0.0
1817,1.2543729440039897e-05,0.0
1818,1.1352537626407866e-05,3.5763532135746345e-09
1819,1.0187503505676432e-05,1.552657513670397e-08
1820,1.118178539627479e-05,3.5599443393152796e-09
1821,1.0641532071531401e-05,1.97229765852569e-09
1822,9.752919595484855e-06,2.2056354964661296e-08
1823,9.509121184692049e-06,2.3718449426723964e-08
1824,9.435014703740308e-06,2.863178316658832e-08
1825,1.0102484793605981e-05,1.496925317034936e-08
1826,1.0487666770586657e-05,4.403992281964975e-09
1827,9.532504009257536e-06,1.8434546111834038e-09
1828,9.853802907855425e-06,1.8344602503717056e-09
1829,9.653396489284205e-06,0.0
1830,1.0149822401217534e-05,4.174734336004349e-09
1831,9.997081406254438e-06,0.0
1832,1.0932215445791371e-05,2.0294953273491956e-08
1833,1.0956954611174297e-05,5.791814139399776e-09
1834,1.0770181916086585e-05,3.733812370398937e-09
1835,1.060950006603889e-05,5.294161553592858e-09
1836,1.08533391767196e-05,3.8980348726624925e-08
1837,1.0473017709955457e-05,1.87863058442872e-08
1838,1.0024975154010463e-05,4.102905393210676e-08
1839,1.0311726498457574e-05,1.0487212875887053e-08
1840,9.63670186138188e-06,1.7835128929277744e-08
1841,9.971753627269209e-06,1.1556987367100646e-08
1842,9.610931215320306e-06,4.695785538189057e-09
1843,1.0138621803434944e-05,7.088293507706567e-09
1844,1.0435950514420256e-05,1.2074834909725496e-08
1845,1.0582902632449986e-05,6.696273757711424e-09
1846,1.0928597589554556e-05,6.439951683034906e-09
1847,9.32056946112425e-06,1.941560512364049e-08
1848,9.670356462265772e-06,8.045221711050488e-10
1849,9.66733074392323e-06,8.379414495607307e-09
1850,9.381034487887518e-06,6.788996032014438e-09
1851,1.006305944883934e-05,3.8696632564949596e-09
1852,1.0405804857782641e-05,9.765818376195057e-09
1853,1.0538668050230626e-05,9.555090940693844e-09
1854,9.955412508588779e-06,1.3508727469968562e-08
1855,1.070037734507423e-05,1.0083180512765466e-08
1856,1.0933187866157823e-05,6.212626857404757e-09
1857,1.046058548581641e-05,1.4156376071383647e-08
1858,1.0086845009027456e-05,1.614913069936108e-08
1859,1.0439464745104488e-05,1.2730433152086107e-08
1860,1.0077585670842382e-05,1.0069804545764782e-08
1861,1.052084331831793e-05,3.301174722469824e-09
1862,9.687465933438943e-06,1.2650361647104091e-08
1863,9.236552159563871e-06,1.5982787093804518e-08
1864,1.0011871495407831e-05,2.1576276765244984e-08
1865,1.0020400566190801e-05,5.648213063924601e-09
1866,9.871842109987483e-06,7.298419313350735e-09
1867,9.570714780693379e-06,7.279217228983725e-09
1868,9.804167746096937e-06,1.3831647049933338e-08
1869,9.68987870919591e-06,9.76703851129912e-09
1870,9.29890723000426e-06,2.408300447953593e-08
1871,8.825136490031582e-06,2.2304472491185834e-08
1872,8.925268389248231e-06,1.3908880047708294e-08
1873,9.90144974366558e-06,2.3944017879529156e-09
1874,9.91605838862597e-06,3.584765539965673e-09
1875,9.527487350169395e-06,8.010137775293913e-09
1876,9.801799365050101e-06,4.232210137899983e-09
1877,9.472045690017694e-06,5.566334504436554e-09
1878,8.832770902245102e-06,4.831270938865373e-09
1879,9.206142237871973e-06,1.2829582951567886e-08
1880,8.66986897563038e-06,7.701415727368044e-09
1881,8.60965252513779e-06,2.091752326904839e-09
1882,8.634031473775394e-06,5.989846840748214e-09
1883,8.824324936540506e-06,3.791603475633565e-09
1884,8.231656011048472e-06,9.242375753615306e-09
1885,8.626838962300099e-06,8.379326343899152e-09
1886,8.29011958103365e-06,0.0
1887,8.894354436961294e-06,2.4809913234946634e-08
1888,8.313180103414197e-06,5.07249175996094e-09
1889,7.863999428536772e-06,3.132568371366773e-09
1890,8.541676606910187e-06,1.9663159989136147e-09
1891,8.394210226470022e-06,6.374220040683554e-10
1892,8.068829288276902e-06,3.761107425503951e-09
1893,8.26705826284524e-06,0.0
1894,8.376636344564758e-06,8.82215522857166e-09
1895,8.58976619610985e-06,1.083350631425617e-08
1896,8.22753503371132e-06,2.358811590497112e-09
1897,8.143415072936477e-06,1.1653427112179315e-09
1898,8.175191339887533e-06,1.6975064687230201e-09
1899,8.023832947401388e-06,5.527578395003729e-10
1900,8.254812883023988e-06,1.038210628578895e-09
1901,7.787907634337898e-06,3.912117185755903e-09
1902,7.689013386880106e-06,1.9641135384773634e-09
1903,7.757416256026772e-06,2.1600881083827517e-09
1904,7.7657957149313e-06,5.374625189347171e-10
1905,7.658050208192435e-06,1.5482277682110634e-09
1906,7.838708540930384e-06,6.173021371846943e-09
1907,7.770322156375187e-06,4.628559036046198e-09
