year,fut_VERB aux_ADP,fut_VERB tôt_ADV
1800,4.338947121595993e-07,3.144164484325529e-09
1801,3.0955374086261145e-07,0.0
1802,4.1400042505301826e-07,0.0
1803,4.797834662895184e-07,0.0
1804,4.474050285807607e-07,0.0
1805,3.752598445316835e-07,5.685755422035754e-09
1806,5.475171178659366e-07,2.881669125542885e-09
1807,4.384311012017861e-07,2.8469551160981155e-09
1808,5.91445314057637e-07,0.0
1809,4.3373387370593264e-07,0.0
1810,3.6739990605383355e-07,7.020380277111826e-09
1811,4.2369597963443084e-07,2.5070767684098882e-09
1812,4.827646762350923e-07,0.0
1813,3.134558426154399e-07,5.751483289628823e-09
1814,5.506685170075798e-07,0.0
1815,6.122697300270374e-07,8.091670444798638e-09
1816,3.5922860774917353e-07,2.0858434979231788e-08
1817,3.752064969830826e-07,4.670620334934483e-09
1818,5.555268671741942e-07,0.0
1819,4.657972567656543e-07,3.1053151161586356e-09
1820,5.434848162622075e-07,4.746592452420373e-09
1821,6.202876079441921e-07,1.0847637454958203e-08
1822,4.802270154868893e-07,4.0102463572111446e-08
1823,5.395946800490492e-07,2.569498569471307e-08
1824,6.08846448812983e-07,3.2842340402794434e-08
1825,5.239238589638262e-07,8.805443041381977e-10
1826,4.597767713221401e-07,3.3470339388941284e-08
1827,5.290714852890233e-07,5.530363722527909e-09
1828,4.1367079006704444e-07,9.172301251858528e-10
1829,5.598283792096481e-07,8.830371456269859e-08
1830,4.26866591851649e-07,4.174734336004349e-09
1831,3.866619238124258e-07,0.0
1832,4.1401705175303505e-07,0.0
1833,4.4365296503201535e-07,2.3167257001688313e-09
1834,5.414028123595926e-07,9.334530925997342e-10
1835,5.68744212614547e-07,1.4369867074037757e-08
1836,5.880656317458488e-07,2.016225053580456e-08
1837,5.712428219339927e-07,1.3219993100221927e-08
1838,6.488902499768301e-07,2.2723781967215473e-08
1839,5.138734309184656e-07,2.7965900706306e-09
1840,5.095751021144679e-07,3.9492068282243054e-08
1841,4.7383647938659124e-07,1.733548060656176e-08
1842,4.7024937543937995e-07,8.049918065466954e-09
1843,4.512880025231425e-07,4.134837805480629e-09
1844,5.290972922011861e-07,2.195424508855126e-09
1845,4.2019115653602057e-07,1.674068439427856e-09
1846,3.9869155443739146e-07,1.2294452567118697e-08
1847,4.492555376600649e-07,0.0
1848,4.2156960944339517e-07,2.413566457803995e-09
1849,3.2344541978091e-07,2.0948537127196687e-08
1850,3.41486497745791e-07,7.467895635215882e-09
1851,4.0373487308897893e-07,5.159551008659946e-09
1852,4.0821120705913927e-07,4.557382027314816e-09
1853,5.494177344189666e-07,1.7318601663873778e-08
1854,4.577380252612784e-07,8.832629738719788e-09
1855,4.4525202724798874e-07,2.653468555990912e-09
1856,4.763014089803619e-07,3.831119954611495e-08
1857,4.6520781893377716e-07,2.4895696171256532e-08
1858,5.07963591189764e-07,1.9085335978274998e-08
1859,4.801919430974522e-07,7.638259802433822e-09
1860,4.5817611749043863e-07,1.2816115280145368e-08
1861,3.9944211494002957e-07,8.017138064531082e-09
1862,3.560173240657605e-07,9.487771457372673e-09
1863,4.784846510119678e-07,7.991393324857654e-09
1864,3.989213723798457e-07,1.0548401263577034e-08
1865,3.803130255164433e-07,1.7415324293779122e-08
1866,3.848699918762577e-07,7.298419202328432e-09
1867,3.275647770806245e-07,9.7056229719783e-09
1868,4.361908736427722e-07,8.89177353968762e-09
1869,4.5172552631811413e-07,8.30198221279943e-09
1870,4.0826427039064583e-07,4.013834153937523e-09
1871,2.931444953446771e-07,4.248470908407853e-09
1872,3.9065812984517834e-07,6.047339295989218e-10
1873,3.896888927101827e-07,1.97538145840781e-08
1874,3.8356989762178273e-07,1.2546679251101978e-08
1875,4.7374246037179546e-07,1.716458086775674e-09
1876,3.603424829634605e-07,7.255217759905008e-09
1877,4.391219476929109e-07,2.4739263970730008e-09
1878,3.726117654423433e-07,8.4547240319921e-09
1879,4.3437302110760356e-07,1.3440515367335593e-08
1880,4.216524871480942e-07,1.0268554007097919e-08
1881,3.067903264764027e-07,9.761510710859511e-09
1882,3.753637258796516e-07,7.320923423037584e-09
1883,3.6715360351990967e-07,1.0742875922176154e-08
1884,3.6903486488881754e-07,1.386356363042296e-08
1885,3.519317033351399e-07,2.0626034213933053e-08
1886,3.7623695448019134e-07,1.1616235084943582e-08
1887,3.3623962281126296e-07,7.1818169189441505e-09
1888,3.9502029380855674e-07,1.5851536971922542e-08
1889,4.072338981586654e-07,1.1903759755682586e-08
1890,3.041235459022573e-07,6.554386366985909e-09
1891,3.1616130513612006e-07,1.0836173736095134e-08
1892,3.6921537116541003e-07,1.191017329205124e-08
1893,3.0976835319052043e-07,2.2170299374124625e-08
1894,3.257895855313109e-07,9.452309157609307e-09
1895,3.2319960041604645e-07,1.2639090662958097e-08
1896,3.2079836387310934e-07,1.0024948871034667e-08
1897,2.936663747732382e-07,1.3984112534615178e-08
1898,2.885761034576717e-07,1.640922953072277e-08
1899,2.6255997909174766e-07,1.4371703827009696e-08
1900,3.5247251162218163e-07,1.972600216504361e-08
1901,3.6382689927449974e-07,2.3472702892490815e-08
1902,3.181863803547458e-07,1.7677022512430085e-08
1903,2.9107187060617434e-07,2.052083658554693e-08
1904,2.810928947383218e-07,6.449550227216605e-09
1905,2.9932402867416386e-07,1.5482276793932215e-08
1906,2.942473429357051e-07,1.0288369267641428e-08
1907,3.3171340874105226e-07,1.2342823652033985e-08
1908,3.727744228854135e-07,2.553922229253658e-08
1909,3.729666957497102e-07,2.4204327431220918e-08
1910,3.104951531440747e-07,1.068830179917768e-08
1911,3.51144706201012e-07,1.9153347352585115e-08
1912,2.979788860102417e-07,2.5526164293410147e-08
1913,3.224217834940646e-07,2.6514948459066545e-08
1914,3.0805020401203365e-07,1.7411533548283842e-08
1915,3.180805663305364e-07,2.3561524287174507e-08
1916,2.593041017462383e-07,1.3184954461564757e-08
1917,3.1034980452204763e-07,3.61891991929042e-08
1918,3.308076372832147e-07,2.5270027848023346e-08
1919,3.5726452551898547e-07,2.9465114792515124e-08
1920,3.664960104288184e-07,3.104614876292544e-08
1921,2.854925753581483e-07,3.0290991048786964e-08
1922,3.4086062328242406e-07,2.951174238319254e-08
1923,3.1104727327146975e-07,2.441668023323018e-08
1924,2.771699314507714e-07,1.933743654092268e-08
1925,2.5955699811675004e-07,2.5295809891190402e-08
1926,3.076334280649462e-07,4.7928395474627905e-08
1927,3.1329321359407913e-07,2.6758140592164636e-08
1928,3.0621791324847436e-07,2.399468712610542e-08
1929,2.863084489490575e-07,2.6736975300423182e-08
1930,2.930505331733002e-07,2.3107928015519974e-08
1931,3.079446173614997e-07,2.9653927313688655e-08
1932,2.816600783717149e-07,3.06867029564728e-08
1933,3.028254695891519e-07,2.7529589274877253e-08
1934,3.4866397413679806e-07,2.516131836216573e-08
1935,2.96813453815048e-07,2.6330225111337313e-08
1936,2.534065401960106e-07,3.758661648589623e-08
1937,2.6063614200211305e-07,2.392312481447334e-08
1938,2.696764624943171e-07,2.2040865133021725e-08
1939,2.3858717668190366e-07,1.6823456405745674e-08
1940,2.5357829258609854e-07,2.5357829613881222e-08
1941,2.715382265705557e-07,1.4757512545315876e-08
1942,3.610711871715466e-07,2.4273694165799498e-08
1943,3.135494068828848e-07,5.516146828199453e-08
1944,2.69907644678824e-07,2.5705489292704442e-08
1945,2.940980436960672e-07,2.178504132643866e-08
1946,2.7006942104890186e-07,2.645009899993056e-08
1947,3.349764767790475e-07,3.814678706248742e-08
1948,2.696228307286219e-07,2.6092530802657166e-08
1949,2.5033369865923305e-07,1.2762110479513922e-08
1950,2.509945318251994e-07,2.0207187034770868e-08
1951,2.7293188509247557e-07,1.8124383771578323e-08
1952,2.6362010885350173e-07,1.370824520563474e-08
1953,2.499527909094468e-07,2.477980309834038e-08
1954,2.1597304566967068e-07,1.4658803948464083e-08
1955,2.355787529495501e-07,2.2525458831523792e-08
1956,2.0058625693764043e-07,2.0930739808022736e-08
1957,2.3501200985265314e-07,2.2087593976038988e-08
1958,2.3658616044031078e-07,1.9853384713997002e-08
1959,2.0074436690720177e-07,1.6276571201956358e-08
1960,2.3323208608871937e-07,3.114374891310945e-08
1961,2.2720480785665131e-07,2.987708569435199e-08
