year,petit_ADJ acte_NOUN
1800,6.60274537267469e-08
1801,1.6906396638205479e-07
1802,7.608656460433849e-08
1803,7.80135707145746e-08
1804,1.4336735887354735e-07
1805,1.1371511021707192e-07
1806,5.76333825108577e-08
1807,1.4519470425966574e-07
1808,4.305540457494317e-08
1809,6.325285539787728e-08
1810,1.7316938283329364e-07
1811,1.178326058948187e-07
1812,2.880584872855252e-07
1813,1.4378707646756084e-07
1814,6.608021863030444e-08
1815,1.4565007688815967e-07
1816,3.476405652236281e-08
1817,9.49692804397273e-08
1818,8.821671571013212e-08
1819,4.0369094733705424e-08
1820,6.763894333516873e-08
1821,5.9168929311681495e-08
1822,9.023054303725075e-08
1823,8.993244904331732e-08
1824,8.252690264498597e-08
1825,8.893497494000258e-08
1826,4.844391554570393e-08
1827,2.8573547083965423e-08
1828,7.06267186956211e-08
1829,7.887322084343396e-08
1830,1.4820307114860043e-07
1831,7.951515357262906e-08
1832,9.741577855493233e-08
1833,1.2626155410089268e-07
1834,1.0641365122410207e-07
1835,8.092504089063368e-08
1836,1.397915951883988e-07
1837,1.231546633562175e-07
1838,1.0162580821315714e-07
1839,1.1046530801195331e-07
1840,7.771020449354182e-08
1841,9.951850188372191e-08
1842,9.19032316915036e-08
1843,1.4767277889404795e-07
1844,1.2843233321291336e-07
1845,7.86812108799495e-08
1846,6.6741314697083e-08
1847,6.310071398729633e-08
1848,7.160247150750365e-08
1849,1.0222886004385145e-07
1850,1.1337623107010586e-07
1851,7.545843061507185e-08
1852,1.2174720609436918e-07
1853,1.2003583549358154e-07
1854,1.2989161746190803e-07
1855,1.6026950788727845e-07
1856,1.1648675979358813e-07
1857,1.2057327580805577e-07
1858,1.458315495028728e-07
1859,1.5785737161877478e-07
1860,1.6981351791400812e-07
1861,1.5609839465469122e-07
1862,1.481899545296983e-07
1863,1.992853668753014e-07
1864,2.0089909469334088e-07
1865,1.58620650836383e-07
1866,1.3429091438865726e-07
1867,1.0821769791391489e-07
1868,1.6943768343935517e-07
1869,2.0120099009091064e-07
1870,1.364703621220542e-07
1871,1.359510690690513e-07
