year,dont_PRON elles_PRON,dont_PRON telle_ADJ
1800,1.9984308892162517e-05,5.65949598296811e-08
1801,1.8968499716720544e-05,8.572257570449437e-08
1802,1.7591661162441596e-05,3.5805442166747525e-08
1803,2.1763835320598446e-05,7.216254971353919e-08
1804,1.6764093743404374e-05,2.4718509461507665e-09
1805,1.8103444745065644e-05,2.55858996212055e-08
1806,1.507689285062952e-05,1.0950342499427279e-07
1807,1.61336938617751e-05,2.8469551160981155e-09
1808,1.6111785953398794e-05,1.3596443970698147e-08
1809,1.7819233107729815e-05,2.0331274441787173e-08
1810,1.67459475051146e-05,2.3401266702194334e-08
1811,1.2675780453719199e-05,1.2535384286138651e-08
1812,1.6939438864937983e-05,2.6672082320544632e-09
1813,1.5681418517488055e-05,0.0
1814,1.43394081533188e-05,1.5733386149463513e-08
1815,1.7669512089923956e-05,6.203614333344376e-08
1816,1.9043751308345236e-05,2.3176038865813098e-09
1817,1.7472790204919875e-05,3.113746771532533e-08
1818,1.5440309653058648e-05,1.9073883805731384e-08
1819,1.5548312148894183e-05,3.1053151161586356e-08
1820,1.4454561096499674e-05,5.933240565525466e-09
1821,1.4307047422335017e-05,3.0570614484304315e-08
1822,1.4135115634417161e-05,1.7645083971729036e-07
1823,1.3246753951534629e-05,2.668325471688604e-08
1824,1.346620138065191e-05,1.1789557774477544e-08
1825,1.3312949704413768e-05,8.805443485471187e-09
1826,1.4479445781034883e-05,5.284790383086602e-09
1827,1.4527344319503754e-05,1.2904182611350734e-08
1828,1.5436065950780176e-05,1.7427371545863934e-08
1829,1.3662212950293906e-05,6.858540846366168e-09
1830,1.4427881978917867e-05,2.0873670791843324e-08
1831,1.2488556421885733e-05,2.182768810143898e-08
1832,1.3732918887399137e-05,2.705993873419743e-09
1833,1.4523553545586765e-05,1.3900354645102198e-08
1834,1.4764427760383114e-05,5.600718555598405e-09
1835,1.3633978596772067e-05,9.832014313815307e-09
1836,1.2863515621575061e-05,9.409050427677812e-09
1837,1.3965878679300658e-05,6.262101948095733e-09
1838,1.2749304914905224e-05,2.840472923537618e-08
1839,1.2957300896232482e-05,6.29232765891885e-09
1840,1.2380126463540364e-05,6.3696887764308485e-09
1841,1.4152815310808364e-05,2.5682194149112547e-09
1842,1.334206808678573e-05,1.1404051036834062e-08
1843,1.3650871551362798e-05,1.5357969118667825e-08
1844,1.4318009561975487e-05,1.4270259640625227e-08
1845,1.350861566606909e-05,1.2834524554250493e-08
1846,1.3426712939690333e-05,1.1709002656346001e-08
1847,1.2352100384305231e-05,5.9325460100012606e-09
1848,1.3711471183341928e-05,1.287235473768078e-08
1849,1.26872719192761e-05,8.379414939696517e-10
1850,1.1901110156031791e-05,2.7155984128057753e-09
1851,1.2092053111700807e-05,9.029214709244116e-09
1852,1.4083611858950462e-05,9.765818376195057e-09
1853,1.2553598025988322e-05,1.1346670270029335e-08
1854,1.2517394679889549e-05,1.0391328686409906e-08
1855,1.1814303434221074e-05,1.4328730202350926e-08
1856,1.229478857567301e-05,5.694908100650764e-09
1857,1.196018547489075e-05,4.393358121745905e-09
1858,1.1571586583158933e-05,1.2723557318849998e-08
1859,1.2487027561292052e-05,7.129042689513199e-09
