year,tout_ADV en_ADP,tout_ADV tant_ADV
1800,1.9028483393412898e-05,5.973912209356058e-08
1801,1.7718379126563377e-05,1.7144515140898875e-07
1802,1.6410081343565253e-05,3.088219386881974e-07
1803,1.532966666673019e-05,6.631153470770812e-08
1804,1.6971728655335028e-05,1.0134588990240445e-07
1805,1.5405554449898773e-05,3.980028751016107e-08
1806,1.660705879658053e-05,6.339671898558663e-08
1807,1.612515382021229e-05,6.547996633798903e-08
1808,1.8196573478235223e-05,3.3991110370834576e-08
1809,1.8557934936325182e-05,4.0662548883574345e-08
1810,1.790431053905195e-05,3.7442028144596406e-08
1811,1.7657341459198506e-05,5.515568801683912e-08
1812,1.713681263026956e-05,2.400487453257938e-08
1813,2.0173327584416256e-05,1.7254450312975678e-08
1814,2.2306795017357217e-05,4.72001566720337e-08
1815,2.2511027054861188e-05,5.394447111228828e-09
1816,1.8183920815317833e-05,3.7081662185300956e-08
1817,2.1058269794593798e-05,4.826307531402563e-08
1818,2.0964582290616818e-05,9.298518222067287e-08
1819,1.9405113221182546e-05,4.7614831188980133e-08
1820,2.275041720167792e-05,5.22125169766241e-08
1821,2.3038409153741668e-05,2.6626018723163725e-08
1822,2.265789225930348e-05,3.107940926838637e-08
1823,2.3819251964596333e-05,1.2847492314449482e-07
1824,2.506038845240255e-05,8.000056794799093e-08
1825,2.5388734684383962e-05,3.786340552203171e-08
1826,2.320287239854224e-05,7.839106075380187e-08
1827,2.605907366159954e-05,5.8068820862899884e-08
1828,2.774988047349325e-05,4.953042775923677e-08
1829,2.849552242878417e-05,5.658296231558779e-08
1830,3.097444073318911e-05,3.026682549034376e-08
1831,3.152853741994477e-05,1.2472964883158966e-08
1832,3.399810702831019e-05,2.1647950987357945e-08
1833,3.543547904882871e-05,6.602667923516492e-08
1834,3.198663762304932e-05,7.187588835222414e-08
1835,3.4127676372008864e-05,5.7479468296151026e-08
1836,3.579673216336232e-05,7.46003228080383e-08
1837,3.608571023505647e-05,2.5048407570338327e-08
1838,3.499778108562168e-05,9.59448636095317e-08
1839,3.782248290917778e-05,4.474544201826802e-08
1840,3.8571648474317044e-05,4.1402974826354466e-08
1841,4.11499390793324e-05,5.264849889385914e-08
1842,4.428394004207803e-05,3.3541326160957396e-08
1843,4.4460728076956e-05,5.965980337530041e-08
1844,4.503090167418122e-05,4.061535463506516e-08
1845,4.604525202012155e-05,4.073566339801715e-08
1846,4.4961982894164976e-05,3.33706573485415e-08
1847,4.4796656311518745e-05,3.343798482546845e-08
1848,4.633484513760777e-05,4.585776280929821e-08
1849,4.92734725412447e-05,2.5976186535103807e-08
1850,4.515157479545451e-05,3.6660580349234806e-08
1851,4.68390503556293e-05,3.418202609850596e-08
1852,4.4760649871022906e-05,5.7943854159248076e-08
1853,4.7161540351225995e-05,4.896984129310056e-08
1854,4.853581776842475e-05,4.780011275684615e-08
1855,5.267241158435354e-05,3.661786607267459e-08
1856,5.059615159552777e-05,1.8120162870172152e-08
1857,5.221066794547369e-05,4.490988203542656e-08
1858,5.353143433239893e-05,5.334106845111819e-08
1859,5.6231344387924764e-05,5.244938705573077e-08
1860,5.836184118379606e-05,1.9224172476128842e-08
1861,5.80591708967404e-05,4.008569121083383e-08
1862,5.692843296856154e-05,7.499857490600448e-08
1863,5.686075974153937e-05,2.2475793670651e-08
1864,5.95059309489443e-05,3.452204211384924e-08
1865,5.929541248406167e-05,2.541695881541628e-08
1866,5.88987309129152e-05,2.2868380300522517e-08
1867,6.039323761797277e-05,3.833721073931429e-08
1868,6.098620133343502e-05,3.951899429921468e-08
1869,6.161682586025563e-05,6.153234011208042e-08
1870,6.073160511732567e-05,3.2110673231500186e-08
1871,6.467765842899098e-05,5.416800563651236e-08
1872,6.238435162231326e-05,3.991243890943963e-08
1873,5.985465713820304e-05,3.771182849332533e-08
1874,6.044751080480637e-05,5.855116835817853e-08
1875,5.9252708524581976e-05,4.748867493686859e-08
1876,5.895650519960327e-05,3.3857682435467495e-08
1877,5.7761850712267915e-05,3.216104360603822e-08
1878,5.8003032791020814e-05,3.985798491257242e-08
1879,5.93801978538977e-05,4.520900709348297e-08
1880,5.8438341056898935e-05,4.364135475221076e-08
1881,6.110845151852118e-05,4.322954794133693e-08
1882,6.044553992978763e-05,2.5290463057103807e-08
1883,5.797361700388137e-05,1.8958016489989404e-08
1884,6.130797828518553e-05,3.6309335094131256e-08
1885,6.137921036497573e-05,4.060750313783501e-08
1886,6.029858514011721e-05,3.4203360144147155e-08
1887,6.213512097019702e-05,2.8074376601239237e-08
1888,6.138412618383882e-05,4.438430423192585e-08
1889,5.950313607172575e-05,3.195219644425151e-08
1890,6.181900880619651e-05,2.818386235503567e-08
1891,6.195550804477534e-05,2.358461337337303e-08
1892,6.047860779290204e-05,4.199903358426127e-08
1893,6.003285989208962e-05,1.970693297437265e-08
1894,6.267573962759343e-05,2.142523314319078e-08
1895,6.087587780712056e-05,2.768562623600701e-08
1896,6.294960394370719e-05,2.7126333179694484e-08
1897,6.0901976212335285e-05,3.26295968022805e-08
1898,6.353313983709086e-05,2.5462597696979117e-08
1899,6.098687890698784e-05,4.4220627160029835e-08
1900,6.169670450617559e-05,2.6474371694895638e-08
1901,6.238206378839095e-05,4.806315345717849e-08
1902,6.914170353411464e-05,1.6694964355412623e-08
1903,6.18822032265598e-05,2.5381035939631147e-08
1904,6.041616143193096e-05,3.332267528577404e-08
1905,6.0498546190501656e-05,2.735202270232051e-08
1906,6.083461357775377e-05,2.1605575717398295e-08
1907,6.083572134230053e-05,2.5199932807140613e-08
1908,6.107803574195714e-05,1.817213934884876e-08
1909,6.198948267410742e-05,2.255403303008663e-08
1910,6.30182230452192e-05,2.24454335118196e-08
1911,6.030165241099894e-05,1.7557234666121246e-08
1912,6.144356029835762e-05,1.510732161591477e-08
1913,6.121294200056582e-05,2.0681659718135847e-08
1914,6.00128678343026e-05,1.9420556107707654e-08
1915,5.668784706358565e-05,2.1205371680821372e-08
1916,6.164405886011082e-05,2.6369908923129515e-08
1917,6.280361685639946e-05,2.4126133979507358e-08
1918,6.117644079495221e-05,1.722956355365568e-08
1919,6.138412300060736e-05,3.038589962978122e-08
1920,6.324782316369237e-05,1.9687803387569147e-08
1921,6.098333506088238e-05,3.0290991048786964e-08
1922,6.439019307435956e-05,1.4018077365562931e-08
1923,6.159373242553556e-05,3.503262746562541e-08
1924,6.262493207032094e-05,4.898817351772777e-08
1925,6.068794391467236e-05,3.079489729884699e-08
1926,6.0364141972968355e-05,2.0063049888108253e-08
1927,6.361413261402049e-05,2.7873062080630007e-08
1928,6.272554037423106e-05,2.399468712610542e-08
1929,6.228378333617002e-05,1.4482528065684619e-08
