year,tout_ADV tant_ADV
1800,5.973912209356058e-08
1801,1.7144515140898875e-07
1802,3.088219386881974e-07
1803,6.631153470770812e-08
1804,1.0134588990240445e-07
1805,3.980028751016107e-08
1806,6.339671898558663e-08
1807,6.547996633798903e-08
1808,3.3991110370834576e-08
1809,4.0662548883574345e-08
1810,3.7442028144596406e-08
1811,5.515568801683912e-08
1812,2.400487453257938e-08
1813,1.7254450312975678e-08
1814,4.72001566720337e-08
1815,5.394447111228828e-09
1816,3.7081662185300956e-08
1817,4.826307531402563e-08
1818,9.298518222067287e-08
1819,4.7614831188980133e-08
1820,5.22125169766241e-08
1821,2.6626018723163725e-08
1822,3.107940926838637e-08
1823,1.2847492314449482e-07
1824,8.000056794799093e-08
1825,3.786340552203171e-08
1826,7.839106075380187e-08
1827,5.8068820862899884e-08
1828,4.953042775923677e-08
1829,5.658296231558779e-08
1830,3.026682549034376e-08
1831,1.2472964883158966e-08
1832,2.1647950987357945e-08
1833,6.602667923516492e-08
1834,7.187588835222414e-08
1835,5.7479468296151026e-08
1836,7.46003228080383e-08
1837,2.5048407570338327e-08
1838,9.59448636095317e-08
1839,4.474544201826802e-08
1840,4.1402974826354466e-08
1841,5.264849889385914e-08
1842,3.3541326160957396e-08
1843,5.965980337530041e-08
1844,4.061535463506516e-08
1845,4.073566339801715e-08
1846,3.33706573485415e-08
1847,3.343798482546845e-08
1848,4.585776280929821e-08
1849,2.5976186535103807e-08
1850,3.6660580349234806e-08
1851,3.418202609850596e-08
1852,5.7943854159248076e-08
1853,4.896984129310056e-08
1854,4.780011275684615e-08
1855,3.661786607267459e-08
1856,1.8120162870172152e-08
1857,4.490988203542656e-08
1858,5.334106845111819e-08
1859,5.244938705573077e-08
1860,1.9224172476128842e-08
1861,4.008569121083383e-08
1862,7.499857490600448e-08
1863,2.2475793670651e-08
1864,3.452204211384924e-08
1865,2.541695881541628e-08
1866,2.2868380300522517e-08
1867,3.833721073931429e-08
1868,3.951899429921468e-08
1869,6.153234011208042e-08
1870,3.2110673231500186e-08
1871,5.416800563651236e-08
1872,3.991243890943963e-08
1873,3.771182849332533e-08
1874,5.855116835817853e-08
1875,4.748867493686859e-08
1876,3.3857682435467495e-08
1877,3.216104360603822e-08
1878,3.985798491257242e-08
1879,4.520900709348297e-08
1880,4.364135475221076e-08
1881,4.322954794133693e-08
1882,2.5290463057103807e-08
1883,1.8958016489989404e-08
1884,3.6309335094131256e-08
1885,4.060750313783501e-08
1886,3.4203360144147155e-08
1887,2.8074376601239237e-08
1888,4.438430423192585e-08
1889,3.195219644425151e-08
1890,2.818386235503567e-08
1891,2.358461337337303e-08
1892,4.199903358426127e-08
1893,1.970693297437265e-08
1894,2.142523314319078e-08
1895,2.768562623600701e-08
1896,2.7126333179694484e-08
1897,3.26295968022805e-08
1898,2.5462597696979117e-08
1899,4.4220627160029835e-08
1900,2.6474371694895638e-08
1901,4.806315345717849e-08
1902,1.6694964355412623e-08
1903,2.5381035939631147e-08
1904,3.332267528577404e-08
1905,2.735202270232051e-08
1906,2.1605575717398295e-08
1907,2.5199932807140613e-08
1908,1.817213934884876e-08
1909,2.255403303008663e-08
1910,2.24454335118196e-08
1911,1.7557234666121246e-08
1912,1.510732161591477e-08
1913,2.0681659718135847e-08
1914,1.9420556107707654e-08
1915,2.1205371680821372e-08
1916,2.6369908923129515e-08
1917,2.4126133979507358e-08
1918,1.722956355365568e-08
1919,3.038589962978122e-08
1920,1.9687803387569147e-08
1921,3.0290991048786964e-08
1922,1.4018077365562931e-08
1923,3.503262746562541e-08
1924,4.898817351772777e-08
1925,3.079489729884699e-08
1926,2.0063049888108253e-08
1927,2.7873062080630007e-08
1928,2.399468712610542e-08
1929,1.4482528065684619e-08
1930,1.2604324695075775e-08
1931,1.4826963656844327e-08
1932,3.1782654730250215e-08
1933,2.064719240024715e-08
1934,1.0783422155213884e-08
1935,3.11175387679441e-08
1936,3.6374143697059935e-09
1937,2.2664012444550963e-08
1938,5.186085783037697e-09
1939,1.8352860564618823e-08
1940,1.2678914806940611e-08
1941,4.427253941230447e-08
1942,2.1239483061208375e-08
1943,2.0322646676618206e-08
1944,1.6065930807940276e-08
1945,1.3071024262956144e-08
1946,1.3921104269343232e-08
1947,1.0728784083369192e-08
1948,1.4133454406817236e-08
1949,1.570721330779179e-08
1950,1.4889506516624351e-08
1951,2.9851925376078725e-08
1952,1.2653764258629963e-08
1953,2.5857186169986335e-08
1954,4.202190395652394e-08
1955,1.783265446420046e-08
1956,1.9186511934776718e-08
1957,1.767007518083119e-08
1958,1.0753916868111446e-08
1959,1.5501495198577686e-08
1960,1.7302083321624195e-08
1961,2.014966149488373e-08
1962,2.2831043722248978e-08
1963,2.0691369950753824e-08
1964,2.494427064902993e-08
1965,2.4624196015565758e-08
1966,2.1602390987141007e-08
1967,2.9088979447422503e-08
1968,3.862617686811731e-08
1969,3.133812853661766e-08
1970,3.173120149968511e-08
1971,3.44272629293485e-08
1972,2.872882304272295e-08
1973,2.1501493918663073e-08
1974,2.1377172976233538e-08
1975,1.4278700888326057e-08
1976,2.171140245366132e-08
1977,2.11564152863275e-08
1978,1.544553740462362e-08
1979,1.6970723493159312e-08
1980,1.8760998088396263e-08
1981,1.9609203150139365e-08
1982,8.690503427999374e-09
1983,2.7155858894900575e-08
1984,2.4935736142595033e-08
1985,1.5640450934384376e-08
1986,1.9781802029772422e-08
1987,2.1998940669121225e-08
1988,1.4391728697660255e-08
1989,1.2073868682627165e-08
1990,1.4711357687602344e-08
1991,2.2273567878983158e-08
1992,1.9284804086971974e-08
1993,1.7725463152817866e-08
1994,1.846224323420742e-08
1995,1.0302656228144969e-08
1996,2.0284750990029465e-08
1997,1.1987236203658824e-08
1998,2.86087754597375e-08
1999,1.9651865745817787e-08
2000,2.2090158147136663e-08
2001,1.8839211080035057e-08
2002,2.4534839937473407e-08
2003,1.7917768602160322e-08
2004,2.81906634980178e-08
2005,1.6663873059208356e-08
2006,1.1118302722934459e-08
2007,2.276853305893667e-08
2008,2.2564430490756848e-08
2009,1.9072770252037685e-08
2010,2.36189643953999e-08
2011,2.4855816960211996e-08
2012,2.7574447614142628e-08
2013,3.2353852152944285e-08
2014,3.031623259375227e-08
2015,3.746012584848746e-08
2016,2.5270347731032317e-08
2017,2.3143623906207722e-08
2018,3.407535942301365e-08
2019,2.806086563111876e-08
