year,est_VERB aux_ADP,est_VERB tôt_ADV
1800,3.0466953830909915e-06,7.860410988769218e-08
1801,3.155066906401771e-06,1.04772034603684e-07
1802,2.7637324819806963e-06,3.8043282302169246e-08
1803,2.7967864753009053e-06,5.851017803593095e-08
1804,3.5396906241658144e-06,5.19088700912107e-08
1805,3.104422376054572e-06,5.401467717547348e-08
1806,3.0660960419481853e-06,6.627838899930794e-08
1807,2.8184856546431547e-06,8.540865792383556e-09
1808,3.1498427688347874e-06,4.758755522971114e-08
1809,2.713095682338462e-06,4.0662548883574345e-08
1810,2.557758534749155e-06,1.8721014072298203e-08
1811,2.7477560706756776e-06,2.757784400841956e-08
1812,2.7152179882250493e-06,5.3344166417446104e-08
1813,2.4961436793091707e-06,3.738464116054274e-08
1814,2.608595423225779e-06,5.664018942752591e-08
1815,2.23599840865063e-06,2.1577788444915313e-08
1816,2.0047273210366257e-06,6.952811304472561e-08
1817,2.522134991522762e-06,8.251429051142622e-08
1818,2.416422603346291e-06,4.530047448270125e-08
1819,2.8020292575092753e-06,4.968504185853817e-08
1820,2.5311203444289276e-06,1.0086508694939766e-07
1821,2.824330294970423e-06,6.114122896860863e-08
1822,2.9515413189074025e-06,5.213320264374488e-08
1823,2.432129349472234e-06,2.7671523739059012e-08
1824,2.4892808596632676e-06,5.3895121254754486e-08
1825,2.9850452847313136e-06,3.3460683113162304e-08
1826,2.379917305006529e-06,3.787433300317389e-08
1827,2.5089416340051685e-06,3.133872894522938e-08
1828,2.3398540633934317e-06,1.3758452155343548e-08
1829,2.7897115160158137e-06,4.715246859632316e-08
1830,2.490229007889866e-06,5.635891398014792e-08
1831,2.7237836093263468e-06,4.677361609140007e-09
1832,3.0050061923247995e-06,3.6530916958099624e-08
1833,2.8611561901925597e-06,3.1275796175123105e-08
1834,2.9357099720073165e-06,5.0406466556296436e-08
1835,2.8732169994327705e-06,4.386591001548368e-08
1836,2.7185433282284066e-06,3.091545153210973e-08
1837,2.620341774672852e-06,4.5226290268374214e-08
1838,2.687718506422243e-06,3.976661844262708e-08
1839,2.4672915515111526e-06,4.894032556990169e-08
1840,2.791834504023427e-06,3.3759349093998026e-08
1841,2.6683799205784453e-06,4.687000298986277e-08
1842,2.6189065920334542e-06,1.6770663080478698e-08
1843,2.7248581773164915e-06,3.307870244384503e-08
1844,2.6756736133393133e-06,3.512679214168202e-08
1845,2.58308750744618e-06,1.562463758375543e-08
1846,2.676092663023155e-06,2.0490753982471688e-08
1847,2.7311284611641895e-06,4.476375536910382e-08
1848,2.950182761196629e-06,4.022610866627474e-08
1849,2.84900102087704e-06,5.027649052635752e-08
1850,2.792314035104937e-06,3.8018377779280854e-08
1851,2.8138902052887715e-06,2.1283147688677673e-08
1852,3.117249207207351e-06,4.6224872818356744e-08
1853,2.968647322632023e-06,3.4040009921909586e-08
1854,2.8612523692572722e-06,4.1565314745639625e-08
1855,3.027076900252723e-06,3.131092896069276e-08
1856,2.917863866969128e-06,4.193523395201737e-08
1857,2.9733271276199957e-06,3.3194261561675376e-08
1858,3.0389728635782376e-06,1.1744822003834088e-08
1859,3.2498251130164135e-06,6.212451353349024e-08
1860,3.0905146104487358e-06,1.7393299245327398e-08
1861,3.6124281450611306e-06,3.772770895693611e-08
1862,3.3306594104942633e-06,4.743885639868495e-08
1863,3.3404023724870058e-06,4.345320192555846e-08
1864,3.3481585433037253e-06,4.17141343689309e-08
1865,3.2392501907452242e-06,4.6127073716206723e-08
1866,3.2044927138485946e-06,4.670988573707291e-08
