year,seront_VERB en_ADP,seront_VERB tant_ADV
1800,2.854901367754792e-06,1.5720821977538435e-08
1801,2.338321337447269e-06,2.3811825844433088e-09
1802,2.304975396327791e-06,4.475680270843441e-09
1803,2.5276397082052426e-06,7.801356893821776e-09
1804,2.770945002339431e-06,2.2246657849223084e-08
1805,3.908956841769395e-06,5.685755422035754e-09
1806,4.81526922158082e-06,5.76333825108577e-09
1807,4.002818968729116e-06,0.0
1808,3.49428614754288e-06,4.5321479902327155e-09
1809,3.2236364404525375e-06,0.0
1810,3.2785176244942704e-06,2.574139479349924e-08
1811,3.3895678370754467e-06,2.5070767684098882e-09
1812,3.1713104817754356e-06,8.00162425207418e-09
1813,2.706072791625047e-06,2.8757416448144113e-09
1814,2.523634975659661e-06,3.1466771410748606e-09
1815,3.1395682071888587e-06,4.5852800667489646e-08
1816,3.4787233289534925e-06,5.5622493277951435e-08
1817,2.951831902464619e-06,2.0239355080775567e-08
1818,3.3117030397988856e-06,3.5763532135746345e-09
1819,3.416881554585416e-06,3.1053151161586356e-08
1820,2.748276983766118e-06,5.102586797534059e-08
1821,2.4762196062511066e-06,9.861488514673056e-09
1822,2.904420853155898e-06,6.015369535816717e-09
1823,2.1534374354814645e-06,2.174191138237802e-08
1824,2.6324398731958354e-06,5.4737231636181605e-08
1825,2.667168701009359e-06,3.9624492131906663e-08
1826,2.819435849232832e-06,1.4092774947016551e-08
1827,3.735760856216075e-06,3.6869092223668076e-09
1828,2.506789996914449e-06,1.8344602503717056e-09
1829,2.7931407657888485e-06,2.5719527840806222e-08
1830,2.4568312255723868e-06,8.349468672008697e-09
1831,2.9498562525986927e-06,3.1182413096075834e-08
1832,2.448924533382524e-06,0.0
1833,2.519439249226707e-06,1.3900354645102198e-08
1834,3.5751254472415894e-06,7.467624740797874e-09
1835,2.7612834401224973e-06,2.4201881387853064e-08
1836,3.3711282867443515e-06,1.9490174807401672e-08
1837,2.8485605980677065e-06,1.530736071231331e-08
1838,2.7603084618021967e-06,1.1361890983607736e-08
1839,3.114702167295036e-06,2.027527834513876e-08
1840,2.7695407425198937e-06,1.592422194107712e-08
1841,2.6972725208906922e-06,3.852329122366882e-09
1842,2.5122453735093586e-06,1.2074877098200432e-08
1843,2.6226684894936625e-06,1.7720733325177207e-08
1844,2.240430603706045e-06,2.4149668931272572e-08
1845,2.6706970857048873e-06,2.5669049108500985e-08
1846,2.844116806954844e-06,1.3465353276842507e-08
1847,3.315753929200582e-06,2.3190860787281053e-08
1848,2.525395075281267e-06,1.287235473768078e-08
1849,2.238141632915358e-06,2.76520690789539e-08
1850,2.5390845621586777e-06,3.055048125588655e-08
1851,2.4978676265163813e-06,1.4188765717904062e-08
1852,2.5371596166223753e-06,7.812654523320361e-09
1853,2.314123548785574e-06,2.6873692604567623e-08
1854,2.280896751472028e-06,2.7537021551893304e-08
1855,2.119590590154985e-06,1.2205955357558196e-08
1856,2.229297706435318e-06,1.346069211649592e-08
1857,2.1156461116333958e-06,1.513267733344037e-08
1858,2.2109627479949268e-06,4.4532452392331834e-08
1859,2.1494063275895314e-06,4.379269213927728e-08
1860,2.4959383608802455e-06,1.5562426014525954e-08
1861,2.2504577827930916e-06,1.3676294763342867e-08
1862,2.2196866211743327e-06,3.11741068514948e-08
1863,2.2705546598444926e-06,9.989241434027463e-09
1864,2.4409960133198183e-06,1.4863656971897399e-08
1865,2.3656600660615368e-06,2.3534221682552925e-08
1866,2.0824822968279477e-06,8.271541673821048e-09
