year,quand_CONJ elle_PRON,quand_CONJ tels_ADJ
1800,3.203589290023956e-05,0.0
1801,3.234122232242953e-05,0.0
1802,3.0076570737946895e-05,1.3427040812530322e-08
1803,3.068273599637905e-05,0.0
1804,3.09154399928957e-05,0.0
1805,3.0660436323159956e-05,0.0
1806,2.841902028194454e-05,0.0
1807,2.6712980115917162e-05,0.0
1808,2.690056476239988e-05,0.0
1809,2.4295873117807787e-05,0.0
1810,2.756669391601463e-05,0.0
1811,2.2162558025229373e-05,2.5070767684098882e-09
1812,2.469568130436528e-05,1.0668832928217853e-08
1813,2.572926086941152e-05,0.0
1814,2.3902158773125848e-05,1.8880061958270744e-08
1815,2.3991804255274474e-05,0.0
1816,2.954713158942468e-05,0.0
1817,3.0198672675396665e-05,0.0
1818,2.788244250950811e-05,0.0
1819,2.513338426979317e-05,0.0
1820,3.0678414077556226e-05,7.119888678630559e-09
1821,2.943752906503505e-05,1.97229765852569e-09
1822,2.7221552954870276e-05,0.0
1823,2.6616051627570414e-05,0.0
1824,2.734756367317459e-05,0.0
1825,2.874272763619956e-05,0.0
1826,2.525601348679629e-05,6.1655889282974385e-09
1827,2.5394508611498168e-05,2.1199728195142598e-08
1828,2.6548309051577235e-05,8.255071293206129e-09
1829,2.535173939577362e-05,1.714635211591542e-09
1830,2.61411430528824e-05,0.0
1831,2.6921335120277945e-05,0.0
1832,2.97172239243082e-05,8.117981509236927e-09
1833,2.6491757580515696e-05,1.1583628833911064e-08
1834,2.9610998808493605e-05,0.0
1835,2.8220150397828547e-05,7.563087933704082e-10
1836,2.9319272925931728e-05,6.720750067579218e-10
1837,2.8303309136390453e-05,1.739472721418167e-08
1838,2.797487104544416e-05,6.943378094703689e-09
1839,2.7149295647177496e-05,0.0
1840,2.6994740210284363e-05,0.0
1841,2.692007547011599e-05,1.2841097074556274e-09
1842,2.806402585520118e-05,1.341653010911159e-09
1843,2.7667972062772606e-05,2.3627644285539873e-09
1844,2.985063724736392e-05,2.7442805805577564e-09
1845,2.8107049729442224e-05,1.1160455892778032e-09
1846,2.7789561045210576e-05,0.0
1847,2.4797503328954917e-05,0.0
1848,2.5578978693374665e-05,0.0
1849,2.643789252942952e-05,8.379414495607307e-09
1850,2.6872203534367145e-05,0.0
1851,2.621438829919498e-05,0.0
1852,2.7828024485643255e-05,2.6042181744401205e-09
