year,serait_VERB en_PRON,serait_VERB tant_ADV
1800,7.231578535993322e-08,9.432493897065797e-09
1801,1.142967676059925e-07,7.143547975374531e-09
1802,8.727576528144709e-08,6.713520406265161e-09
1803,6.631153581793114e-08,5.851017448321727e-09
1804,9.145848167690929e-08,4.943701892301533e-09
1805,5.1171799242411e-08,2.2743021688143017e-08
1806,1.0662175498055149e-07,8.645007376628655e-09
1807,1.0249038240317532e-07,8.540865792383556e-09
1808,7.478044494746428e-08,9.064295980465431e-09
1809,9.487928309681593e-08,0.0
1810,1.427477371862551e-07,1.8721014072298203e-08
1811,1.178326058948187e-07,0.0
1812,1.893717893608482e-07,2.6672082320544632e-09
1813,1.5241430162404868e-07,4.888760685162197e-08
1814,1.6992056828257773e-07,1.5733386149463513e-08
1815,8.361393355471591e-08,0.0
1816,9.038654980031424e-08,6.952811659743929e-09
1817,7.161617787687646e-08,1.71256075987003e-08
1818,1.0609847578280096e-07,2.741870730460505e-08
1819,1.2938812687934842e-07,3.1053151161586356e-09
1820,1.6494408328071586e-07,2.254631326081835e-08
1821,1.311577904061778e-07,2.6626018723163725e-08
1822,9.825103575167304e-08,4.0102463572111446e-08
1823,1.1562743651438723e-07,6.917880934764753e-09
1824,7.915846111927749e-08,3.536867154707579e-08
1825,1.1535130539641614e-07,3.169959583715354e-08
1826,9.248383747717526e-08,7.927186018719112e-09
1827,1.778933693685758e-07,2.027800150017356e-08
1828,1.4950850868444832e-07,2.0179061976932644e-08
1829,2.1690135554308654e-07,4.115124596637543e-08
1830,1.2941676175159955e-07,3.235419043789989e-08
1831,1.6682589887295762e-07,4.2096257146795324e-08
1832,1.3665268738805025e-07,4.6001897402447867e-08
1833,1.0656938087549861e-07,5.09679658478035e-08
1834,1.1388127774125678e-07,2.14694217959277e-08
1835,1.6941316971497145e-07,3.025235173481633e-08
1836,1.357591514761225e-07,4.9061476659062464e-08
1837,1.3637466622640204e-07,3.965997663613052e-08
1838,1.4139243376121158e-07,2.019891809368346e-08
1839,1.3283802502428443e-07,1.5381244722334486e-08
1840,1.5350950377523986e-07,2.229391071750797e-08
1841,1.1492782192590312e-07,2.43980835534785e-08
1842,1.925272101743758e-07,3.4882980060046975e-08
1843,1.3704033108297153e-07,1.1223130869097986e-08
1844,1.679499774809301e-07,1.756339607084101e-08
1845,1.858215910033323e-07,2.17628883802945e-08
1846,1.5865698799188976e-07,2.4588905134237393e-08
1847,1.5586415713642054e-07,2.6426796750911308e-08
1848,1.5527277241744741e-07,1.206783295515379e-08
1849,1.4496387734652671e-07,1.5920887719289567e-08
1850,1.6972489902400412e-07,1.0862393651223101e-08
1851,1.6123597390560462e-07,1.1608989325395669e-08
1852,1.7838894450505904e-07,3.2552726736412296e-08
1853,1.6243654954450903e-07,1.911018188138769e-08
1854,1.662612589825585e-07,2.4419623656513068e-08
1855,1.3744967475304293e-07,2.7065379271107304e-08
1856,1.7291812071107415e-07,1.2425253714809514e-08
1857,1.7426987142243888e-07,1.4156376515472857e-08
1858,1.6932119706325466e-07,2.6425849952715907e-08
1859,1.2323059195296082e-07,2.5970084749360467e-08
1860,1.3411148813702312e-07,3.3413442679375294e-08
1861,1.4713806706367905e-07,2.6409397335669382e-08
1862,1.4502735723453952e-07,2.2589931703009825e-08
1863,1.388504529131751e-07,3.49623441309177e-08
1864,1.2082713851668814e-07,1.965838514195184e-08
1865,1.2379000224882475e-07,2.9182434246877165e-08
1866,1.0023162388961282e-07,4.5736761933312664e-08
1867,1.3199647241890489e-07,1.358787216076962e-08
1868,8.051994626612213e-08,1.432563490055827e-08
1869,1.4357546262999676e-07,1.660396442559886e-08
1870,1.152543802618311e-07,2.8670243068518175e-08
1871,1.614418891904279e-07,2.3366590440332402e-08
1872,1.2094677970253542e-07,1.3908880269752899e-08
1873,1.2151589601216983e-07,3.95076291681562e-08
1874,1.4996268760114617e-07,2.5093358502203955e-08
1875,1.4132172054814873e-07,1.2015206607429718e-08
1876,1.1185127135604489e-07,1.753344314181504e-08
1877,9.7101612084316e-08,2.288381928394756e-08
1878,1.1293095525388708e-07,1.9928991790152395e-08
1879,1.1302251579081712e-07,3.604501941367744e-08
1880,1.1744658934276231e-07,2.5671385017744797e-08
1881,1.052848617177915e-07,2.9284532132578533e-08
1882,9.783416032860259e-08,2.994923420374107e-08
1883,1.308103207975364e-07,3.159669503816076e-08
1884,8.912290638818376e-08,2.6406787867472303e-08
1885,1.0506386161068804e-07,2.6427105837001363e-08
1886,1.1680769773647626e-07,2.19417763958063e-08
1887,8.87933779836203e-08,1.9586773092328258e-08
1888,1.1539918887137901e-07,2.3460273723685532e-08
1889,8.896493852716958e-08,3.759081934617825e-08
1890,1.291214175580535e-07,1.7696843102044113e-08
1891,1.6318003304149897e-07,2.103492668936724e-08
1892,1.1847488678995433e-07,3.823792482648969e-08
1893,1.0469307909488634e-07,2.155445777418663e-08
1894,9.011201029807125e-08,2.3315696040526745e-08
1895,1.3060393655450753e-07,2.7083764564395096e-08
1896,1.1263325205845831e-07,3.774098544795379e-08
1897,9.847146031916054e-08,2.9716238358901137e-08
1898,1.1146958911467664e-07,2.2633418694795182e-08
1899,1.1663190235822185e-07,2.432134493801641e-08
1900,1.1160764046280747e-07,3.7894686499839736e-08
1901,1.358063599354864e-07,3.017919070202879e-08
1902,1.0802624217376433e-07,4.6647695484125506e-08
1903,1.0422424878697711e-07,3.186130115295782e-08
1904,1.1447951919763e-07,3.547252447333449e-08
