year,auraient_VERB eu_VERB,auraient_VERB tu_VERB
1800,7.48311151710368e-07,3.144164484325529e-09
1801,5.357661052585172e-07,0.0
1802,7.541520972154103e-07,0.0
1803,8.327948535225005e-07,0.0
1804,1.1815448033303255e-06,0.0
1805,8.69920597779128e-07,0.0
1806,8.78909077073331e-07,2.881669125542885e-09
1807,1.412089773111802e-06,0.0
1808,1.0355958011132316e-06,0.0
1809,1.04819014268287e-06,2.259030518203531e-09
1810,1.4742798839506577e-06,0.0
1811,1.3262435913929949e-06,2.5070767684098882e-09
1812,1.0028702490672003e-06,0.0
1813,1.1761783298425144e-06,0.0
1814,1.0037899755843682e-06,0.0
1815,1.2245394600540749e-06,0.0
1816,1.0753682317954372e-06,0.0
1817,1.2813068224204471e-06,0.0
1818,1.3494773156708106e-06,0.0
1819,1.538166088721482e-06,1.035105001712111e-09
1820,1.7253863688893034e-06,0.0
1821,1.5640320043530664e-06,0.0
1822,1.4025836208020337e-06,1.0025615893027862e-09
1823,1.6434908047813224e-06,9.882686891060644e-10
1824,1.5065370462252758e-06,0.0
1825,1.463464627704525e-06,0.0
1826,1.4039926554687554e-06,0.0
1827,1.944844598256168e-06,0.0
1828,2.1995178940414917e-06,9.172301251858528e-10
1829,1.9949779925809707e-06,1.714635211591542e-09
1830,1.8441888869347167e-06,1.0436835840010872e-09
1831,1.8023433767666575e-06,0.0
1832,1.692599198577227e-06,0.0
1833,1.813996277633123e-06,0.0
1834,1.6923504517762922e-06,1.8669061851994684e-09
1835,1.8121158973372076e-06,0.0
1836,1.6143242191901663e-06,6.720750067579218e-10
1837,1.6128391280290089e-06,0.0
1838,1.8463073274688213e-06,6.312161904276081e-10
1839,1.6800514686110546e-06,0.0
1840,1.8351073549638386e-06,6.369688665408546e-10
1841,1.968540118468809e-06,6.420548537278137e-10
1842,1.7421364191250177e-06,0.0
1843,1.9073415842285613e-06,1.1813822142769936e-09
1844,1.7267013845412293e-06,0.0
1845,1.829198708946933e-06,0.0
1846,1.8236771666124696e-06,5.854501328173001e-10
1847,1.9458750557532767e-06,1.0786447290911383e-09
1848,1.955793322849786e-06,0.0
1849,2.066363776975777e-06,0.0
1850,2.0027537175337784e-06,0.0
1851,1.917418103403179e-06,6.449438760824933e-10
1852,1.759149427016382e-06,0.0
1853,1.6834875395943527e-06,0.0
1854,1.7436649386581848e-06,5.195664454227256e-10
1855,1.777823968041048e-06,5.306937111981824e-10
1856,1.7705987147564883e-06,0.0
1857,1.7182911733470974e-06,0.0
1858,1.7034885786415543e-06,0.0
1859,1.709951789052866e-06,5.092173349652285e-10
1860,1.7178170992337982e-06,9.154367819341758e-10
1861,1.7519805624033324e-06,1.4147891747029462e-09
1862,1.661715373302286e-06,1.3553959066214816e-09
1863,1.6871829302544938e-06,9.989241656072068e-10
1864,1.559724978505983e-06,0.0
1865,1.7796578504203353e-06,0.0
1866,1.8786131477099843e-06,9.731225825149181e-10
1867,1.621809587959433e-06,4.85281148598915e-10
1868,1.5975552969393902e-06,0.0
1869,1.7595319832253153e-06,0.0
1870,1.6949848031799775e-06,5.734048791339319e-10
1871,2.039266064457479e-06,0.0
1872,1.8535095023253234e-06,1.8142017887967654e-09
1873,1.7119972426371532e-06,0.0
1874,1.5808815305717872e-06,0.0
1875,1.695288460723532e-06,0.0
1876,1.7557626961206552e-06,0.0
