year,grand_ADJ est_NOUN,grand_ADJ test_NOUN
1800,3.458580977167003e-08,0.0
1801,4.7623651688866175e-09,0.0
1802,5.818384352096473e-08,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,5.685755422035754e-09,0.0
1806,1.152667650217154e-08,0.0
1807,1.1387820464392462e-08,0.0
1808,2.039466551195801e-08,0.0
1809,2.484933525614963e-08,0.0
1810,9.360507036149102e-09,9.360507036149102e-09
1811,1.0028307073639553e-08,0.0
1812,3.7340914360584065e-08,0.0
1813,2.3005932492381476e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,5.394447111228828e-09,0.0
1816,6.952811659743929e-09,0.0
1817,4.670620334934483e-09,0.0
1818,9.536941680821087e-09,0.0
1819,2.070209959015301e-08,3.1053151161586356e-09
1820,1.6613073583471305e-08,0.0
1821,9.86148829262845e-10,0.0
1822,1.0025615893027862e-08,0.0
1823,3.9530747564242574e-09,0.0
1824,0.0,0.0
1825,4.4027217427355936e-09,4.4027217427355936e-09
1826,1.233117841170639e-08,0.0
1827,1.8434546111834038e-08,0.0
1828,2.7516904310687096e-09,9.172301251858528e-10
1829,1.714635211591542e-09,1.1145129263923081e-08
1830,1.0436835840010872e-09,4.174734336004349e-09
1831,1.2472964439069756e-08,0.0
1832,9.470978667991403e-09,2.976593194148336e-08
1833,4.6334514003376626e-09,0.0
1834,4.667265462998671e-09,0.0
1835,5.294161553592858e-09,1.4369867074037757e-08
1836,1.344150035720304e-08,4.704525213838906e-09
1837,5.5663127440652715e-09,0.0
1838,8.837027110075724e-09,0.0
1839,4.894032734625853e-09,0.0
1840,7.0066574764382494e-09,0.0
1841,7.0626033910059505e-09,6.420548537278137e-10
1842,6.037438549100216e-09,0.0
1843,4.13483786099178e-09,0.0
1844,3.2931368743049916e-09,0.0
1845,1.2276501593078137e-08,0.0
1846,1.3465353276842507e-08,0.0
1847,3.235934187273415e-09,0.0
1848,5.63165514222419e-09,0.0
1849,4.1897072478036534e-09,8.379414939696517e-10
1850,4.752297222410107e-09,0.0
1851,4.514607132577453e-09,1.2898877521649865e-09
1852,1.9531636308300904e-09,0.0
1853,5.971931837933653e-09,5.971931837933653e-10
1854,1.5067427139303646e-08,0.0
1855,4.776243400783642e-09,0.0
1856,1.5531567809645708e-08,0.0
1857,3.90520732418409e-09,0.0
1858,3.9149408159744326e-09,4.893676019968041e-10
1859,4.073738679721828e-09,0.0
1860,1.0985241660765865e-08,4.119465657481669e-09
1861,1.2733101795170398e-08,4.715963730639317e-10
1862,4.517986262886353e-09,0.0
1863,5.494082966350788e-09,0.0
1864,2.876836879828204e-09,0.0
1865,5.1775286835642476e-09,9.41368871743009e-10
1866,4.865613079108044e-09,0.0
1867,4.367530337390235e-09,0.0
1868,3.4579118457500613e-09,5.433861360870651e-09
1869,1.0255390314739543e-08,0.0
1870,1.0894693147633916e-08,0.0
1871,0.0,0.0
1872,7.861540973763681e-09,0.0
1873,1.5563611455160498e-08,0.0
1874,5.377148226681783e-09,5.974609140757536e-10
1875,1.3731665304828056e-08,0.0
1876,4.836811839936672e-09,0.0
1877,1.1751150275074451e-08,2.4739263970730008e-09
1878,4.831270938865373e-09,6.039088673581716e-10
1879,5.498392630087778e-09,1.221865053580018e-09
1880,7.701415505323439e-09,0.0
1881,1.2550513794895579e-08,9.064259565150223e-09
