year,sont_VERB au_ADP,sont_VERB tôt_ADV
1800,1.987740870390553e-05,3.458580977167003e-08
1801,1.8630373233463615e-05,5.000483582762172e-08
1802,2.175628105760552e-05,2.9091921760482364e-08
1803,2.439094168948941e-05,1.5797748176282767e-07
1804,2.0323557691881433e-05,1.2359254952798437e-08
1805,2.3902915927465074e-05,3.980028751016107e-08
1806,1.8059419744531624e-05,4.8988376022407465e-08
1807,1.6173551557585597e-05,5.124519120158766e-08
1808,1.987346877285745e-05,4.5321479902327155e-09
1809,1.8309441657038406e-05,1.129515236897305e-08
1810,1.5187422832241282e-05,2.106114038724627e-08
1811,1.7075699361157604e-05,0.0
1812,1.816368785512168e-05,2.6672082320544632e-09
1813,1.6840343960211612e-05,4.3136125782439194e-08
1814,1.6173920812434517e-05,1.8880061958270744e-08
1815,1.8632419596542604e-05,1.8880564667256294e-08
1816,1.9057657482335344e-05,6.257530316133852e-08
1817,1.9666424122988246e-05,3.580808893843823e-08
1818,1.5545214409939945e-05,5.126106117359086e-08
1819,1.648197758186143e-05,2.173720581311045e-08
1820,1.4373868907568976e-05,6.526564533260171e-08
1821,1.529615474282764e-05,4.7335142028259725e-08
1822,1.540736593597103e-05,5.9151133768864383e-08
1823,1.5197595530480612e-05,2.174191138237802e-08
1824,1.587211409059819e-05,1.2631669044083083e-08
1825,1.6177360521396622e-05,3.0819052199149155e-08
1826,1.4750731679669116e-05,1.5854372037438225e-08
1827,1.5767989680171013e-05,3.3182182335167454e-08
1828,1.5669958884245716e-05,4.769596628761974e-08
1829,1.6446780136902817e-05,1.971830521085849e-08
1830,1.6404617781518027e-05,2.6092090266160994e-08
1831,1.6470550690428354e-05,2.0268567268999504e-08
1832,1.5425517631229013e-05,6.764984572527055e-09
1833,1.6774252799223177e-05,1.50587169400751e-08
1834,1.5901372535154223e-05,1.4001796166951408e-08
1835,1.5970215827110223e-05,4.386591001548368e-08
1836,1.4504050341201946e-05,2.5538851033957144e-08
1837,1.607759804755915e-05,2.365682938432201e-08
1838,1.5493833416257985e-05,1.830527018853445e-08
1839,1.5012794392532669e-05,1.8876983531868063e-08
1840,1.4784684026381001e-05,4.0129037870428874e-08
1841,1.5317502402467653e-05,1.219904177673925e-08
1842,1.4503269085253123e-05,1.542900918138912e-08
1843,1.5114604138943832e-05,2.008349753168659e-08
1844,1.3899232726544142e-05,1.5916826967554698e-08
1845,1.4047107470105402e-05,2.3436957263811564e-08
1846,1.4751586604688782e-05,1.2879903366069811e-08
1847,1.4180942343955394e-05,1.6179670936367074e-08
1848,1.4561851457983721e-05,2.413566591030758e-08
1849,1.4943010683055036e-05,1.1731181359664333e-08
1850,1.3995515473652631e-05,1.765138968323754e-08
1851,1.3996572306496091e-05,1.9993260380601896e-08
1852,1.5135065041249618e-05,1.3672145193766028e-08
1853,1.580770367581863e-05,1.2541057081705276e-08
1854,1.4587347322958522e-05,2.7537021551893304e-08
1855,1.456701193092158e-05,3.131092896069276e-08
1856,1.4144598935672548e-05,2.0708757375587084e-08
1857,1.438971230527386e-05,2.245494101771328e-08
1858,1.3220265827840194e-05,3.0830157982109085e-08
1859,1.3226411283540074e-05,4.939408171367177e-08
1860,1.344273186987266e-05,1.6935580049448618e-08
1861,1.3483411748893559e-05,3.1125360067107977e-08
1862,1.4251987522584386e-05,2.981871105589562e-08
1863,1.3567388123192359e-05,1.6482248454963155e-08
1864,1.4009715414431412e-05,1.342523781033833e-08
1865,1.405463717674138e-05,2.023943146411966e-08
1866,1.3823206245433539e-05,9.244664589402873e-09
1867,1.4240090422390494e-05,1.0190904120577216e-08
1868,1.480332048231503e-05,2.222943251695142e-08
1869,1.4678881598229054e-05,4.737013625799591e-08
1870,1.4330535123008303e-05,1.6628741050794815e-08
1871,1.4912133337929845e-05,2.2304472935275044e-08
1872,1.397116830048617e-05,2.1770421909650395e-08
1873,1.4496306903311051e-05,2.454261860407314e-08
1874,1.4612101949751377e-05,1.0754296120296658e-08
1875,1.4429691873374395e-05,2.5174719198162165e-08
1876,1.6093281374196522e-05,3.083467703390852e-08
1877,1.5947547581163235e-05,1.2369632429454214e-08
1878,1.4866424862702843e-05,1.3889904337816006e-08
1879,1.5545178030151874e-05,1.5273313280772527e-08
1880,1.4225156519387383e-05,1.8611753915820373e-08
1881,1.530186455056537e-05,1.3945014920579979e-08
1882,1.4902072507538833e-05,2.1297232422057277e-08
1883,1.4812530025665183e-05,1.4534479397809719e-08
1884,1.5217571672110353e-05,1.7164412113856997e-08
1885,1.594456989550963e-05,7.7347630522695e-09
1886,1.5239855201798491e-05,1.4197620856748472e-08
1887,1.4706402907904703e-05,1.566941953967671e-08
1888,1.4347542673931457e-05,2.028996703984376e-08
1889,1.5039460777188651e-05,8.771191772893872e-09
1890,1.4830609870841727e-05,1.5730527991308918e-08
1891,1.4675366401206702e-05,1.0836173736095134e-08
1892,1.4248328625399154e-05,2.0686091062316336e-08
1893,1.5296274796128273e-05,1.9091091374434654e-08
1894,1.5037993762234692e-05,2.2685540557176864e-08
1895,1.4179855497786775e-05,1.5648398132839247e-08
1896,1.4161125363898464e-05,1.592197840238896e-08
1897,1.4602909686800558e-05,1.1070755867592652e-08
1898,1.4613833627663553e-05,1.9238406423482957e-08
1899,1.4287684280134272e-05,9.39688327150634e-09
1900,1.4481999642157461e-05,1.453494924419374e-08
1901,1.441726999473758e-05,1.8442838367604963e-08
1902,1.3569077964348253e-05,1.718599307309887e-08
1903,1.4200959412846714e-05,1.674068350610014e-08
1904,1.414010148437228e-05,1.2361637935498493e-08
1905,1.3539767678594217e-05,2.0643035725242953e-08
1906,1.3674785805051215e-05,1.0802787109298606e-08
1907,1.3434650099952705e-05,1.7999951751335175e-08
1908,1.3903651051805355e-05,5.893666887857307e-09
1909,1.3729904821957462e-05,1.3752458727367411e-08
1910,1.316959060204681e-05,1.870452770447173e-08
1911,1.3301999388204422e-05,2.553779587799454e-08
1912,1.2791212611773517e-05,1.8753915753677575e-08
1913,1.2983839951630216e-05,1.0075680734189518e-08
1914,1.3315805517777335e-05,2.0090231700464756e-08
1915,1.3739902897214051e-05,3.416420923940677e-08
1916,1.3262965694593731e-05,1.648119329900055e-08
1917,1.2694732504314743e-05,1.973956464951243e-08
