year,soit_VERB en_PRON,soit_VERB tant_ADV
1800,2.703981465401739e-07,9.746909768182377e-08
1801,2.3335589816042557e-07,3.333655484993869e-08
1802,2.774921767922933e-07,1.1412984690650774e-07
1803,2.340407121437238e-07,1.5602713787643552e-08
1804,4.968420626028092e-07,6.673997887673977e-08
1805,4.0653150867875354e-07,6.254330742194725e-08
1806,2.247701900159882e-07,4.3225035994964855e-08
1807,2.9608332852149033e-07,5.124519120158766e-08
1808,2.9458962558237545e-07,1.1330369886763947e-07
1809,3.1174620773732897e-07,8.810219043198231e-08
1810,3.4867889242562455e-07,4.44624070894406e-08
1811,2.707642989818737e-07,6.267691787797958e-08
1812,2.7205524855133945e-07,2.400487453257938e-08
1813,1.6391727797326894e-07,6.326631307729258e-08
1814,2.863476140646526e-07,3.1466772298927026e-08
1815,2.8320846801044297e-07,9.170560133497929e-08
1816,2.062667476820934e-07,3.7081662185300956e-08
1817,1.9927979622025305e-07,4.0478710161551135e-08
1818,2.193496584368404e-07,4.530047448270125e-08
1819,2.4324967284883314e-07,1.0661581484328053e-07
1820,3.203949825447694e-07,2.7292905713238724e-08
1821,2.435787685994839e-07,5.719663320746804e-08
1822,3.2081970857689157e-07,8.72228582693424e-08
1823,2.3619621458692563e-07,1.0179167730939298e-07
1824,2.324227050820582e-07,1.2800092008546926e-07
1825,3.134737767140905e-07,9.509878395874694e-08
1826,2.0874923278846325e-07,4.668231667892542e-08
1827,2.894223711247257e-07,3.871254605769536e-08
1828,3.0452040755690746e-07,1.0639869429951432e-07
1829,2.3404771276602787e-07,3.5150023336427694e-08
1830,2.640519582985945e-07,4.5922078584226256e-08
1831,2.822008298153378e-07,2.9623292263636358e-08
1832,2.54363413887404e-07,3.2471927369215337e-08
1833,2.2240567432163516e-07,4.40177885252524e-08
1834,2.64167226760037e-07,4.947301235347368e-08
1835,1.837830367890092e-07,8.546289365085613e-08
1836,2.775669716292839e-07,6.115882911217341e-08
1837,2.8875246016468736e-07,7.862416850912268e-08
1838,2.8152242581569453e-07,1.2434958307494526e-07
1839,3.369891121707269e-07,1.0207553913232914e-07
1840,3.229432037343827e-07,7.006657654073933e-08
1841,3.4093112288857697e-07,1.2391659254262777e-07
1842,3.575505314046268e-07,9.592819338877234e-08
1843,2.5399717173968384e-07,8.269675788596942e-08
1844,2.8375862370921823e-07,8.836583731408609e-08
1845,3.1695693342159714e-07,4.8547981634783355e-08
1846,2.851142255622108e-07,7.142491398326456e-08
1847,2.8044762068191176e-07,7.496581133636937e-08
1848,2.357250029616509e-07,2.896279838182636e-08
1849,2.6562746491265443e-07,5.865590324560799e-08
1850,2.464405550739457e-07,7.87523504186538e-08
1851,2.2895507045816998e-07,5.868989205737307e-08
1852,2.5000494319193933e-07,7.096494414327026e-08
1853,2.400716634376465e-07,7.285756709052293e-08
1854,2.665375973265327e-07,7.741540031247496e-08
1855,2.934736329507359e-07,7.005156987816008e-08
1856,2.542000021588109e-07,8.438818355216426e-08
1857,2.2064421423273473e-07,6.68766730882453e-08
1858,2.471306395079864e-07,7.193703766006365e-08
1859,2.1794501425809187e-07,6.110607841947058e-08
1860,2.3755584255269468e-07,5.950339243554481e-08
1861,2.5041767792721714e-07,7.687020797675359e-08
1862,3.325237970530637e-07,7.048058847658467e-08
1863,2.3674502580561807e-07,6.343168479361339e-08
1864,2.459695408463247e-07,6.089304349643498e-08
1865,2.475800254253535e-07,8.425251252219823e-08
1866,2.3987472097530826e-07,7.347075836605654e-08
1867,2.4991979685751176e-07,6.648351558169452e-08
1868,3.1516395893049776e-07,4.5940829807022965e-08
1869,2.778722337781758e-07,4.688178378842167e-08
1870,2.7523434376064415e-07,5.3326655091723296e-08
1871,2.3047955255428576e-07,8.072094459521395e-08
1872,3.090190410226512e-07,5.6844989160254045e-08
1873,2.7415901548977217e-07,7.961386216948085e-08
1874,2.2942498811850953e-07,5.377148326601855e-08
1875,2.706282439812746e-07,7.09469389903461e-08
1876,2.8174429322902483e-07,7.85981910667033e-08
1877,2.393523783617013e-07,6.80329748092845e-08
