year,soit_VERB au_ADP,soit_VERB tôt_ADV
1800,3.1347320104124776e-06,9.432493897065797e-09
1801,2.5478652787569445e-06,1.6668277424969347e-08
1802,2.7928245174280164e-06,1.3427040812530322e-08
1803,3.032777378564333e-06,1.950339267864365e-08
1804,3.0304892404409145e-06,1.4831105232815389e-08
1805,2.9338498526154666e-06,8.528632911009026e-09
1806,2.9652376269950764e-06,2.881669125542885e-09
1807,3.254069753211297e-06,5.693910232196231e-09
1808,2.6943619784169925e-06,0.0
1809,3.0745405459331465e-06,1.581321384946932e-08
1810,3.0023825181579866e-06,1.6380887757350138e-08
1811,3.028548626105021e-06,0.0
1812,2.77656375047286e-06,0.0
1813,3.315730121133953e-06,0.0
1814,2.6935556434182217e-06,0.0
1815,2.503023448063857e-06,1.0788894222457657e-08
1816,2.6281627469870728e-06,2.3176038865813098e-09
1817,3.0359032292537336e-06,1.71256075987003e-08
1818,2.722796800247451e-06,0.0
1819,2.804099367481605e-06,3.1053151161586356e-09
1820,3.0413791911598764e-06,2.3732962262101864e-09
1821,3.1073549018323376e-06,1.8736827200882544e-08
1822,3.0377616297982968e-06,1.4035862250239006e-08
1823,2.7108210141069122e-06,7.906149512848515e-09
1824,2.8867574606294966e-06,1.0947446504872005e-08
1825,2.831830374638855e-06,7.924898959288385e-09
1826,2.5657658118127813e-06,2.554315514657901e-08
1827,2.9937702947790967e-06,1.8434546111834038e-09
1828,2.7837934668539788e-06,9.172301140836225e-09
1829,2.7374151365666677e-06,1.0287811491593857e-08
1830,2.9097898661678556e-06,1.1480519646056564e-08
1831,2.8812549248691255e-06,1.870944643656003e-08
1832,2.8453526224048176e-06,5.411987746839486e-09
1833,2.847255989202324e-06,1.50587169400751e-08
1834,3.009452880231578e-06,3.733812370398937e-09
1835,3.075907898164587e-06,9.832014313815307e-09
1836,3.242089735788767e-06,4.032449929525228e-09
1837,3.0566014013189147e-06,6.262101948095733e-09
1838,2.8808706784566596e-06,6.312161904276081e-10
1839,2.9168434556581246e-06,6.9914751765765e-10
1840,2.8536205407547754e-06,0.0
1841,2.98362894479709e-06,1.0272877659645019e-08
1842,3.064335408531349e-06,3.5553803456878086e-08
1843,3.2824705851197677e-06,1.2995204023980023e-08
1844,3.1608625183920935e-06,6.586273748609983e-09
1845,2.962542997142492e-06,5.580227835366713e-09
1846,3.334724026249347e-06,1.0538101946622191e-08
1847,3.143710097575081e-06,1.1865092020002521e-08
1848,3.024198783840859e-06,2.413566457803995e-09
1849,3.0903281391658766e-06,5.865590679832167e-09
1850,2.9966629009337e-06,2.0366988096043315e-09
1851,3.1647395886125196e-06,1.2898877521649865e-09
1852,2.8945885808262517e-06,1.1067927019325907e-08
1853,3.0122424892198296e-06,1.4929829816878737e-08
1854,3.20780332963011e-06,5.7152309551611324e-09
1855,3.28074845157289e-06,1.5920811335945473e-08
1856,3.0623075062408134e-06,2.0708756931497874e-09
1857,3.0836494016028837e-06,1.0739319655783675e-08
1858,3.1804001139335014e-06,2.4468380654951716e-09
1859,3.208578400304418e-06,1.2221216039165483e-08
1860,3.0232299805810214e-06,2.746310290291376e-09
1861,3.3525786129473545e-06,8.960331143725853e-09
1862,3.690743001882879e-06,7.228778020618165e-09
1863,3.1770782200624126e-06,1.1487627737949424e-08
1864,2.9746493295235155e-06,7.1920918109924514e-09
1865,3.186062912163834e-06,1.0825742080555756e-08
1866,3.3261330738554307e-06,4.865612801552288e-09
1867,3.3683364932812765e-06,3.396968040192405e-09
1868,3.0454323018958007e-06,1.1855697756857353e-08
1869,3.1098249042571524e-06,9.767038289254515e-10
1870,3.027577800907011e-06,6.880858549607183e-09
1871,3.46462795519642e-06,5.3105884134652115e-09
1872,3.2843100843393813e-06,1.3908880269752899e-08
1873,3.22166770416743e-06,8.380406590902112e-09
1874,3.099029695974309e-06,0.0
1875,3.370551530323951e-06,1.2015206607429718e-08
1876,3.3851636267456797e-06,1.4510435519810017e-08
1877,3.29032208057356e-06,3.710889595609501e-09
1878,3.056382752220088e-06,1.268208649207736e-08
1879,3.4126691765834494e-06,5.498392852132383e-09
1880,3.2808029359898683e-06,1.3477476912271413e-08
1881,3.368418347804436e-06,6.9725074602899895e-09
1882,3.5692830238076567e-06,1.9966155395678697e-09
1883,3.206432555913352e-06,5.0554711528150165e-09
1884,3.3536621586449655e-06,5.941527270181268e-09
1885,3.3923381401734787e-06,9.66845359329227e-09
1886,3.3558011764966977e-06,5.808117542471791e-09
1887,3.3232226854806868e-06,5.876032105334161e-09
1888,3.3953992755186846e-06,9.510921827882157e-09
1889,3.4163791227115325e-06,8.771191772893872e-09
1890,3.4653042391141753e-06,9.176140736144589e-09
1891,3.518569478444533e-06,1.0198752065093686e-08
1892,3.483412328364466e-06,2.5074049503359674e-09
1893,3.6186855894015935e-06,4.926733243593162e-09
1894,3.6114121257924126e-06,6.9316934414587195e-09
1895,3.446860631584059e-06,4.814891596538473e-09
1896,3.6007259396342306e-06,1.0614652268259306e-08
1897,3.584594210792602e-06,5.826713334045053e-09
1898,3.7198025069073992e-06,4.52668391659472e-09
1899,3.7349847730183683e-06,1.713549302451156e-08
1900,3.444782976202987e-06,8.30568502863116e-09
1901,3.7014217610931155e-06,4.470991132876634e-09
1902,4.206149128549441e-06,5.4013122863239005e-09
1903,3.6030268688591605e-06,4.320176216765503e-09
1904,3.7203155471843274e-06,6.449550227216605e-09
1905,3.75651642059438e-06,7.2250627702885595e-09
1906,3.6657458224453876e-06,9.259531807970234e-09
1907,3.7481042483022975e-06,5.142843484406967e-09
1908,3.6913999394982966e-06,3.437972351250096e-09
1909,3.7665233634243123e-06,3.300590023513905e-09
1910,3.7211320744745535e-06,1.068830135508847e-09
1911,3.816304413817306e-06,4.788336838146279e-09
1912,3.5595975873548014e-06,5.730363294986773e-09
