year,est_VERB en_PRON,est_VERB tant_ADV
1800,2.7354229814591235e-07,4.904896400148573e-07
1801,2.0001934331048687e-07,6.072015708014078e-07
1802,1.7902721083373763e-07,8.481414397465414e-07
1803,1.6382848855300836e-07,6.280092179622443e-07
1804,1.656140113936999e-07,6.179627121127851e-07
1805,2.2174445746259153e-07,5.628897952192347e-07
1806,1.5849180101668026e-07,4.3801369997709116e-07
1807,1.366538526781369e-07,4.583597785767779e-07
1808,1.1330369886763947e-07,6.911525929353957e-07
1809,2.1008983708270534e-07,3.0948717721912544e-07
1810,9.126494404654295e-08,6.528953804263438e-07
1811,1.780024518893697e-07,5.465427079798246e-07
1812,1.7870294755084615e-07,6.427972039091401e-07
1813,1.8117172828624462e-07,4.284854924208048e-07
1814,1.5104049566616595e-07,6.482155185949523e-07
1815,1.9150287755564932e-07,4.1537242623235215e-07
1816,1.4369143741532753e-07,5.400016789280926e-07
1817,1.743698163636509e-07,3.8143397773637844e-07
1818,1.3470931037318223e-07,5.829455744787992e-07
1819,1.428444846851562e-07,5.682726396116777e-07
1820,1.4477106446975085e-07,6.752027843504038e-07
1821,1.0847637099686835e-07,6.183153118399787e-07
1822,1.4136118409169285e-07,6.90764920818765e-07
1823,1.7690010167825676e-07,7.718378469689924e-07
1824,2.1558048501901794e-07,8.539008149455185e-07
1825,1.3120110509134975e-07,5.115962267154828e-07
1826,1.6823250348352303e-07,6.650028012700204e-07
1827,1.0507691428074395e-07,4.534898323527159e-07
1828,1.3024667566696735e-07,5.127316171638086e-07
1829,1.8089401976340014e-07,5.426820166576363e-07
1830,1.4298464634521224e-07,6.293411729529907e-07
1831,1.6526678336958867e-07,4.833273692383955e-07
1832,2.0024354796532862e-07,5.384927703744324e-07
1833,2.942241508208099e-07,6.092988655836962e-07
1834,1.3161688627860713e-07,5.974100076855393e-07
1835,1.9890921976184472e-07,6.83703149206849e-07
1836,2.3253795689015533e-07,7.056787580950186e-07
1837,1.4472412601662654e-07,5.615017926174914e-07
1838,1.7674052799065976e-07,6.823447051829135e-07
1839,1.7408773089755414e-07,6.124532205831201e-07
1840,1.853579334465394e-07,4.337757957273425e-07
1841,1.6565014959724067e-07,9.149281936515763e-07
1842,1.7240240879345947e-07,7.452882755387691e-07
1843,1.7070972546662233e-07,4.631018271084031e-07
1844,1.5532629049630486e-07,4.593925666540599e-07
1845,1.9419192653913342e-07,4.503243928866141e-07
1846,1.539733887057082e-07,5.321741696207027e-07
1847,1.493922923145874e-07,4.7028910898916365e-07
1848,1.4722755281582067e-07,4.432917251051549e-07
1849,1.4412593429824483e-07,3.9718426592116884e-07
1850,2.3286256123355997e-07,6.103307441662764e-07
1851,1.7864945789369813e-07,4.62424765146352e-07
1852,2.0963956615105417e-07,4.3360233803468873e-07
1853,2.3051656228290085e-07,4.980591370440379e-07
1854,2.0990484017602284e-07,6.458211032622785e-07
1855,2.0113292009682482e-07,6.384245239132724e-07
1856,2.371152731939219e-07,5.736325761063199e-07
1857,1.7671062835233897e-07,5.613735538645415e-07
1858,1.947683045955273e-07,5.608152946479095e-07
1859,1.7873529145617795e-07,5.672681027135695e-07
1860,1.7988332956520026e-07,5.245452712188126e-07
1861,1.938261107170547e-07,5.418642103904858e-07
