year,dont_PRON elles_PRON,dont_PRON tels_ADJ
1800,1.9984308892162517e-05,0.0
1801,1.8968499716720544e-05,0.0
1802,1.7591661162441596e-05,0.0
1803,2.1763835320598446e-05,0.0
1804,1.6764093743404374e-05,0.0
1805,1.8103444745065644e-05,0.0
1806,1.507689285062952e-05,0.0
1807,1.61336938617751e-05,0.0
1808,1.6111785953398794e-05,2.2660739951163578e-09
1809,1.7819233107729815e-05,6.7770917766551975e-09
1810,1.67459475051146e-05,4.680253518074551e-09
1811,1.2675780453719199e-05,7.521229861140455e-09
1812,1.6939438864937983e-05,0.0
1813,1.5681418517488055e-05,0.0
1814,1.43394081533188e-05,0.0
1815,1.7669512089923956e-05,0.0
1816,1.9043751308345236e-05,0.0
1817,1.7472790204919875e-05,0.0
1818,1.5440309653058648e-05,0.0
1819,1.5548312148894183e-05,1.449147024601416e-08
1820,1.4454561096499674e-05,0.0
1821,1.4307047422335017e-05,3.94459531705138e-09
1822,1.4135115634417161e-05,0.0
1823,1.3246753951534629e-05,0.0
1824,1.346620138065191e-05,8.421112696055388e-10
1825,1.3312949704413768e-05,0.0
1826,1.4479445781034883e-05,0.0
1827,1.4527344319503754e-05,1.8434546111834038e-09
1828,1.5436065950780176e-05,1.8344602503717056e-09
1829,1.3662212950293906e-05,4.286587973467704e-09
1830,1.4427881978917867e-05,1.0436835840010872e-09
1831,1.2488556421885733e-05,0.0
1832,1.3732918887399137e-05,0.0
1833,1.4523553545586765e-05,0.0
1834,1.4764427760383114e-05,0.0
1835,1.3633978596772067e-05,0.0
1836,1.2863515621575061e-05,2.688300027031687e-09
1837,1.3965878679300658e-05,2.0873671680021744e-09
1838,1.2749304914905224e-05,0.0
1839,1.2957300896232482e-05,0.0
1840,1.2380126463540364e-05,1.9109065441114126e-09
1841,1.4152815310808364e-05,0.0
1842,1.334206808678573e-05,0.0
1843,1.3650871551362798e-05,0.0
1844,1.4318009561975487e-05,0.0
1845,1.350861566606909e-05,1.1160455892778032e-09
1846,1.3426712939690333e-05,1.1709002656346001e-09
1847,1.2352100384305231e-05,1.0247124926365814e-08
1848,1.3711471183341928e-05,0.0
1849,1.26872719192761e-05,9.217356655710773e-09
1850,1.1901110156031791e-05,1.3577992064028876e-09
1851,1.2092053111700807e-05,1.2898877521649865e-09
1852,1.4083611858950462e-05,1.3021090872200602e-09
1853,1.2553598025988322e-05,0.0
1854,1.2517394679889549e-05,5.195664454227256e-10
1855,1.1814303434221074e-05,0.0
1856,1.229478857567301e-05,5.177189232874468e-10
1857,1.196018547489075e-05,4.881509085841174e-10
1858,1.1571586583158933e-05,7.34051397444091e-09
1859,1.2487027561292052e-05,4.073738679721828e-09
1860,1.2160662663518451e-05,8.238931314963338e-09
1861,1.162013450084487e-05,1.8863854922557266e-09
1862,1.1357765288266819e-05,4.517986262886353e-10
1863,1.1042607184208464e-05,2.9967726078439227e-09
1864,1.1532759344845545e-05,2.3973640850272204e-09
1865,1.1464931048976723e-05,9.88437331983505e-09
1866,1.087367218133295e-05,0.0
1867,1.128133044403512e-05,3.396968040192405e-09
1868,1.1850263945234474e-05,6.915823469455518e-09
1869,1.1399110007914715e-05,0.0
1870,1.1476125109766144e-05,1.548193218070537e-08
1871,1.0758190910564736e-05,0.0
1872,1.0615499377308879e-05,0.0
1873,1.0992100214934908e-05,1.1972008939764578e-09
1874,1.0818224836839363e-05,1.7923826867161097e-09
1875,1.0565371667325962e-05,4.577221712764867e-09
1876,1.0943286724796053e-05,1.0278225381910033e-08
1877,1.0868577192013618e-05,3.0924081073635534e-09
1878,1.0013412975240499e-05,0.0
1879,1.0324759387003724e-05,0.0
1880,1.0164584637095686e-05,1.0910338410496934e-08
1881,1.0310246580047533e-05,4.8807553554297556e-09
1882,9.887240594252944e-06,0.0
1883,1.0162761100218631e-05,4.423537092179686e-09
1884,9.905185834213626e-06,0.0
1885,9.79865581030026e-06,9.023890079618013e-09
1886,9.441417205380276e-06,9.680196200179125e-09
1887,9.180321285384707e-06,1.3057849246322917e-09
1888,9.718260116642341e-06,4.4384300679212174e-09
1889,9.690913429949433e-06,0.0
1890,9.402922842127737e-06,2.2940351840361473e-08
1891,9.6237972684321e-06,4.079500826037474e-08
1892,9.298711120209191e-06,4.826754462783356e-08
1893,9.354635039926507e-06,1.970693297437265e-08
1894,9.894047252601013e-06,5.671385139294216e-09
1895,9.511818461760413e-06,6.018614495673091e-10
1896,9.520163985143881e-06,8.255840455717589e-09
