year,aient_VERB en_PRON,aient_VERB tant_ADV
1800,1.2576657937302116e-08,5.65949598296811e-08
1801,7.143547975374531e-09,5.9529565277216534e-08
1802,4.475680270843441e-09,8.503792514602537e-08
1803,7.801356893821776e-09,4.290746247193056e-08
1804,1.2359254952798437e-08,3.460591457837836e-08
1805,8.528632911009026e-09,5.401467717547348e-08
1806,8.645007376628655e-09,2.881669125542885e-08
1807,6.263301344233696e-08,1.9928686256776018e-08
1808,0.0,7.251436784372345e-08
1809,6.7770917766551975e-09,2.25903047379461e-08
1810,1.6380887757350138e-08,6.084329839950442e-08
1811,7.521229861140455e-09,1.0780430415024966e-07
1812,5.3344164641089264e-09,3.200649700829672e-08
1813,0.0,6.039057609541487e-08
1814,9.440030979135372e-09,7.866692897096073e-08
1815,1.0788894222457657e-08,5.1247248222807684e-08
1816,4.6352077731626196e-09,7.416332437060191e-08
1817,7.784366928831332e-09,4.203558034987509e-08
1818,1.0729059418679299e-08,5.841376804482934e-08
1819,1.5526575580793178e-08,4.34744116262209e-08
1820,1.3053129244156025e-08,6.051905643289501e-08
1821,1.0847637454958203e-08,6.409967312492881e-08
1822,1.2030739071633434e-08,1.0226128210888419e-07
1823,1.4824030003524058e-08,5.336650943377208e-08
1824,2.6947560627377243e-08,9.010590673597108e-08
1825,1.0566531649658373e-08,7.57268097117958e-08
1826,1.4092774947016551e-08,4.580151724553616e-08
1827,6.452091305675367e-09,4.424290978022327e-08
1828,2.5682442839070063e-08,7.154395120778645e-08
1829,2.5719527840806222e-08,3.1720752247110795e-08
1830,6.262101504006523e-09,5.218418053232199e-08
1831,3.741889287312006e-08,6.704218691311326e-08
1832,6.764984572527055e-09,3.5177919244233635e-08
1833,1.1583628278799551e-08,5.6759780875381693e-08
1834,1.5868701908061666e-08,2.42697808516823e-08
1835,1.8907719834260206e-08,5.445423312266939e-08
1836,6.72075017860152e-09,6.98957975941994e-08
1837,1.1828414692161004e-08,5.98378591121218e-08
1838,1.3255539776935166e-08,5.870310459954453e-08
1839,1.11863602825224e-08,5.383435919270596e-08
1840,8.280594876453051e-09,5.032054062326097e-08
1841,1.6693427085101575e-08,4.943822418113086e-08
