year,avait_VERB en_PRON,avait_VERB tant_ADV
1800,4.4018303668735825e-08,1.4117298405835754e-06
1801,1.1905912700171939e-08,1.4453778476308798e-06
1802,6.713520406265161e-09,1.0405956345493905e-06
1803,1.950339267864365e-08,9.94672973320121e-07
1804,4.2021465418429216e-08,1.4608639276048052e-06
1805,2.842877711017877e-09,1.10303653855226e-06
1806,1.152667650217154e-08,1.3111595080772531e-06
1807,2.8469550272802735e-08,1.8078164885082515e-06
1808,2.945896149242344e-08,1.0333297950637643e-06
1809,3.388545621874073e-08,1.9450253603281453e-06
1810,3.510190182964834e-08,1.2613282933671144e-06
1811,2.0056614147279106e-08,1.9981400782853598e-06
1812,1.3336041604361526e-08,1.5683184528825223e-06
1813,4.026038169513413e-08,2.329350763830007e-06
1814,2.2026739543434815e-08,1.8376593970970134e-06
1815,5.394447111228828e-09,1.6345175026799552e-06
1816,3.9399267848239106e-08,1.8077309960062848e-06
1817,2.0239355080775567e-08,2.285490154463332e-06
1818,3.099506074022429e-08,2.5249053123843623e-06
1819,3.622867339458935e-08,2.374530822635279e-06
1820,2.610625848831205e-08,2.6521586278249742e-06
1821,4.2404398215012407e-08,2.7562859941099305e-06
1822,4.210758675071702e-08,2.4231912902905606e-06
1823,3.063632902922109e-08,2.2404051378543954e-06
1824,2.6105450245950124e-08,2.8025463052472332e-06
1825,2.553578504205234e-08,3.1180072710412787e-06
1826,3.963592831723872e-08,3.0132114261505194e-06
1827,2.3964910056406552e-08,2.8361548629618483e-06
1828,3.8523666034961934e-08,2.5599892978789285e-06
1829,3.1720752247110795e-08,3.829637535091024e-06
1830,4.905312778191728e-08,3.090347036049934e-06
1831,2.3386808933878456e-08,2.560076154622948e-06
1832,2.841293600397421e-08,3.239074658267782e-06
1833,3.359252431778259e-08,3.5608074995252537e-06
1834,3.360431222176885e-08,2.7611542918748455e-06
1835,4.386591001548368e-08,3.27103543895646e-06
1836,4.5701099793404865e-08,3.1466552172787488e-06
1837,5.775049416456568e-08,3.3307424018858e-06
1838,5.112851297894849e-08,3.502618710626848e-06
1839,3.425822825420255e-08,3.3531114240759052e-06
1840,6.17859825524647e-08,3.570847411538125e-06
1841,1.733548060656176e-08,3.329696482978761e-06
1842,3.152884531232303e-08,4.056487796333386e-06
1843,4.3120451209688326e-08,3.4886215871665627e-06
