year,quand_CONJ elle_PRON,quand_CONJ telles_ADJ
1800,3.203589290023956e-05,6.288328968651058e-09
1801,3.234122232242953e-05,9.524730337773235e-09
1802,3.0076570737946895e-05,6.713520406265161e-09
1803,3.068273599637905e-05,0.0
1804,3.09154399928957e-05,1.9774807569206132e-08
1805,3.0660436323159956e-05,1.7057265822018053e-08
1806,2.841902028194454e-05,0.0
1807,2.6712980115917162e-05,0.0
1808,2.690056476239988e-05,0.0
1809,2.4295873117807787e-05,0.0
1810,2.756669391601463e-05,0.0
1811,2.2162558025229373e-05,5.0141535368197765e-09
1812,2.469568130436528e-05,2.6672082320544632e-09
1813,2.572926086941152e-05,1.1502966579257645e-08
1814,2.3902158773125848e-05,6.293354282149721e-09
1815,2.3991804255274474e-05,2.697223555614414e-09
1816,2.954713158942468e-05,0.0
1817,3.0198672675396665e-05,0.0
1818,2.788244250950811e-05,3.5763532135746345e-09
1819,2.513338426979317e-05,1.552657513670397e-08
1820,3.0678414077556226e-05,3.5599443393152796e-09
1821,2.943752906503505e-05,1.97229765852569e-09
1822,2.7221552954870276e-05,2.2056354964661296e-08
1823,2.6616051627570414e-05,2.3718449426723964e-08
1824,2.734756367317459e-05,2.863178316658832e-08
1825,2.874272763619956e-05,1.496925317034936e-08
1826,2.525601348679629e-05,4.403992281964975e-09
1827,2.5394508611498168e-05,1.8434546111834038e-09
1828,2.6548309051577235e-05,1.8344602503717056e-09
1829,2.535173939577362e-05,0.0
1830,2.61411430528824e-05,4.174734336004349e-09
1831,2.6921335120277945e-05,0.0
1832,2.97172239243082e-05,2.0294953273491956e-08
1833,2.6491757580515696e-05,5.791814139399776e-09
1834,2.9610998808493605e-05,3.733812370398937e-09
1835,2.8220150397828547e-05,5.294161553592858e-09
1836,2.9319272925931728e-05,3.8980348726624925e-08
1837,2.8303309136390453e-05,1.87863058442872e-08
1838,2.797487104544416e-05,4.102905393210676e-08
1839,2.7149295647177496e-05,1.0487212875887053e-08
1840,2.6994740210284363e-05,1.7835128929277744e-08
1841,2.692007547011599e-05,1.1556987367100646e-08
1842,2.806402585520118e-05,4.695785538189057e-09
1843,2.7667972062772606e-05,7.088293507706567e-09
1844,2.985063724736392e-05,1.2074834909725496e-08
1845,2.8107049729442224e-05,6.696273757711424e-09
1846,2.7789561045210576e-05,6.439951683034906e-09
1847,2.4797503328954917e-05,1.941560512364049e-08
1848,2.5578978693374665e-05,8.045221711050488e-10
1849,2.643789252942952e-05,8.379414495607307e-09
1850,2.6872203534367145e-05,6.788996032014438e-09
1851,2.621438829919498e-05,3.8696632564949596e-09
1852,2.7828024485643255e-05,9.765818376195057e-09
1853,2.8648551506194053e-05,9.555090940693844e-09
1854,2.8712800030916696e-05,1.3508727469968562e-08
1855,3.0025588785065338e-05,1.0083180512765466e-08
1856,3.0083610909059644e-05,6.212626857404757e-09
1857,3.056849845961551e-05,1.4156376071383647e-08
1858,3.0465091185760684e-05,1.614913069936108e-08
1859,3.24626057590649e-05,1.2730433152086107e-08
1860,2.9514597827073885e-05,1.0069804545764782e-08
1861,3.129513447674981e-05,3.301174722469824e-09
1862,3.0009819511178648e-05,1.2650361647104091e-08
1863,2.9363875910348725e-05,1.5982787093804518e-08
1864,3.0159317702782573e-05,2.1576276765244984e-08
1865,3.030972493434092e-05,5.648213063924601e-09
1866,2.8888117867609253e-05,7.298419313350735e-09
1867,2.9344466611291864e-05,7.279217228983725e-09
1868,2.8473434667830588e-05,1.3831647049933338e-08
1869,3.0934652386349626e-05,9.76703851129912e-09
1870,2.782619139907183e-05,2.408300447953593e-08
1871,2.6702701006797724e-05,2.2304472491185834e-08
1872,2.6650018753571203e-05,1.3908880047708294e-08
1873,2.7294385517961928e-05,2.3944017879529156e-09
1874,2.704167832234816e-05,3.584765539965673e-09
1875,2.6872869057115167e-05,8.010137775293913e-09
1876,2.6945877834805287e-05,4.232210137899983e-09
1877,2.6274953597749118e-05,5.566334504436554e-09
1878,2.507489921299566e-05,4.831270938865373e-09
1879,2.7109519578516483e-05,1.2829582951567886e-08
1880,2.5032809617187013e-05,7.701415727368044e-09
1881,2.6169911961915204e-05,2.091752326904839e-09
1882,2.6226876570945024e-05,5.989846840748214e-09
1883,2.4848272687449935e-05,3.791603475633565e-09
1884,2.5513577838864876e-05,9.242375753615306e-09
1885,2.478089072610601e-05,8.379326343899152e-09
1886,2.3915891915748944e-05,0.0
1887,2.6602102479955647e-05,2.4809913234946634e-08
1888,2.4342888082173886e-05,5.07249175996094e-09
1889,2.4076921135929297e-05,3.132568371366773e-09
1890,2.4822772957122652e-05,1.9663159989136147e-09
1891,2.5102315476033255e-05,6.374220040683554e-10
1892,2.3645455030418816e-05,3.761107425503951e-09
1893,2.4241991468443302e-05,0.0
1894,2.37801195908105e-05,8.82215522857166e-09
1895,2.362246027587389e-05,1.083350631425617e-08
1896,2.2894034827913856e-05,2.358811590497112e-09
1897,2.3007944491837407e-05,1.1653427112179315e-09
1898,2.367002957726072e-05,1.6975064687230201e-09
1899,2.3331908323598327e-05,5.527578395003729e-10
1900,2.329225571884308e-05,1.038210628578895e-09
1901,2.2633833623331157e-05,3.912117185755903e-09
1902,2.2229836758924648e-05,1.9641135384773634e-09
1903,2.2408214363167644e-05,2.1600881083827517e-09
1904,2.1919333903497318e-05,5.374625189347171e-10
1905,2.1280905912135495e-05,1.5482277682110634e-09
1906,2.3118994477044907e-05,6.173021371846943e-09
1907,2.2355425699061016e-05,4.628559036046198e-09
1908,2.2945026557863457e-05,4.4202501658929805e-09
1909,2.3354426275545848e-05,5.5009836685826485e-09
1910,2.4491707790730288e-05,3.740905363258662e-09
1911,2.2146590026750346e-05,1.3832972878269345e-08
1912,2.2254647092267987e-05,1.0418842455450772e-09
1913,2.2495813254863606e-05,1.060597942803554e-09
1914,2.1628474087265204e-05,6.696743604095445e-09
1915,1.9358147710590856e-05,2.3561523843085297e-09
