year,était_VERB aux_ADP,était_VERB tôt_ADV,etait_VERB aux_ADP
1800,6.791395321670279e-07,0.0,0.0
1801,7.50072501887189e-07,0.0,2.3811825844433088e-09
1802,3.960977039696445e-07,0.0,0.0
1803,5.10988854784955e-07,0.0,1.950339223455444e-09
1804,6.179627121127851e-07,0.0,0.0
1805,5.543611791836156e-07,0.0,0.0
1806,6.771922471671132e-07,0.0,5.76333825108577e-09
1807,8.199230592254025e-07,0.0,2.8469551160981155e-09
1808,6.526292963826563e-07,0.0,4.5321479902327155e-09
1809,8.471364481010824e-07,0.0,1.129515236897305e-08
1810,5.101476290292339e-07,0.0,0.0
1811,8.448848802800057e-07,0.0,5.0141535368197765e-09
1812,5.894530090699845e-07,0.0,2.6672082320544632e-09
1813,9.720006346469745e-07,0.0,0.0
1814,7.866692612878978e-07,0.0,3.1466771410748606e-09
1815,8.118643108900869e-07,1.6183340889597275e-08,0.0
1816,7.46268426610186e-07,1.622322720606917e-08,0.0
1817,1.0851407523659873e-06,0.0,1.556873407970727e-09
1818,1.1897335525645758e-06,0.0,1.1921177378582115e-09
1819,9.450508855479711e-07,0.0,0.0
1820,1.2946330798513372e-06,0.0,3.5599443393152796e-09
1821,1.2622705298781511e-06,0.0,4.930744257336528e-09
1822,1.135902266469202e-06,0.0,5.012807946513931e-09
1823,1.5150159242693917e-06,8.894418535021487e-09,1.087095569118901e-08
1824,1.1368501873221248e-06,0.0,1.6842225392110777e-09
1825,1.0654586048985948e-06,8.805443041381977e-10,2.641632912414593e-09
1826,9.398119118486647e-07,0.0,8.807984341885344e-10
1827,1.26000122691039e-06,1.8434546111834038e-09,3.6869092223668076e-09
1828,1.1777234476539888e-06,5.503380862137419e-09,1.1006761724274838e-08
1829,1.4325777328849654e-06,1.8860987438529264e-08,2.571952872898464e-09
1830,1.3421771427601925e-06,1.0436835840010872e-09,3.1310507520032616e-09
1831,1.3907356333220378e-06,0.0,0.0
1832,1.1243404287597514e-06,4.058990921151917e-09,4.058990921151917e-09
1833,1.4259446743380977e-06,1.1583628500844156e-09,1.1583628500844156e-09
1834,1.3787101806883584e-06,1.213489042584115e-08,0.0
1835,1.5330379028455354e-06,0.0,5.294161553592858e-09
1836,1.2540920124592958e-06,3.36037508930076e-09,6.720750067579218e-10
1837,1.39018663958268e-06,1.3915781860163179e-09,2.7831563720326358e-09
1838,1.4499036069537397e-06,4.418513555037862e-09,3.1560809521380406e-09
1839,1.3451598306346568e-06,3.4957374772659477e-09,2.7965900706306e-09
1840,1.5803198039066046e-06,1.4013314952876499e-08,2.5478754661634184e-09
1841,1.27062651245069e-06,2.5682194149112547e-09,6.420548537278137e-10
1842,1.7535404595037107e-06,6.037438549100216e-09,3.3541325272778977e-09
1843,1.5399317589981365e-06,6.497602011990011e-09,2.953455480181333e-09
1844,1.5280154457286699e-06,8.232841963717874e-09,2.7442805805577564e-09
1845,1.5697181652285508e-06,5.580227835366713e-09,5.580227946389016e-10
1846,1.3459498404699843e-06,1.4050803187615202e-08,5.854501328173001e-10
1847,1.4545523754350143e-06,3.235934187273415e-09,6.47186837454683e-09
1848,1.4248087154555833e-06,1.6090443422100975e-09,8.045221711050488e-10
1849,1.3918207741880906e-06,1.6758829879393033e-09,8.379414939696517e-10
1850,1.5064782701301738e-06,1.3577992064028876e-09,2.7155984128057753e-09
1851,1.4917551425241982e-06,1.2898877521649865e-09,0.0
1852,1.2259357617949718e-06,1.9531636308300904e-09,1.9531636308300904e-09
1853,1.3592116374638863e-06,5.3747388761848924e-09,5.971931837933653e-10
1854,1.285407392970228e-06,4.1565315633818045e-09,5.195664454227256e-10
1855,1.3729046486332663e-06,1.0613874223963649e-09,5.306937111981824e-10
1856,1.4066423545955331e-06,4.659470143053568e-09,3.1063134287023786e-09
1857,1.5611066146448138e-06,7.322263684272912e-09,9.763018171682347e-10
1858,1.5400398751808098e-06,9.787352039936081e-10,1.4681028059904122e-09
1859,1.6025069271563552e-06,1.018434669930457e-09,2.5460866748261424e-09
1860,1.6766224462116952e-06,0.0,4.577183909670879e-10
1861,1.5774899111420382e-06,9.431927461278633e-10,1.8863854922557266e-09
1862,1.7385210639986326e-06,4.517986262886353e-10,9.035972525772706e-10
1863,1.5743045196359162e-06,0.0,1.4983863039219614e-09
1864,1.4326647033158224e-06,4.794727948009836e-10,2.8768367688059016e-09
1865,1.4096998484092182e-06,5.6482134525026595e-09,4.706844358715045e-10
1866,1.6158700191226671e-06,2.919367858567057e-09,2.432806400776144e-09
1867,1.4985481584517402e-06,1.455843445796745e-09,1.455843445796745e-09
1868,1.4552869060935336e-06,0.0,1.4819622196071691e-09
1869,1.6213283515753574e-06,4.883519144627257e-10,1.4650557433881772e-09
1870,1.6577134829276474e-06,0.0,0.0
1871,1.7365624671583646e-06,0.0,2.1242354542039266e-09
1872,1.702326017039013e-06,7.256807155187062e-09,1.8142017887967654e-09
1873,1.57910801590333e-06,0.0,5.986004469882289e-10
1874,1.5247202327373088e-06,7.169530746864439e-09,0.0
1875,1.5425237052113516e-06,5.721527251978387e-09,1.716458086775674e-09
1876,1.5381061757580028e-06,9.069021977836655e-09,0.0
1877,1.3798324971503462e-06,5.566334504436554e-09,6.184815992682502e-10
1878,1.5309090031223604e-06,3.0195443923020093e-09,1.8117265465633636e-09
1879,1.6690676147845807e-06,1.832797580370027e-09,6.10932526790009e-10
1880,1.4562093610948068e-06,7.701415505323439e-09,0.0
1881,1.4175108162817196e-06,8.367009307619355e-09,2.091752326904839e-09
1882,1.345718828815734e-06,4.6587693702804245e-09,5.989846840748214e-09
1883,1.4724059838044923e-06,3.159669414998234e-09,1.2638677882037541e-09
1884,1.470197958042263e-06,1.9805090900604227e-09,6.601696966868076e-10
1885,1.5179472256932058e-06,1.2891271383708158e-09,1.933690763067375e-09
1886,1.7734118955559097e-06,3.872078213618124e-09,3.872078380151578e-09
1887,1.3612807379104197e-06,1.4363633837888301e-08,7.181816974455302e-09
1888,1.3962034017822589e-06,1.9021844099853524e-09,1.9021844099853524e-09
