year,ait_VERB eu_VERB,ait_VERB tu_VERB
1800,7.168694992287783e-06,6.288328968651058e-09
1801,6.9173352130746935e-06,9.524730337773235e-09
1802,8.550787242711522e-06,1.1189200677108602e-08
1803,7.360580184467835e-06,1.950339223455444e-09
1804,1.0811875654326286e-05,1.9774807569206132e-08
1805,8.804392564343289e-06,2.842877711017877e-09
1806,7.581671525258571e-06,2.881669125542885e-09
1807,1.0436937373015098e-05,5.693910232196231e-09
1808,9.567364031681791e-06,2.2660739062985158e-08
1809,9.293651601183228e-06,0.0
1810,8.87142050487455e-06,4.680253518074551e-09
1811,8.579217137594242e-06,0.0
1812,9.951353604265023e-06,0.0
1813,9.596349627827294e-06,5.751483289628823e-09
1814,8.184507350961212e-06,1.5733386149463513e-08
1815,8.304751645482611e-06,5.394447111228828e-09
1816,7.801054380252026e-06,1.8540831092650478e-08
1817,8.460049684799742e-06,6.227493631882908e-09
1818,8.406814231420867e-06,4.768470951432846e-09
1819,9.881112418952398e-06,1.035105001712111e-09
1820,8.422828614129685e-06,4.746592452420373e-09
1821,9.136669177678414e-06,8.875339574387908e-09
1822,8.544832780899014e-06,7.017931125119503e-09
1823,7.736167390248738e-06,4.941343334508019e-09
1824,8.135636562656146e-06,0.0
1825,8.215478374040686e-06,5.283265824829186e-09
1826,7.460362667188747e-06,1.7615968683770689e-09
1827,9.523286280455068e-06,2.7651818612639545e-09
1828,9.241093721357174e-06,9.172301251858528e-10
1829,9.407345714862458e-06,6.858540846366168e-09
1830,1.0187395673710853e-05,9.39315203396518e-09
1831,9.518431397737004e-06,4.677361609140007e-09
1832,9.77134368440602e-06,6.764984572527055e-09
1833,7.853700481064152e-06,1.1583628500844156e-09
1834,8.939679901232012e-06,2.8003592777992026e-09
1835,8.488053936162032e-06,8.31939672707449e-09
1836,8.428492947132327e-06,1.2769425516978572e-08
1837,8.50950073072454e-06,2.7831563720326358e-09
1838,9.004298590298276e-06,8.837027110075724e-09
1839,8.649153642181773e-06,8.38977065598101e-09
1840,8.313080797961447e-06,3.1848443882154243e-09
1841,9.380421033711173e-06,8.988767952189392e-09
1842,8.332335710292682e-06,6.708265054555795e-10
1843,8.844417607178912e-06,5.906910960362666e-09
1844,8.237781912612263e-06,1.6465684371524958e-09
1845,8.42056397232227e-06,3.348136878855712e-09
1846,8.502492164552677e-06,7.025401593807601e-09
1847,8.429608897131402e-06,1.6179670936367074e-09
1848,8.62447723193327e-06,2.413566457803995e-09
1849,8.87380065250909e-06,2.513824481908955e-09
1850,8.547345714760013e-06,3.394498016007219e-09
1851,9.307829714089166e-06,8.384270167027807e-09
1852,9.215676982421428e-06,5.208436348880241e-09
1853,8.517169590049889e-06,2.388772735173461e-09
1854,7.781027306918986e-06,4.676098175337984e-09
1855,8.204524419852532e-06,4.776243400783642e-09
1856,8.459009222860914e-06,5.177189343896771e-09
1857,8.300517947645858e-06,1.4644527812635033e-09
1858,8.307504685944878e-06,5.872411001917044e-09
1859,8.220804375014268e-06,3.055304009791371e-09
1860,7.855820513213985e-06,1.8308735638683515e-09
1861,8.150600478984416e-06,4.715963619617014e-09
1862,8.036142389755696e-06,5.421583626485926e-09
1863,8.426924068771768e-06,2.4973103585068657e-09
1864,8.583042472309899e-06,6.233146443435089e-09
1865,8.312757927342318e-06,3.765475486972036e-09
1866,8.398047611990478e-06,3.8924903300596725e-09
1867,8.341982720594388e-06,2.426405742994575e-09
1868,8.068296665442176e-06,3.951899252285784e-09
1869,8.295145562442485e-06,9.767038289254515e-10
1870,8.36655090097338e-06,2.2936195165357276e-09
1871,7.494302735722158e-06,4.248470908407853e-09
1872,8.566660653741565e-06,2.4189357183956872e-09
1873,8.701255865162238e-06,0.0
1874,8.23002392280614e-06,3.5847653734322193e-09
1875,8.489029823977035e-06,6.293679799540541e-09
1876,8.442654689133633e-06,7.859819461941697e-09
1877,8.070566764217801e-06,1.1751150275074451e-08
