year,dont_PRON elle_PRON,dont_PRON tels_ADJ
1800,5.410792800830677e-05,0.0
1801,5.649117520079017e-05,0.0
1802,5.1978313422296196e-05,0.0
1803,5.473431883729063e-05,0.0
1804,5.4487009037984535e-05,0.0
1805,5.591656008618884e-05,0.0
1806,5.293626236380078e-05,0.0
1807,5.250069807516411e-05,0.0
1808,5.288563625072129e-05,2.2660739951163578e-09
1809,5.3848511015530676e-05,6.7770917766551975e-09
1810,5.713887367164716e-05,4.680253518074551e-09
1811,4.529034049483016e-05,7.521229861140455e-09
1812,5.10290265083313e-05,0.0
1813,5.468510425998829e-05,0.0
1814,5.0274462410015985e-05,0.0
1815,5.701930422219448e-05,0.0
1816,5.1712697313632816e-05,0.0
1817,5.4400272347265854e-05,0.0
1818,5.327455073711462e-05,0.0
1819,4.967158383806236e-05,1.449147024601416e-08
1820,5.381093069445342e-05,0.0
1821,5.210810559219681e-05,3.94459531705138e-09
1822,4.999774682801217e-05,0.0
1823,4.843010538024828e-05,0.0
1824,4.889718911726959e-05,8.421112696055388e-10
1825,4.854528742725961e-05,0.0
1826,4.8075740778585896e-05,0.0
1827,4.842571070184931e-05,1.8434546111834038e-09
1828,4.999362863600254e-05,1.8344602503717056e-09
1829,5.001248064218089e-05,4.286587973467704e-09
1830,5.001331737730652e-05,1.0436835840010872e-09
1831,4.453783913049847e-05,0.0
1832,4.7501016524620354e-05,0.0
1833,4.870104748988524e-05,0.0
1834,4.6839741116855294e-05,0.0
1835,4.389162495499477e-05,0.0
1836,4.425210499903187e-05,2.688300027031687e-09
1837,4.486517718760297e-05,2.0873671680021744e-09
1838,4.4645919842878357e-05,0.0
1839,4.420639743329957e-05,0.0
1840,4.5789143769070506e-05,1.9109065441114126e-09
1841,4.66151068394538e-05,0.0
1842,4.5815439079888165e-05,0.0
1843,4.3865311454283074e-05,0.0
1844,4.674003866966814e-05,0.0
1845,4.6723806008230895e-05,1.1160455892778032e-09
1846,4.484138116822578e-05,1.1709002656346001e-09
1847,4.34602152381558e-05,1.0247124926365814e-08
1848,4.369762245914899e-05,0.0
1849,4.474020897760056e-05,9.217356655710773e-09
1850,4.401238402351737e-05,1.3577992064028876e-09
1851,4.2541141738183796e-05,1.2898877521649865e-09
1852,4.6224871766753495e-05,1.3021090872200602e-09
1853,4.480501593207009e-05,0.0
1854,4.621439438778907e-05,5.195664454227256e-10
1855,4.454165537026711e-05,0.0
1856,4.569283555611037e-05,5.177189232874468e-10
1857,4.5035827497486025e-05,4.881509085841174e-10
1858,4.5622273319168016e-05,7.34051397444091e-09
1859,4.7383691708091646e-05,4.073738679721828e-09
1860,4.540795271168463e-05,8.238931314963338e-09
1861,4.432298374013044e-05,1.8863854922557266e-09
1862,4.61241215816699e-05,4.517986262886353e-10
1863,4.37908383901231e-05,2.9967726078439227e-09
1864,4.492899824981578e-05,2.3973640850272204e-09
1865,4.486563921091147e-05,9.88437331983505e-09
