year,tout_DET tissu_NOUN
1800,2.2009151834367913e-08
1801,3.5717739876872656e-08
1802,6.713520406265161e-09
1803,0.0
1804,7.4155528384522995e-09
1805,8.528632911009026e-09
1806,0.0
1807,1.4234775136401367e-08
1808,2.2660739951163578e-09
1809,9.036122072814123e-09
1810,1.8721014072298203e-08
1811,5.515568801683912e-08
1812,2.6672083208723052e-08
1813,0.0
1814,9.440030979135372e-09
1815,8.091670444798638e-09
1816,9.270415546325239e-09
1817,2.9580593974287694e-08
1818,9.536941680821087e-09
1819,3.1053151161586356e-09
1820,1.1866481131050932e-09
1821,1.97229765852569e-09
1822,4.010246357211145e-09
1823,2.075364236020505e-08
1824,1.0105335235266466e-08
1825,7.924898959288385e-09
1826,3.170874407487645e-08
1827,3.7790819362726324e-08
1828,8.805409112966345e-08
1829,6.429882093428319e-08
1830,2.1917354597889016e-08
1831,2.8064171431196883e-08
1832,1.4882966081763982e-08
1833,4.2859426230279496e-08
1834,2.6136685704614138e-08
1835,2.7227116561334697e-08
1836,3.0915450088819796e-08
1837,1.238504587774969e-07
1838,5.0497294123985625e-08
1839,9.08891772954945e-08
1840,5.6053259811505995e-08
1841,2.1829865914924085e-08
1842,3.6224631738690505e-08
1843,6.143187558649288e-08
1844,3.512679214168202e-08
1845,1.0490828694642573e-07
1846,1.4050803631704412e-08
1847,3.128069625546459e-08
1848,4.505324063819316e-08
1849,1.759677115131808e-08
1850,1.425689166723032e-08
1851,4.2566295821444555e-08
1852,2.083374561756557e-08
1853,5.733054564416307e-08
1854,1.3508727469968562e-08
1855,4.086341576226005e-08
1856,3.1063134287023786e-08
1857,3.3194262449853795e-08
1858,2.0553439838977283e-08
1859,2.3423997630445115e-08
1860,7.231950593933334e-08
1861,7.026785908692545e-08
1862,2.5300723516252788e-08
1863,3.046718632937484e-08
1864,4.2193605054308136e-08
1865,4.094954619837665e-08
1866,2.6760871407738307e-08
1867,5.5322049163919473e-08
1868,4.248291585184916e-08
1869,4.8835192778540204e-08
1870,3.612450827361613e-08
1871,4.0360474962142234e-08
1872,3.9912440907841074e-08
1873,5.806424496768159e-08
1874,7.289023284950957e-08
1875,3.432916173551348e-08
1876,4.897271921322499e-08
1877,4.267522935030854e-08
1878,3.86501681770568e-08
1879,4.9485533670790005e-08
1880,6.03277561239679e-08
1881,5.020205384731469e-08
1882,4.326000402343766e-08
1883,4.486730498243219e-08
1884,3.6969504790818064e-08
1885,4.0607505136236455e-08
1886,4.1947515683204983e-08
1887,5.941321523650345e-08
1888,3.3605258797919646e-08
1889,3.1325684046734636e-08
1890,2.4906669005009263e-08
1891,2.294719203543849e-08
1892,4.199903180790443e-08
1893,6.589505874288193e-08
1894,3.0877544077156927e-08
1895,3.731540898499475e-08
1896,4.363801486828578e-08
1897,5.185774920590802e-08
1898,4.074015458321867e-08
1899,4.09040801230276e-08
1900,6.177353195635504e-08
1901,5.7564012445610047e-08
1902,7.21811744819334e-08
1903,3.456141128843626e-08
1904,6.449549871945237e-08
1905,3.509316082173086e-08
1906,5.0413006547067596e-08
1907,4.16570298256147e-08
1908,4.272908538105469e-08
1909,4.56581625840613e-08
1910,4.75629415852552e-08
1911,5.320374263373395e-08
1912,2.8651816363911564e-08
1913,4.984810275665552e-08
1914,4.4198507076487203e-08
1915,3.65203614016707e-08
1916,4.5048592633989415e-08
1917,7.566833071237511e-08
1918,9.189101035644853e-08
1919,6.169258370825048e-08
1920,4.164727585020955e-08
1921,5.2251956983440095e-08
1922,4.13164404911015e-08
1923,2.866305992554885e-08
1924,7.47714201665417e-08
1925,3.739380560752181e-08
1926,4.124071262268103e-08
1927,4.9056590900597996e-08
1928,4.341895543102936e-08
1929,5.3473951044935575e-08
1930,4.5165493789411926e-08
1931,5.1324105854178015e-08
1932,3.397456405096477e-08
1933,4.588265012372972e-08
1934,5.2718952758823434e-08
1935,4.787313834242468e-08
1936,1.0427254393263752e-07
1937,3.651424407280501e-08
1938,4.797129449229942e-08
1939,2.7529290846928234e-08
1940,6.593035806190528e-08
1941,3.246652768851277e-08
1942,5.158160121254696e-08
1943,5.5161468504039135e-08
1944,4.4984604485875934e-08
1945,2.832055256973831e-08
1946,4.872386583087973e-08
1947,5.3643918418444514e-08
1948,4.131317310474003e-08
1949,2.6505922789965553e-08
1950,7.444752880836347e-08
1951,4.69101659739124e-08
1952,3.901577616538532e-08
1953,4.7404840164411155e-08
1954,2.7363101118282884e-08
1955,5.255940260795455e-08
1956,4.4477822092048314e-08
1957,4.064117292701397e-08
1958,3.9706768983904794e-08
1959,3.1778064624177205e-08
1960,3.252791613839179e-08
1961,3.8214875486275446e-08
1962,3.7417541509654484e-08
1963,2.9743844276453046e-08
1964,1.6426714100070683e-08
1965,2.8454625322638094e-08
1966,2.824928091449408e-08
1967,2.218650940744027e-08
1968,2.2007936806289763e-08
1969,1.5896152782968187e-08
1970,2.023439088505441e-08
1971,2.106742891250235e-08
1972,2.4624705385889456e-08
1973,2.095017381797959e-08
1974,1.5189043134355984e-08
1975,1.3707552426467373e-08
1976,1.599787491368687e-08
1977,1.9393379346865913e-08
1978,1.4257419356233925e-08
1979,2.165230095219073e-08
1980,2.4446147384171724e-08
1981,1.7711539568310286e-08
1982,3.1037512115972277e-08
1983,1.5156758292889094e-08
1984,2.31960340935089e-08
1985,1.9851341570564784e-08
1986,2.757463346547695e-08
1987,1.6499205224285163e-08
1988,2.278690480750356e-08
1989,2.359892548042808e-08
1990,1.9070279189126182e-08
1991,1.1722930737256831e-08
1992,1.1019888224161889e-08
1993,1.5509781292610825e-08
1994,1.2659824188965274e-08
1995,1.572510655023507e-08
1996,1.9217132107840484e-08
1997,1.3905193774199631e-08
1998,1.7165264432073002e-08
1999,1.3710603236072316e-08
2000,1.8113929911578452e-08
2001,1.4457998520622795e-08
