year,furent_VERB en_PRON,furent_VERB tant_ADV
1800,1.6349655140857067e-07,4.087413785214267e-08
1801,1.4287095950749062e-07,2.3811825400343878e-08
1802,2.1259481286506343e-07,1.4098392853156838e-07
1803,1.7553053055507917e-07,3.1205427575287104e-08
1804,7.909923027682453e-08,4.943701892301533e-09
1805,1.7341554325867037e-07,1.9900143755080535e-08
1806,2.3341519295172475e-07,2.881669125542885e-09
1807,1.537355700520493e-07,1.9928686256776018e-08
1808,1.3369836437959748e-07,5.6651849433819734e-08
1809,1.7394535234416253e-07,5.6475762733043666e-08
1810,9.126494404654295e-08,4.44624070894406e-08
1811,2.1560860830049933e-07,5.264861258069686e-08
1812,9.868670503010435e-08,4.800974906515876e-08
1813,1.8117172828624462e-07,6.326631307729258e-08
1814,2.7690759907272877e-07,3.1466772298927026e-08
1815,1.0519171667056071e-07,1.6183340889597275e-08
1816,1.1356259221884102e-07,2.0858434979231788e-08
1817,2.1017791596023017e-07,3.269434145636296e-08
1818,2.0504424469436344e-07,3.457141417584353e-08
1819,1.8631889986409078e-07,1.1696686641471388e-07
1820,3.263282337684359e-07,1.1985146386450651e-07
1821,1.85395975904612e-07,6.114122896860863e-08
1822,1.6542266223495972e-07,6.717162648328667e-08
1823,2.174191138237802e-07,3.755420863171821e-08
1824,3.0147583629513974e-07,8.084268188213173e-08
1825,4.966269671058399e-07,1.1094858365368054e-07
1826,3.5320016422701883e-07,1.35642963527971e-07
1827,2.1844937236892292e-07,1.6222401200138847e-07
1828,2.1004569816795993e-07,3.274511470863217e-07
1829,2.280464883597233e-07,3.6864655328372464e-08
1830,1.3672254794983019e-07,4.4878394334091354e-08
1831,1.886535869743966e-07,5.456922025359745e-08
1832,1.3800568865462992e-07,4.7354891563600177e-08
1833,1.7259606011066353e-07,4.6334513115198206e-08
1834,2.735017687882646e-07,1.23215812664057e-07
1835,3.5622144878288964e-07,7.260564416355919e-08
1836,2.4665152409397706e-07,1.3911952123635274e-07
1837,2.5952934379347425e-07,1.5376939188627148e-07
1838,3.118207985153276e-07,1.1993107307262107e-07
1839,2.391084592545667e-07,3.635567225046543e-08
1840,2.4332211978617124e-07,7.325142092895476e-08
1841,2.41412635659799e-07,8.089891423423978e-08
1842,2.5826821570262837e-07,4.8299508392801727e-08
1843,1.9610945400927449e-07,5.9069112268161916e-08
1844,1.5532629049630486e-07,2.9089374464774664e-08
1845,2.2209307815046486e-07,5.5802278353667134e-08
1846,2.2364194762758416e-07,2.517435504501009e-08
1847,1.9847063015276944e-07,4.907833428546837e-08
1848,1.995214944372492e-07,2.815827571112095e-08
1849,2.639515628288791e-07,2.513824526317876e-08
1850,2.3014696637346788e-07,3.2587180953669304e-08
1851,1.6252585055553936e-07,5.546517201082679e-08
1852,1.7969105670090357e-07,3.841221740685796e-08
1853,1.964765630191323e-07,3.642878354526147e-08
