year,avaient_VERB en_PRON,avaient_VERB tant_ADV
1800,1.2576657937302116e-08,4.2131804889322666e-07
1801,2.6193008650921e-08,2.6669243879950955e-07
1802,2.0140561218795483e-08,3.088219386881974e-07
1803,9.751696339321825e-09,2.7109715006190527e-07
1804,7.4155526164076946e-09,2.9909395493632474e-07
1805,2.842877711017877e-09,2.2743022043414385e-07
1806,1.152667650217154e-08,2.939302419235901e-07
1807,2.8469551160981155e-09,8.711682539797039e-07
1808,1.3596443970698147e-08,3.4444323659954534e-07
1809,2.0331274441787173e-08,4.224387168960675e-07
1810,1.4040760554223652e-08,2.69114565298878e-07
1811,1.504245972228091e-08,3.158916683787538e-07
1812,8.00162425207418e-09,3.6007310200147913e-07
1813,3.4508900625951355e-08,5.521424100152217e-07
1814,1.2586708564299443e-08,4.940283133691992e-07
1815,1.0788894222457657e-08,8.685059924573579e-07
1816,1.1588019432906549e-08,4.449799462236115e-07
1817,1.2454987263765815e-08,6.69455573643063e-07
1818,3.337929754820834e-08,6.12748522144102e-07
1819,1.2421260464634543e-08,5.931151463300921e-07
1820,2.4919611263385377e-08,7.974275604283321e-07
1821,3.648750634965836e-08,6.903042049088981e-07
1822,3.308453244699194e-08,6.777316343686834e-07
1823,4.0519015698237126e-08,7.649199460502132e-07
1824,2.863178316658832e-08,6.778995498279983e-07
1825,1.4088708866211164e-08,7.889676680861157e-07
1826,3.082794464148719e-08,6.491484327852959e-07
1827,3.2260455640198415e-08,5.797664925921708e-07
1828,3.66892045633449e-08,7.447908387803182e-07
1829,4.9724420136953995e-08,1.019350634123839e-06
1830,1.7742621594152297e-08,7.504085033360752e-07
1831,2.0268567268999504e-08,8.060653726715827e-07
1832,1.488296597074168e-08,7.1438239501731e-07
1833,5.09679658478035e-08,8.027454327930172e-07
1834,2.333632664885954e-08,7.579639031973784e-07
1835,2.3445572594482655e-08,7.525272280872741e-07
1836,2.2850549896702432e-08,8.340450676769251e-07
1837,2.0873672568200163e-08,8.279890266749135e-07
1838,4.039783618736692e-08,8.035382279558689e-07
1839,5.5931799636255164e-08,7.886383741606551e-07
1840,4.7772665823231364e-08,1.0019520004789229e-06
1841,2.632424944692957e-08,8.115573564282386e-07
1842,5.769107858100142e-08,9.519027912574529e-07
1843,4.371114314949409e-08,7.194617523964553e-07
1844,5.1043620885593555e-08,1.0225189726043027e-06
1845,5.859239493588575e-08,9.916064982462558e-07
1846,3.6297908678761814e-08,7.921140081634803e-07
1847,3.020205241455187e-08,7.933431902529264e-07
1848,6.194820656446609e-08,6.106323553467519e-07
1849,4.524883934209356e-08,7.323608883780253e-07
1850,6.11009625117731e-08,9.08367667307175e-07
1851,6.965393595237401e-08,7.687730771976931e-07
1852,7.161600024119252e-08,7.382958528978634e-07
1853,7.285756709052293e-08,8.360704555343546e-07
1854,3.273268589509826e-08,8.105236588562548e-07
1855,5.1477289986223695e-08,7.689752123951621e-07
1856,4.659470320689252e-08,8.423286885772541e-07
1857,5.27202992373077e-08,7.497998240069137e-07
1858,3.52344677878591e-08,7.521580300817732e-07
1859,4.277425702525761e-08,8.453008035758103e-07
1860,5.813023662426531e-08,9.950797448254889e-07
1861,5.2818794671338765e-08,8.922603456085199e-07
1862,4.292087041335435e-08,7.350763553404249e-07
1863,4.7948361725502764e-08,7.531888286393951e-07
1864,3.8837296045812764e-08,8.208574513446365e-07
1865,5.318734253023649e-08,7.96398069269344e-07
1866,5.6441109563820646e-08,7.721727683929203e-07
1867,3.8337212515671126e-08,7.055987794046814e-07
1868,5.9278487896108345e-08,6.792326985305408e-07
1869,2.783605879130846e-08,8.25314714347769e-07
1870,9.23181886491875e-08,7.442795322276652e-07
1871,6.797553453452565e-08,6.574508688572678e-07
1872,7.317280648067026e-08,6.76092554385832e-07
1873,6.644464889404844e-08,6.327206847345224e-07
1874,7.05003913026303e-08,5.926812036705087e-07
1875,5.8359578503086595e-08,6.74568070735404e-07
1876,4.5949711591219966e-08,5.646977569995215e-07
1877,5.690030846494665e-08,6.209555181158066e-07
1878,6.884560832531861e-08,6.437668389480677e-07
1879,5.376206146934237e-08,6.066559876671818e-07
1880,6.161132404258751e-08,5.724718903366011e-07
1881,8.018383823582553e-08,6.463514523602498e-07
1882,7.187816208897857e-08,5.264409423944016e-07
1883,5.371438049905919e-08,4.967000677424949e-07
1884,7.063815843366683e-08,5.492611876434239e-07
1885,7.283568237426152e-08,5.472344923873607e-07
1886,6.001721430948237e-08,5.750036393692426e-07
1887,5.549586035158427e-08,4.296032329875743e-07
1888,5.960177773545183e-08,4.850570007874921e-07
1889,6.954302023132186e-08,5.143677412888792e-07
1890,5.964491833765351e-08,4.778147513206932e-07
1891,5.991766727220238e-08,4.468328143047984e-07
1892,5.202865338560514e-08,4.7264583713513275e-07
1893,5.850495554682311e-08,4.471010299766931e-07
1894,5.797416235964192e-08,4.392173025280499e-07
1895,5.1760085995056215e-08,4.074601918091503e-07
1896,6.132910357337096e-08,4.369698558548407e-07
1897,3.96216535136773e-08,4.1602734768275695e-07
1898,6.337357660868292e-08,4.832235163121368e-07
1899,5.3617512207893014e-08,4.65422090201173e-07
1900,5.7620688664883346e-08,4.3552935835577955e-07
1901,6.315274703183604e-08,4.0294807490681706e-07
1902,4.959386856739911e-08,3.761277298508503e-07
1903,5.238213773850475e-08,3.4183395314357767e-07
1904,4.944655174199397e-08,3.9288511288759764e-07
1905,6.5541641447453e-08,3.880890915297641e-07
1906,5.864370322683499e-08,3.796408236667048e-07
1907,5.297128780057392e-08,4.196560325908649e-07
1908,4.174680867663483e-08,4.209060477933235e-07
1909,5.0609049395689e-08,3.867191367135092e-07
1910,5.878565900729882e-08,4.350138738118403e-07
1911,6.171634225893285e-08,4.144571335018554e-07
1912,5.1052328586820295e-08,4.3446573272376554e-07
1913,5.090870303092743e-08,3.6908807032887125e-07
1914,4.68772043404897e-08,4.071620196555159e-07
1915,6.715034572835066e-08,3.9818974073568825e-07
1916,8.130722051191697e-08,4.076348432136001e-07
1917,6.031533672512523e-08,3.673752075883385e-07
1918,8.040463228553563e-08,3.618208666011924e-07
1919,4.880159565345821e-08,5.165603056411783e-07
