year,quand_CONJ elle_PRON,quand_CONJ telle_DET
1800,3.203589290023956e-05,3.144164484325529e-09
1801,3.234122232242953e-05,4.7623651688866175e-09
1802,3.0076570737946895e-05,4.475680270843441e-09
1803,3.068273599637905e-05,0.0
1804,3.09154399928957e-05,1.2359254952798437e-08
1805,3.0660436323159956e-05,1.1371510844071508e-08
1806,2.841902028194454e-05,0.0
1807,2.6712980115917162e-05,8.540865348294346e-09
1808,2.690056476239988e-05,2.2660740395252787e-08
1809,2.4295873117807787e-05,1.581321384946932e-08
1810,2.756669391601463e-05,1.8721014072298203e-08
1811,2.2162558025229373e-05,0.0
1812,2.469568130436528e-05,2.1337665856435706e-08
1813,2.572926086941152e-05,2.0130190847567064e-08
1814,2.3902158773125848e-05,0.0
1815,2.3991804255274474e-05,5.394447111228828e-09
1816,2.954713158942468e-05,4.6352077731626196e-09
1817,3.0198672675396665e-05,3.113746771532533e-08
1818,2.788244250950811e-05,1.4305412410209328e-08
1819,2.513338426979317e-05,6.210630232317271e-09
1820,3.0678414077556226e-05,1.1866481131050932e-09
1821,2.943752906503505e-05,4.7335142028259725e-08
1822,2.7221552954870276e-05,6.015369535816717e-09
1823,2.6616051627570414e-05,1.087095569118901e-08
1824,2.734756367317459e-05,3.8737120178211626e-08
1825,2.874272763619956e-05,1.8491430608946757e-08
1826,2.525601348679629e-05,2.1139161976435616e-08
1827,2.5394508611498168e-05,8.295545583791863e-09
1828,2.6548309051577235e-05,8.255071071161524e-09
1829,2.535173939577362e-05,1.3717081526198882e-08
1830,2.61411430528824e-05,6.262101504006523e-09
1831,2.6921335120277945e-05,1.2472964883158966e-08
1832,2.97172239243082e-05,6.764984683549358e-09
1833,2.6491757580515696e-05,1.2741991461950875e-08
1834,2.9610998808493605e-05,1.4935249925684957e-08
1835,2.8220150397828547e-05,1.0588323107185715e-08
1836,2.9319272925931728e-05,2.9571299631214742e-08
1837,2.8303309136390453e-05,3.409366378104295e-08
1838,2.797487104544416e-05,3.029837714052519e-08
1839,2.7149295647177496e-05,1.3283802724473048e-08
1840,2.6994740210284363e-05,1.3376346252869098e-08
1841,2.692007547011599e-05,8.346713542550788e-09
1842,2.806402585520118e-05,2.3478928579123703e-08
1843,2.7667972062772606e-05,1.7130041385371442e-08
1844,2.985063724736392e-05,3.841992946007622e-09
1845,2.8107049729442224e-05,1.7856729261911397e-08
1846,2.7789561045210576e-05,1.2294452789163302e-08
1847,2.4797503328954917e-05,1.887628364727334e-08
1848,2.5578978693374665e-05,1.1263310673026439e-08
1849,2.643789252942952e-05,2.011059585527164e-08
1850,2.6872203534367145e-05,1.5614691761811628e-08
1851,2.621438829919498e-05,1.289887774369447e-08
1852,2.7828024485643255e-05,8.463708844885787e-09
1853,2.8648551506194053e-05,1.7915795513800958e-09
1854,2.8712800030916696e-05,1.8184825201217336e-08
1855,3.0025588785065338e-05,5.837630823180007e-09
1856,3.0083610909059644e-05,6.212626857404757e-09
1857,3.056849845961551e-05,2.7336450492132514e-08
1858,3.0465091185760684e-05,7.34051397444091e-09
1859,3.24626057590649e-05,1.0693563812225193e-08
1860,2.9514597827073885e-05,2.197048232233101e-08
1861,3.129513447674981e-05,1.6034277017240584e-08
1862,3.0009819511178648e-05,2.4397126541231273e-08
1863,2.9363875910348725e-05,5.494082799817335e-09
1864,3.0159317702782573e-05,2.1096802860220976e-08
1865,3.030972493434092e-05,1.9298061815220535e-08
1866,2.8888117867609253e-05,2.0435575009969398e-08
1867,2.9344466611291864e-05,9.7056229719783e-09
1868,2.8473434667830588e-05,1.6795571933236886e-08
1869,3.0934652386349626e-05,1.4650557544904075e-08
1870,2.782619139907183e-05,1.777555036497347e-08
1871,2.6702701006797724e-05,1.911811864374613e-08
1872,2.6650018753571203e-05,7.861541084785983e-09
1873,2.7294385517961928e-05,1.3169209722718733e-08
1874,2.704167832234816e-05,7.766991660940192e-09
1875,2.6872869057115167e-05,1.2015206607429718e-08
1876,2.6945877834805287e-05,1.3905834261862537e-08
1877,2.6274953597749118e-05,2.040989288687456e-08
1878,2.507489921299566e-05,6.039088784604019e-09
1879,2.7109519578516483e-05,1.160771800901017e-08
1880,2.5032809617187013e-05,3.2089231272180996e-09
1881,2.6169911961915204e-05,2.091752326904839e-09
1882,2.6226876570945024e-05,2.7287078374627072e-08
1883,2.4848272687449935e-05,1.7694148812807953e-08
1884,2.5513577838864876e-05,1.3203393933736152e-08
1885,2.478089072610601e-05,1.5469526104539e-08
1886,2.3915891915748944e-05,3.2267319927115068e-09
1887,2.6602102479955647e-05,1.9586773536417468e-08
1888,2.4342888082173886e-05,1.902184432189813e-08
1889,2.4076921135929297e-05,5.6386231239713425e-09
1890,2.4822772957122652e-05,6.554386478008212e-09
1891,2.5102315476033255e-05,7.649063937797962e-09
1892,2.3645455030418816e-05,1.5671280495510587e-08
1893,2.4241991468443302e-05,1.2932674986476655e-08
1894,2.37801195908105e-05,2.457600345451283e-08
1895,2.362246027587389e-05,2.347259586699124e-08
1896,2.2894034827913856e-05,7.076434771491336e-09
1897,2.3007944491837407e-05,2.0976168357833558e-08
1898,2.367002957726072e-05,1.7540900287826844e-08
1899,2.3331908323598327e-05,4.4220627160029835e-09
1900,2.329225571884308e-05,1.5054054558483188e-08
1901,2.2633833623331157e-05,1.3971846901661422e-08
1902,2.2229836758924648e-05,1.1293652679711386e-08
1903,2.2408214363167644e-05,8.640352433531007e-09
1904,2.1919333903497318e-05,4.837162670412454e-09
1905,2.1280905912135495e-05,5.160759042333041e-09
1906,2.3118994477044907e-05,1.0802787553387816e-08
1907,2.2355425699061016e-05,1.2857108711017418e-08
1908,2.2945026557863457e-05,1.0313916831705683e-08
1909,2.3354426275545848e-05,6.051082024338683e-09
1910,2.4491707790730288e-05,1.2825961404061559e-08
1911,2.2146590026750346e-05,1.8089272302290738e-08
1912,2.2254647092267987e-05,1.1460727034062757e-08
1913,2.2495813254863606e-05,1.484837142129436e-08
1914,2.1628474087265204e-05,9.37544131218715e-09
1915,1.9358147710590856e-05,7.068456930880984e-09
1916,2.1237666260276455e-05,3.2962386153911893e-09
1917,2.1759579112767824e-05,1.3159709433274713e-08
1918,2.1780466340715066e-05,9.189101035644853e-09
1919,2.2591455717702047e-05,6.445493971884986e-09
1920,2.3282340180230676e-05,1.9687802943479937e-08
1921,2.379963075327396e-05,1.514549452519276e-08
1922,2.352749834244605e-05,1.9182631816327955e-08
1923,2.4667216621310217e-05,2.7601465113491486e-08
1924,2.3857240194047336e-05,9.024137215263295e-09
1925,2.446104781483882e-05,8.798542339150117e-09
1926,2.3783629785611993e-05,7.802296586589819e-09
1927,2.8303422823228175e-05,2.5643217771431637e-08
1928,2.3729601707600523e-05,1.7139061614379614e-08
1929,2.3123027403926244e-05,1.0026365959703298e-08
1930,2.1739307840107358e-05,1.7856125467119455e-08
1931,2.0439540321604e-05,6.843213995466613e-09
1932,2.0505293150563375e-05,1.0959536833610173e-08
1933,2.0134452597631025e-05,1.9500125514326783e-08
1934,1.9320298633829225e-05,9.585264137967897e-09
1935,1.9924799062209786e-05,1.6755597798123745e-08
1936,1.9285571170257754e-05,6.0623572828433225e-09
1937,1.8503907085687388e-05,1.510934177773038e-08
1938,1.9503571138557163e-05,1.6854778905894818e-08
1939,1.931485553541279e-05,6.117620188206274e-09
1940,1.5983039475031546e-05,3.29651772545958e-08
1941,2.047752559519722e-05,2.9515025978810172e-09
1942,1.9852847799484152e-05,9.102635312174812e-09
1943,2.0807486635021633e-05,2.322588166236983e-08
1944,1.9610074787124177e-05,3.213186161588055e-08
1945,2.0976815449103015e-05,1.5249528306782167e-08
1946,2.1817154902237235e-05,1.3921104269343232e-08
1947,2.284038873767713e-05,7.152522574216391e-09
