year,dont_PRON elles_PRON,dont_PRON telles_ADJ
1800,1.9984308892162517e-05,3.144164484325529e-09
1801,1.8968499716720544e-05,0.0
1802,1.7591661162441596e-05,2.2378401354217203e-09
1803,2.1763835320598446e-05,3.900678446910888e-09
1804,1.6764093743404374e-05,1.4831105232815389e-08
1805,1.8103444745065644e-05,3.1271653710973624e-08
1806,1.507689285062952e-05,2.0171682990621775e-08
1807,1.61336938617751e-05,0.0
1808,1.6111785953398794e-05,2.2660739951163578e-09
1809,1.7819233107729815e-05,0.0
1810,1.67459475051146e-05,2.3401267590372754e-09
1811,1.2675780453719199e-05,1.504245972228091e-08
1812,1.6939438864937983e-05,2.6672082320544632e-09
1813,1.5681418517488055e-05,2.8757416448144113e-09
1814,1.43394081533188e-05,0.0
1815,1.7669512089923956e-05,0.0
1816,1.9043751308345236e-05,4.6352077731626196e-09
1817,1.7472790204919875e-05,0.0
1818,1.5440309653058648e-05,2.741870730460505e-08
1819,1.5548312148894183e-05,1.035105001712111e-09
1820,1.4454561096499674e-05,0.0
1821,1.4307047422335017e-05,1.97229765852569e-09
1822,1.4135115634417161e-05,1.804610860745015e-08
1823,1.3246753951534629e-05,9.882686891060644e-10
1824,1.346620138065191e-05,9.263223965660927e-09
1825,1.3312949704413768e-05,3.258013947515792e-08
1826,1.4479445781034883e-05,3.5231937367541377e-09
1827,1.4527344319503754e-05,3.6869092223668076e-09
1828,1.5436065950780176e-05,7.337841001486822e-09
1829,1.3662212950293906e-05,2.5719527840806222e-08
1830,1.4427881978917867e-05,2.0873671680021744e-09
1831,1.2488556421885733e-05,0.0
1832,1.3732918887399137e-05,6.764984572527055e-09
1833,1.4523553545586765e-05,0.0
1834,1.4764427760383114e-05,1.8669061851994684e-09
1835,1.3633978596772067e-05,1.1344631900556124e-08
1836,1.2863515621575061e-05,3.36037508930076e-09
1837,1.3965878679300658e-05,2.0873671680021744e-09
1838,1.2749304914905224e-05,1.3255539776935166e-08
1839,1.2957300896232482e-05,1.3982950353153e-09
1840,1.2380126463540364e-05,8.280594876453051e-09
1841,1.4152815310808364e-05,7.704658244733764e-09
1842,1.334206808678573e-05,7.379091560011375e-09
1843,1.3650871551362798e-05,4.134837805480629e-09
1844,1.4318009561975487e-05,0.0
1845,1.350861566606909e-05,3.348136878855712e-09
1846,1.3426712939690333e-05,5.854501328173001e-10
1847,1.2352100384305231e-05,1.0786447290911383e-09
1848,1.3711471183341928e-05,4.82713291560799e-09
1849,1.26872719192761e-05,8.379414939696517e-10
1850,1.1901110156031791e-05,1.0183494048021657e-08
1851,1.2092053111700807e-05,0.0
1852,1.4083611858950462e-05,1.1067927019325907e-08
1853,1.2553598025988322e-05,1.7915795513800958e-09
1854,1.2517394679889549e-05,6.234797567117312e-09
1855,1.1814303434221074e-05,0.0
1856,1.229478857567301e-05,5.177189232874468e-10
1857,1.196018547489075e-05,0.0
1858,1.1571586583158933e-05,1.2723557318849998e-08
1859,1.2487027561292052e-05,5.092173349652285e-10
1860,1.2160662663518451e-05,4.577183909670879e-10
1861,1.162013450084487e-05,1.4147891747029462e-09
1862,1.1357765288266819e-05,1.3553959066214816e-09
1863,1.1042607184208464e-05,3.995696662428827e-09
1864,1.1532759344845545e-05,7.671564716815737e-09
1865,1.1464931048976723e-05,1.4120533631256649e-09
1866,1.087367218133295e-05,2.919367858567057e-09
1867,1.128133044403512e-05,7.76449837758264e-09
1868,1.1850263945234474e-05,4.93987406535723e-10
1869,1.1399110007914715e-05,1.953407657850903e-09
1870,1.1476125109766144e-05,9.17447806614291e-09
1871,1.0758190910564736e-05,1.4869648623516696e-08
