year,tout_ADV au_ADP,tout_ADV tôt_ADV
1800,5.345079490126636e-08,0.0
1801,1.1191557902634486e-07,0.0
1802,6.042168365638645e-08,0.0
1803,1.287223887480593e-07,0.0
1804,6.179627476399219e-08,0.0
1805,6.822906506442905e-08,2.842877711017877e-09
1806,8.068673729155762e-08,0.0
1807,7.402083213037258e-08,0.0
1808,6.571614363792833e-08,0.0
1809,7.228897835886983e-08,0.0
1810,7.254392997424475e-08,0.0
1811,5.515568979319596e-08,0.0
1812,1.2269157600997005e-07,0.0
1813,2.2143210998137874e-07,0.0
1814,7.237357380063258e-08,0.0
1815,2.966945888971395e-08,2.697223555614414e-09
1816,8.343373814057031e-08,0.0
1817,6.85024303948012e-08,0.0
1818,3.337929666002992e-08,0.0
1819,9.729986949480462e-08,0.0
1820,6.407899721949661e-08,0.0
1821,6.409967312492881e-08,0.0
1822,9.825103575167304e-08,0.0
1823,6.522573503531248e-08,0.0
1824,1.0694812857536817e-07,0.0
1825,7.220463604795668e-08,0.0
1826,6.165589194750964e-08,0.0
1827,7.926854794781946e-08,0.0
1828,7.337840646215454e-08,0.0
1829,1.0373543024577714e-07,0.0
1830,1.356788690287658e-07,1.0436835840010872e-09
1831,8.886987679090907e-08,0.0
1832,1.6641862132793506e-07,0.0
1833,1.0309429132604464e-07,0.0
1834,1.120143711119681e-07,0.0
1835,9.529490796467144e-08,0.0
1836,7.191202922030016e-08,6.720750067579218e-10
1837,1.2385045611296164e-07,6.957890930081589e-10
1838,1.0478188849916137e-07,0.0
1839,9.368576492363445e-08,0.0
1840,1.3694830869326324e-07,0.0
1841,1.2776891367138887e-07,0.0
1842,1.0800306959879435e-07,0.0
1843,1.5239830730706672e-07,5.906911071384968e-10
1844,1.3831174339173913e-07,0.0
1845,1.272291987319818e-07,5.580227946389016e-10
1846,1.2294452567118697e-07,0.0
1847,1.5963942523455898e-07,0.0
1848,2.059576766910709e-07,0.0
1849,1.0977033859660423e-07,0.0
1850,1.4053221075727151e-07,0.0
1851,1.3801799214618882e-07,0.0
