year,petit_ADJ an_NOUN,petit_ADJ temps_NOUN
1800,0.0,3.144164439916608e-08
1801,7.143547975374531e-09,0.0
1802,8.951360541686881e-09,4.4756802708434407e-08
1803,0.0,6.046051481689574e-08
1804,2.4718509461507665e-09,3.9549615138412264e-08
1805,2.842877711017877e-09,2.842877755426798e-08
1806,0.0,4.3225035994964855e-08
1807,0.0,2.8469551160981155e-09
1808,2.2660739951163578e-09,1.8128591960930862e-08
1809,2.259030518203531e-09,2.25903047379461e-08
1810,7.020380277111826e-09,1.5210824244604737e-07
1811,7.521229861140455e-09,2.2563690915688994e-08
1812,5.3344164641089264e-09,1.8670457180292033e-08
1813,5.751483289628823e-09,4.601186631703058e-08
1814,0.0,1.5733386149463513e-08
1815,8.091670444798638e-09,7.282503844407984e-08
1816,2.3176038865813098e-09,0.0
1817,6.227493631882908e-09,7.940054302935096e-08
1818,2.384235475716423e-09,1.3232507178884134e-07
1819,4.140420006848444e-09,2.794783426907088e-08
1820,0.0,4.2719332071783356e-08
1821,9.86148829262845e-10,6.903041693817613e-09
1822,3.0076847679083585e-09,2.7069162911175226e-08
1823,1.9765373782121287e-09,4.941343334508019e-09
1824,8.421112696055388e-10,2.5263338088166165e-08
1825,8.805443041381977e-10,5.0191026446100295e-08
1826,0.0,7.222546916096917e-08
1827,9.217273055917019e-10,1.308852830561591e-07
1828,1.8344602503717056e-09,7.704732968294437e-08
1829,2.571952872898464e-09,1.4060008179939132e-07
1830,3.1310507520032616e-09,5.531523128432525e-08
1831,0.0,5.6128342862393765e-08
1832,0.0,1.8941957335982806e-08
1833,2.3167257001688313e-09,4.170106304712817e-08
1834,0.0,3.267085935121372e-08
1835,3.025235173481633e-09,1.202530981458949e-07
1836,1.3441500135158435e-09,8.26652244434456e-08
1837,5.566312633042969e-09,1.0436836106464398e-07
1838,1.0099459268886335e-08,4.8603647551104245e-08
1839,3.4957376993105527e-09,2.670743413091259e-07
1840,6.369688665408546e-10,2.930056774985701e-08
1841,0.0,3.78812359258518e-08
1842,1.341653010911159e-09,2.95163662400455e-08
1843,4.134837805480629e-09,4.902736350231862e-08
1844,1.6465684371524958e-09,1.6904768523895441e-07
1845,3.9061593959388574e-09,9.87700374821543e-08
1846,2.9272506640865004e-09,5.913046408068112e-08
1847,2.6966118227278457e-09,1.294373674909366e-08
1848,8.045221711050488e-10,2.494018680465615e-08
1849,0.0,3.1841775438579134e-08
1850,2.0366988096043315e-09,4.3449574604892405e-08
1851,6.449438760824933e-10,2.96674187438839e-08
1852,0.0,4.948014620254071e-08
1853,4.777545470346922e-09,7.823230419035099e-08
1854,1.0391328908454511e-09,5.0917510208137173e-08
1855,5.306937111981824e-10,7.111295730055645e-08
1856,2.0708756931497874e-09,5.539592606851329e-08
1857,1.4644527812635033e-09,2.5383847912507917e-08
1858,9.787352039936081e-10,4.991549573674092e-08
1859,5.092173349652285e-10,3.360834455179429e-08
1860,2.288591982591015e-09,4.989130530930197e-08
1861,1.4147891747029462e-09,3.1125360067107977e-08
1862,1.8071945051545413e-09,5.557123117228002e-08
1863,1.4983862484108101e-09,3.995696573610985e-08
1864,3.356309563606885e-09,5.945462500100973e-08
1865,4.706844358715045e-10,3.718406915709238e-08
1866,0.0,3.405928988842177e-08
