year,eût_VERB en_PRON,eût_VERB tant_ADV
1800,1.2576657937302116e-08,1.131899196593622e-07
1801,2.3811825844433088e-09,1.6668278135512082e-07
1802,6.713520406265161e-09,8.280008501060365e-08
1803,1.1702034896643454e-08,9.55666195068261e-08
1804,2.4718509461507665e-09,1.1123329102247226e-07
1805,5.685755422035754e-09,1.1655798459742073e-07
1806,8.645007376628655e-09,1.8442682403474464e-07
1807,5.693910232196231e-09,1.2811298688575334e-07
1808,9.064295980465431e-09,9.517511045942229e-08
1809,1.8072244145628247e-08,8.810219043198231e-08
1810,2.3401266702194334e-08,2.574139443822787e-07
1811,0.0,1.3287507272252697e-07
1812,0.0,1.2802598803318688e-07
1813,2.8757416448144113e-09,6.901780125190271e-08
1814,0.0,1.3845379953636439e-07
1815,1.6183340889597275e-08,7.552225866902518e-08
1816,2.3176038865813098e-09,1.969963250303408e-07
1817,1.401186100480345e-08,1.401186011662503e-07
1818,8.344824387052086e-09,1.7166495069886878e-07
1819,3.1053151161586356e-09,1.614763789348217e-07
1820,2.3732962262101864e-09,1.4477106446975085e-07
1821,4.930744257336528e-09,1.9131287842810707e-07
1822,2.0051231786055723e-09,1.8447133243171265e-07
1823,8.894418535021487e-09,2.6584427814668743e-07
1824,7.57900142644985e-09,1.8526448286593222e-07
1825,1.584979791857677e-08,1.8051157724130462e-07
1826,1.7615968683770689e-09,1.5678212150760373e-07
1827,3.6869092223668076e-09,1.44711179927981e-07
1828,2.7516904310687096e-09,2.036250918990845e-07
1829,1.0287811491593857e-08,2.1947330708371737e-07
1830,8.349468672008697e-09,1.889067249294385e-07
1831,7.795603274018958e-09,1.4032085005055706e-07
1832,5.411987746839486e-09,1.2312271735481772e-07
1833,4.6334514003376626e-09,1.2278646011054661e-07
1834,1.4001796166951408e-08,1.456186851100938e-07
1835,4.5378527602224494e-09,1.3159773004645103e-07
1836,2.016224964762614e-09,1.5995385638234438e-07
1837,6.262101948095733e-09,1.468115016223237e-07
1838,1.009945904684173e-08,1.2750567179864447e-07
1839,3.4957374772659477e-09,1.4752012589269725e-07
1840,3.1848443882154243e-09,1.6879674546999013e-07
1841,5.778493683550323e-09,1.2199042487281986e-07
1842,7.379091560011375e-09,9.794067068469303e-08
1843,4.134837805480629e-09,1.2699858586984192e-07
1844,2.195424508855126e-09,1.3117661978867545e-07
1845,8.37034175305007e-09,1.0323421406610578e-07
1846,5.854501328173001e-09,1.0186832355429942e-07
1847,4.314578916364553e-09,8.683090158001505e-08
1848,7.24069959545659e-09,9.49336182998195e-08
1849,7.54147322368226e-09,9.971503800443315e-08
1850,4.752297222410107e-09,8.757805147752151e-08
1851,9.674158363282004e-09,9.803147094089582e-08
1852,1.4323200403509873e-08,1.0026239749549859e-07
1853,5.971931837933653e-09,1.409375869343421e-07
1854,1.2989160858012383e-08,1.272937737439861e-07
1855,5.837630823180007e-09,1.2683580052907928e-07
1856,5.694908100650764e-09,1.252879826552089e-07
1857,1.3668225662399891e-08,1.6401870084337133e-07
1858,1.0276719919488642e-08,1.7127865703514544e-07
1859,7.129042689513199e-09,1.37997901106246e-07
1860,4.57718396518203e-09,1.3319605329797923e-07
1861,1.0846716413936974e-08,1.4006411674927222e-07
1862,9.487771457372673e-09,1.4728635733263218e-07
1863,4.495158911765884e-09,1.783079568440371e-07
1864,7.671564716815737e-09,1.46718676319324e-07
1865,9.413688495385486e-09,1.2708480312539905e-07
1866,6.3252967308358166e-09,1.2893873702068959e-07
1867,7.76449837758264e-09,1.4412850646294828e-07
1868,9.385760613156435e-09,1.4967818628974783e-07
1869,7.325278605918584e-09,1.3380842744936672e-07
1870,8.027668307875047e-09,1.3360333639411692e-07
1871,5.3105884134652115e-09,8.496941461544338e-08
1872,1.5118347462816928e-08,1.1610891448299299e-07
1873,1.1972009161809183e-08,1.0295927665993077e-07
1874,7.766991494406739e-09,1.410007826052606e-07
1875,5.721527251978387e-09,1.172913073332893e-07
1876,6.650616057868319e-09,9.492243435715864e-08
1877,6.184816214727107e-09,9.277223966819292e-08
1878,4.22736201599605e-09,1.0024886876180972e-07
1879,7.94212251520321e-09,1.4906753165178088e-07
1880,1.0268554007097919e-08,8.728270728397547e-08
1881,6.9725074602899895e-09,6.83305714233029e-08
1882,6.655385131892899e-09,9.983077831066112e-08
1883,1.2006744043446815e-08,8.657494277031219e-08
1884,1.9144920315739e-08,8.186104594187782e-08
1885,8.379326565943757e-09,5.994441210077639e-08
1886,2.1296431285122708e-08,7.227879450510954e-08
1887,8.48760173255414e-09,5.876032105334161e-08
1888,8.876860135842435e-09,1.1032669533506123e-07
1889,6.891650361495749e-09,6.766347837583453e-08
1890,1.2453334363726754e-08,8.32407067719032e-08
1891,3.824531802365527e-09,8.541454832311501e-08
1892,7.522214851007902e-09,8.399806716852254e-08
1893,4.310891643655168e-09,7.574852389780062e-08
1894,8.192000855444803e-09,7.372801036353849e-08
1895,9.027921521465032e-09,7.884384700673763e-08
1896,1.2973464080801023e-08,1.0319800480829144e-07
1897,2.330685422435863e-09,7.982597338695996e-08
1898,6.7900258748920805e-09,8.374365023655628e-08
1899,9.39688327150634e-09,7.517506617205072e-08
1900,7.786579381274805e-09,7.68275896234627e-08
1901,3.353243460679778e-09,8.606657786458527e-08
1902,2.9461704187383475e-09,5.4995179965544594e-08
1903,3.7801539676252105e-09,9.396383404691733e-08
1904,4.837162670412454e-09,8.22317645088333e-08
1905,8.773290538499623e-09,8.412037288962892e-08
1906,7.716276506641861e-09,1.12143219155314e-07
1907,6.1714118260169926e-09,7.714265137792609e-08
