year,dont_PRON elle_PRON,dont_PRON telle_DET
1800,5.410792800830677e-05,4.087413785214267e-08
1801,5.649117520079017e-05,2.3811825400343878e-08
1802,5.1978313422296196e-05,6.713520406265161e-09
1803,5.473431883729063e-05,9.751696339321825e-09
1804,5.4487009037984535e-05,4.2021465418429216e-08
1805,5.591656008618884e-05,7.675770063997334e-08
1806,5.293626236380078e-05,7.492339904047185e-08
1807,5.250069807516411e-05,1.1387820464392462e-08
1808,5.288563625072129e-05,2.039466551195801e-08
1809,5.3848511015530676e-05,1.581321384946932e-08
1810,5.713887367164716e-05,2.3401266702194334e-08
1811,4.529034049483016e-05,1.0028307073639553e-08
1812,5.10290265083313e-05,8.00162425207418e-09
1813,5.468510425998829e-05,3.163315653864629e-08
1814,5.0274462410015985e-05,3.1466771410748606e-09
1815,5.701930422219448e-05,3.236668177919455e-08
1816,5.1712697313632816e-05,3.7081662185300956e-08
1817,5.4400272347265854e-05,5.1376822796100896e-08
1818,5.327455073711462e-05,1.668964877410417e-08
1819,4.967158383806236e-05,4.864993385922389e-08
1820,5.381093069445342e-05,2.610625848831205e-08
1821,5.210810559219681e-05,2.6626018723163725e-08
1822,4.999774682801217e-05,2.606660132187244e-08
1823,4.843010538024828e-05,2.4706716672540097e-08
1824,4.889718911726959e-05,2.6947560627377243e-08
1825,4.854528742725961e-05,5.2832657360113444e-08
1826,4.8075740778585896e-05,2.025836387531399e-08
1827,4.842571070184931e-05,3.7790819362726324e-08
1828,4.999362863600254e-05,1.834460228167245e-08
1829,5.001248064218089e-05,3.600733933240008e-08
1830,5.001331737730652e-05,1.8786305178153384e-08
1831,4.453783913049847e-05,9.354723218280014e-09
1832,4.7501016524620354e-05,5.411987746839486e-09
1833,4.870104748988524e-05,1.7375443306377747e-08
1834,4.6839741116855294e-05,3.173740381612333e-08
1835,4.389162495499477e-05,3.403389570166837e-08
1836,4.425210499903187e-05,1.0753200108126748e-08
1837,4.486517718760297e-05,2.99189295560609e-08
1838,4.4645919842878357e-05,1.5780404538645598e-08
1839,4.420639743329957e-05,1.3982949909063791e-08
1840,4.5789143769070506e-05,1.8472096741106725e-08
1841,4.66151068394538e-05,3.467096121312352e-08
1842,4.5815439079888165e-05,1.8783142152756227e-08
1843,4.3865311454283074e-05,1.8902115428431898e-08
1844,4.674003866966814e-05,1.756339607084101e-08
1845,4.6723806008230895e-05,1.6182660544927785e-08
1846,4.484138116822578e-05,2.1661654692195498e-08
1847,4.34602152381558e-05,2.426950729272903e-08
1848,4.369762245914899e-05,2.091757700384278e-08
1849,4.474020897760056e-05,1.75967720394965e-08
1850,4.401238402351737e-05,1.425689166723032e-08
1851,4.2541141738183796e-05,1.6123596680017727e-08
1852,4.6224871766753495e-05,1.3672145193766028e-08
1853,4.480501593207009e-05,2.329053394589664e-08
1854,4.621439438778907e-05,2.1302223984775992e-08
1855,4.454165537026711e-05,1.751289246954002e-08
1856,4.569283555611037e-05,2.485050831779745e-08
1857,4.5035827497486025e-05,1.0739319655783675e-08
1858,4.5622273319168016e-05,5.872411001917044e-09
1859,4.7383691708091646e-05,3.258990943777462e-08
1860,4.540795271168463e-05,1.5104706818647173e-08
1861,4.432298374013044e-05,2.0750240636857598e-08
1862,4.61241215816699e-05,9.939570055905733e-09
1863,4.37908383901231e-05,2.247579411474021e-08
1864,4.492899824981578e-05,1.4863656527808189e-08
1865,4.486563921091147e-05,3.3418594114209554e-08
1866,4.245247328071855e-05,1.8002767276925624e-08
1867,4.292893936508335e-05,1.5043715606566366e-08
1868,4.2718056647572666e-05,2.5687345583946808e-08
1869,4.3012081732740626e-05,9.767038733343725e-09
