year,soient_VERB au_ADP,soient_VERB tôt_ADV
1800,6.665628689006553e-07,3.144164484325529e-09
1801,8.167456275742779e-07,0.0
1802,5.840762469233596e-07,0.0
1803,8.620499460931796e-07,1.3652374342143503e-08
1804,6.154908813726934e-07,4.943701892301533e-09
1805,7.334624667620915e-07,0.0
1806,9.884125091730311e-07,1.152667650217154e-08
1807,9.110256655731064e-07,0.0
1808,6.820882703095776e-07,0.0
1809,6.551188675985031e-07,2.259030518203531e-09
1810,6.248138468833986e-07,7.020380277111826e-09
1811,4.3372428493171356e-07,0.0
1812,5.681153552039575e-07,0.0
1813,5.291364466586401e-07,0.0
1814,6.136020136437992e-07,0.0
1815,4.07280750458483e-07,0.0
1816,6.118474491501047e-07,6.952811659743929e-09
1817,6.756830490672883e-07,0.0
1818,5.924825285941182e-07,0.0
1819,5.76553459197271e-07,1.2421260464634543e-08
1820,7.523348966032017e-07,1.1866481131050932e-09
1821,7.92863655618703e-07,9.861488514673056e-09
1822,6.877572786834207e-07,2.0051231786055723e-09
1823,5.979025834434992e-07,0.0
1824,6.037938016234534e-07,0.0
1825,6.797801894720124e-07,8.805443041381977e-10
1826,7.363474985311314e-07,8.807984341885344e-10
1827,7.207907390949231e-07,1.2904182611350734e-08
1828,6.824192313459321e-07,3.668920500743411e-09
1829,6.258418761007079e-07,0.0
1830,6.606517066742867e-07,1.0436835840010872e-09
1831,7.078407442406842e-07,0.0
1832,6.277906008378409e-07,4.058990921151917e-09
1833,5.027294989190523e-07,1.1583628500844156e-09
1834,5.759405805605411e-07,2.8003592777992026e-09
1835,5.32441362111058e-07,1.0588323107185715e-08
1836,5.954584527678719e-07,0.0
1837,6.129902017093514e-07,3.478945576063097e-09
1838,6.065987641079573e-07,3.787297142565649e-09
1839,6.564994921021139e-07,0.0
1840,5.522520023504285e-07,0.0
1841,5.682185499900072e-07,3.2102742686390684e-09
1842,5.943522940476953e-07,4.024959032733477e-09
1843,7.011503637688321e-07,0.0
1844,5.686149266992402e-07,5.488561272137815e-10
1845,5.608129278744656e-07,0.0
