year,étant_VERB aux_ADP,étant_VERB tôt_ADV,etant_VERB aux_ADP
1800,2.3266817095191072e-07,0.0,6.288328968651058e-09
1801,2.1430643681874528e-07,0.0,0.0
1802,2.1259481286506343e-07,0.0,6.713520406265161e-09
1803,2.2233867014165298e-07,0.0,0.0
1804,2.2741028260497842e-07,0.0,2.7190359741524617e-08
1805,2.2743021288462728e-07,0.0,1.1371510844071508e-08
1806,2.3917854719002207e-07,0.0,1.4408345627714425e-08
1807,2.306033621835013e-07,0.0,1.1387820908481672e-08
1808,2.719288829666766e-07,0.0,1.5862517521725295e-08
1809,1.987946802728402e-07,0.0,0.0
1810,2.340126741273707e-07,0.0,7.020380277111826e-09
1811,2.507076715119183e-07,0.0,2.5070767684098882e-09
1812,2.9339290108509886e-07,0.0,5.3344164641089264e-09
1813,1.581657897986588e-07,0.0,2.5881675469463516e-08
1814,3.3354777428939997e-07,0.0,6.293354282149721e-09
1815,2.2656677223231725e-07,0.0,1.3486118000116676e-08
1816,1.2978581764855335e-07,0.0,1.622322720606917e-08
1817,1.3389111597206238e-07,0.0,0.0
1818,3.659801439681587e-07,0.0,5.960588467246453e-09
1819,3.239878628713555e-07,0.0,1.035105001712111e-09
1820,1.7918387129611801e-07,0.0,0.0
1821,2.86969318530339e-07,0.0,8.875339463365606e-09
1822,3.1480435325192957e-07,0.0,1.804610860745015e-08
1823,2.2829006240954186e-07,0.0,7.906149512848515e-09
1824,1.6842225925017829e-07,0.0,4.210556348027694e-09
1825,2.3246369362794894e-07,0.0,4.402721520690989e-09
1826,2.5014675031354017e-07,0.0,1.7615968683770689e-09
1827,2.5439672368676725e-07,0.0,3.6869092223668076e-09
1828,3.3020284218032714e-07,0.0,2.2930752408001354e-08
1829,2.460501566936557e-07,0.0,1.714635211591542e-09
1830,3.183234795756107e-07,0.0,1.0436835840010872e-09
1831,2.572548973844846e-07,0.0,1.5591206103948707e-09
1832,1.5830064459265714e-07,0.0,0.0
1833,1.6101243938138055e-07,0.0,6.950177322551099e-09
1834,2.156276650566724e-07,7.467624740797874e-09,1.8669061851994684e-09
1835,2.0874123407566003e-07,0.0,7.563087933704082e-10
1836,2.1976853270544439e-07,0.0,8.064900192117364e-09
1837,2.6370406658315915e-07,0.0,2.7831563720326358e-09
1838,2.8089119297192155e-07,0.0,3.1560809521380406e-09
1839,3.467771820808707e-07,0.0,6.9914751765765e-10
1840,2.5160269956359116e-07,0.0,8.917564464638872e-09
1841,2.529695986019931e-07,0.0,1.2841097074556274e-09
1842,2.3210597532852262e-07,0.0,2.0124795163667386e-09
1843,1.8016078501270627e-07,0.0,1.1813822142769936e-09
1844,2.10760750241068e-07,0.0,4.939705311457487e-09
1845,2.1483877010730623e-07,0.0,2.2320911785556063e-09
1846,1.9085674396457364e-07,0.0,1.1709002656346001e-09
1847,2.3244794533638924e-07,5.393223645455691e-10,4.314578916364553e-09
1848,2.2607072480695933e-07,6.43617736884039e-09,2.4135665133151463e-09
1849,1.9607830381573876e-07,0.0,8.379414939696517e-10
1850,2.552662472510292e-07,0.0,2.0366988096043315e-09
1851,2.579775422173469e-07,0.0,5.159551008659946e-09
1852,2.526091675836284e-07,0.0,1.3021090872200602e-09
1853,1.833383058702509e-07,0.0,1.7915795513800958e-09
1854,2.0159178060197291e-07,0.0,2.597832227113628e-09
1855,2.0590916349760846e-07,0.0,3.1841622671890946e-09
1856,2.1278248030220936e-07,0.0,3.106313539724681e-09
1857,2.3480058031211115e-07,0.0,3.4170564155999728e-09
1858,2.1336427913354328e-07,4.893676019968041e-10,9.787352039936081e-10
1859,1.858643319252451e-07,0.0,2.5460866748261424e-09
1860,1.6203231334444013e-07,4.577183909670879e-10,1.3731551729012637e-09
1861,1.994852659170654e-07,0.0,6.13075279431996e-09
1862,1.766532595759429e-07,0.0,1.8071945051545413e-09
1863,1.9079450908066065e-07,5.494082966350788e-09,2.497310414018017e-09
1864,2.320648349041221e-07,0.0,1.9178911792039344e-09
1865,1.7132913754380752e-07,0.0,4.706844247692743e-09
1866,1.6153834830889835e-07,0.0,1.4596839292835284e-09
1867,1.2957006845226715e-07,0.0,4.85281148598915e-10
1868,1.8228135834075232e-07,2.9639244392143382e-09,9.87974813071446e-10
1869,1.5773767136906258e-07,9.767038289254515e-10,3.4184632902167778e-09
1870,1.284426867087518e-07,0.0,3.4404292748035914e-09
1871,2.389764957033691e-07,0.0,4.248470908407853e-09
1872,1.838391177066967e-07,6.047339295989218e-10,3.628403577593531e-09
1873,1.9753815427847599e-07,0.0,4.1902031844287535e-09
1874,2.5451834062550915e-07,0.0,5.974609140757536e-10
1875,2.1341296507770835e-07,5.721527140956084e-10,2.2886108008712824e-09
1876,2.243071461904833e-07,0.0,5.441413319928756e-09
1877,1.725563665289087e-07,0.0,5.566334393414252e-09
1878,1.4856158592202462e-07,0.0,2.4156354694326865e-09
1879,1.912218799970944e-07,0.0,3.665595160740054e-09
1880,2.0601285877219766e-07,0.0,3.8507077526617195e-09
1881,1.77101696641202e-07,0.0,4.880755244407453e-09
1882,2.2162432156136447e-07,0.0,6.655385131892899e-09
1883,2.862660659630478e-07,0.0,0.0
1884,2.1389497995016882e-07,6.601696966868076e-10,6.601696966868076e-10
1885,2.146396732571887e-07,6.445635691854079e-10,7.090199150017185e-09
1886,2.187724226221377e-07,4.5174246565693466e-09,3.2267319927115068e-09
1887,3.146941718323859e-07,0.0,2.6115698492645834e-09
1888,2.339686804297969e-07,6.340614699951175e-10,5.706553007911452e-09
1889,2.192797818878489e-07,0.0,5.6386229019267375e-09
1890,1.9597614997479695e-07,0.0,2.621754646714436e-09
1891,2.0843699743977595e-07,3.824531802365527e-09,0.0
1892,1.905627700082846e-07,1.8805537127519756e-09,1.2537024751679837e-09
1893,1.9214259383559806e-07,6.158416554491453e-10,6.158416554491453e-10
1894,2.2433479984762528e-07,0.0,8.82215522857166e-09
1895,2.1065151023513806e-07,0.0,6.6204757231957956e-09
1896,1.568609775404184e-07,0.0,4.7176231254830725e-09
1897,2.173364187507687e-07,5.826713556089658e-10,1.7480140668268973e-09
1898,2.212416830849051e-07,5.6583548957434e-10,1.13167097914868e-09
1899,1.6361631516303987e-07,0.0,2.7637891975018647e-09
1900,1.8791613021207354e-07,5.191053142894475e-10,2.07642125715779e-09
1901,1.5592581104062475e-07,0.0,3.912117352289357e-09
1902,2.027947267890795e-07,0.0,1.9641135384773634e-09
1903,1.8522755396155333e-07,0.0,3.2401321625741275e-09
1904,2.1982217646154822e-07,0.0,3.2247751136083025e-09
1905,1.8836771042973766e-07,0.0,8.773290538499623e-09
1906,2.1811342776345555e-07,2.572092316910357e-09,1.1317205839134203e-08
1907,1.7948523556299278e-07,0.0,1.5428529565042481e-09
1908,1.817213939325768e-07,0.0,2.9468334439286537e-09
