year,petit_ADJ or_NOUN,petit_ADJ tort_NOUN
1800,3.144164484325529e-09,3.772997558826319e-08
1801,0.0,4.7623651688866175e-09
1802,0.0,1.1189200677108602e-08
1803,1.950339223455444e-09,1.950339267864365e-08
1804,0.0,4.449331569844617e-08
1805,8.528633133053631e-09,2.2743021688143017e-08
1806,5.76333825108577e-09,2.881669125542885e-09
1807,5.693910232196231e-09,8.540865792383556e-09
1808,0.0,1.5862518409903714e-08
1809,6.7770915546105925e-09,8.358412628695078e-08
1810,2.3401267590372754e-09,6.31834211617388e-08
1811,0.0,3.259199843341776e-08
1812,2.6672082320544632e-09,2.400487453257938e-08
1813,0.0,7.476928232108548e-08
1814,0.0,3.4613449884091096e-08
1815,0.0,8.091670444798638e-09
1816,6.952811659743929e-09,2.3176038865813098e-08
1817,4.670620334934483e-09,4.514932783195036e-08
1818,1.1921177378582115e-09,2.8610825708597076e-08
1819,1.035105001712111e-09,9.315945348475907e-09
1820,1.779972080839798e-08,3.085285271708926e-08
1821,7.88919063410276e-09,3.747365440176509e-08
1822,3.0076847679083585e-09,3.60922172149003e-08
1823,9.882686891060644e-10,2.075364236020505e-08
1824,1.6842225392110777e-09,1.6000115010683658e-08
1825,4.4027217427355936e-09,5.2832657360113444e-08
1826,0.0,5.284790383086602e-09
1827,2.7651819167751057e-09,2.2121454890111636e-08
1828,2.7516904310687096e-09,3.944089499441361e-08
1829,8.573175946935407e-09,1.628903412154159e-08
1830,3.1310507520032616e-09,1.0436835395921662e-08
1831,0.0,1.870944643656003e-08
1832,0.0,9.470978667991403e-09
1833,6.950177100506494e-09,3.8225973497674204e-08
1834,9.334530925997342e-10,1.6802156110884425e-08
1835,2.2689263801112247e-09,1.739510224751939e-08
1836,1.3441500135158435e-09,2.016225053580456e-08
1837,6.957890930081589e-10,1.1828414692161004e-08
1838,1.2624323808552163e-09,1.1361890983607736e-08
1839,2.7965901816529026e-09,1.677954131196202e-08
1840,0.0,1.2739377552861697e-08
1841,6.420548537278137e-10,3.2102742686390684e-09
1842,0.0,2.683306021822318e-09
1843,4.134837805480629e-09,2.3627644285539873e-09
1844,0.0,7.683985892015244e-09
1845,8.928364714222425e-09,7.812318791877715e-09
1846,1.1709002656346001e-09,1.1709002656346001e-08
1847,1.6179670936367074e-09,1.0786447290911383e-08
1848,7.240699539945439e-09,1.930853166243196e-08
1849,0.0,0.0
1850,6.788996032014438e-10,8.82569484161877e-09
