year,ait_VERB en_PRON,ait_VERB tant_ADV
1800,1.5720821977538435e-08,3.9930890238792927e-07
1801,1.0953439755212457e-07,3.833704056432907e-07
1802,7.384872446891677e-08,3.0210841828193225e-07
1803,6.046051481689574e-08,2.2428901047533145e-07
1804,7.168367943677367e-08,3.386435878383054e-07
1805,3.4114531644036106e-08,2.700733716665127e-07
1806,2.5935023018064385e-08,2.737585589329683e-07
1807,7.117387923472052e-08,2.7046073114433966e-07
1808,8.837688625362716e-08,2.4020383193601447e-07
1809,7.90660692473466e-08,1.423189246452239e-07
1810,4.212228121858175e-08,3.6739990605383355e-07
1811,7.52123057168319e-08,2.431864345453505e-07
1812,5.867858021701977e-08,3.4673706750254496e-07
1813,4.026038280535715e-08,2.386865673997818e-07
1814,2.2026739543434815e-08,2.643208745212178e-07
1815,2.4275012222574333e-08,2.1847510822681215e-07
1816,3.2446456188495176e-08,3.7545183317888586e-07
1817,3.7364962679475866e-08,3.8921834288885293e-07
1818,6.675859509641668e-08,3.5644319495986565e-07
1819,7.24573467891787e-08,4.192175140360632e-07
1820,6.289234733003468e-08,4.568595102227846e-07
1821,6.607196922914227e-08,4.1812711515376577e-07
1822,3.909990198280866e-08,3.1680946221968043e-07
1823,4.249555374258307e-08,2.213721899124721e-07
1824,9.684279689281539e-08,3.974765263592417e-07
1825,6.163810439829831e-08,3.23159753179425e-07
1826,2.7304751237799962e-08,2.862594783437089e-07
1827,4.3321183085254233e-08,2.617705661123182e-07
1828,6.237164740241496e-08,2.3664537707190902e-07
1829,4.715246665343287e-08,3.13778230065509e-07
1830,4.174734158368665e-08,3.078866654959711e-07
1831,3.1182413096075834e-08,2.47900175054383e-07
1832,6.900284432731496e-08,2.6518739559833193e-07
1833,7.52935847003755e-08,2.258807541011265e-07
1834,3.920503055532265e-08,2.735017687882646e-07
1835,4.764745398233572e-08,1.4899282518854307e-07
1836,4.032450107160912e-08,3.326771320644184e-07
1837,4.5922078584226256e-08,2.8318615363787103e-07
1838,6.817134590164642e-08,2.2155688839120558e-07
1839,4.824117993962318e-08,2.6497690441829036e-07
1840,7.006657654073933e-08,2.2803484966971155e-07
1841,5.264849889385914e-08,2.581060414286185e-07
1842,6.77534757187459e-08,2.9180952765273105e-07
1843,5.9069112268161916e-08,3.4909845680886065e-07
1844,4.171306688949272e-08,2.799166338718351e-07
1845,6.640470928687137e-08,2.2488318052182876e-07
1846,4.859236035770209e-08,2.83943307977097e-07
1847,6.849393940910886e-08,2.702005019727949e-07
1848,5.712107409294731e-08,2.5020639782269427e-07
1849,8.463209155706863e-08,1.7010212616241915e-07
1850,6.653216377827675e-08,1.4935791625703132e-07
1851,5.224045551699419e-08,1.8638877463672543e-07
1852,5.7943854159248076e-08,2.3633279511159344e-07
1853,5.971931904547034e-08,2.896387059081462e-07
1854,7.221973419291317e-08,3.2732685895098257e-07
1855,7.164365101175463e-08,2.839211390437413e-07
1856,5.5913645269356493e-08,3.0545416507266054e-07
1857,5.027954230740761e-08,2.69947463493736e-07
1858,5.187296542308317e-08,2.872587856472819e-07
1859,4.124660435422811e-08,2.505349243620003e-07
1860,5.9045670797175376e-08,2.4213304072873143e-07
1861,6.743827896116272e-08,2.8012823349854443e-07
1862,6.054101930885736e-08,2.819223539063387e-07
1863,5.893652499366908e-08,2.647149131007609e-07
1864,4.507044193413634e-08,2.7761475962506665e-07
1865,6.213034597912781e-08,2.066304602976743e-07
1866,4.8169567279376935e-08,2.4376720375585137e-07
1867,3.736664666575962e-08,2.062444934836094e-07
1868,4.594082725351001e-08,2.1241459080556524e-07
1869,5.46954150859591e-08,2.3440891538939468e-07
1870,5.504686839685746e-08,2.1215980439137638e-07
1871,4.991953161948004e-08,1.8268424639700243e-07
1872,3.9912439575573444e-08,1.8262964829318662e-07
1873,6.105724653648892e-08,1.652137200380821e-07
1874,4.3614645395262386e-08,1.5354746096818417e-07
1875,5.435450611823711e-08,2.5289151039942226e-07
1876,4.0508300713781864e-08,2.6058324920086307e-07
1877,5.44263798474276e-08,2.0966525937637925e-07
1878,6.03908887342186e-08,2.2767363816456054e-07
1879,6.048232137345622e-08,2.6758843318930303e-07
1880,5.198455466093321e-08,2.3810208915620024e-07
1881,5.089930354973404e-08,2.3845976215852716e-07
1882,5.0580926114207614e-08,1.9899601966244518e-07
1883,4.423537297570945e-08,2.104339813513434e-07
1884,5.0172896948197376e-08,1.9739073309210653e-07
1885,5.2209650158729914e-08,1.6565283544878184e-07
1886,4.711028722681476e-08,1.6585401851898496e-07
1887,6.398346386049525e-08,2.0174377368675778e-07
1888,3.6775563927449184e-08,1.3505508889011253e-07
1889,4.761503846761883e-08,1.67279154084099e-07
1890,5.3745967676377404e-08,1.6058247354067134e-07
1891,4.206985249055606e-08,1.5106901685157936e-07
1892,5.578975859066304e-08,1.567128151691577e-07
1893,3.5718816460139635e-08,1.6935645419380307e-07
1894,5.1042469806361623e-08,1.663606354895819e-07
1895,6.138986874404395e-08,1.907900752939895e-07
1896,4.835563849336921e-08,1.8398731072011287e-07
1897,3.903898004864459e-08,1.6023462023895263e-07
1898,5.262270130756974e-08,1.7993568235397106e-07
1899,4.753717419703207e-08,1.7024942167154222e-07
1900,3.633737277741744e-08,1.967409133385445e-07
1901,5.309301803757549e-08,1.6263230406821094e-07
1902,5.352209342390779e-08,1.3601486159586784e-07
1903,5.130209279613496e-08,1.7604718038910505e-07
1904,5.320879026271541e-08,1.4081517463182536e-07
1905,4.593075397796298e-08,1.635960558132865e-07
1906,4.9898588094787755e-08,1.553543711452221e-07
1907,5.965698224308369e-08,2.015994624571249e-07
1908,3.1432888736304676e-08,1.6600495200691512e-07
1909,5.66601299212266e-08,2.0353638774395222e-07
1910,4.489086524728236e-08,2.1590368248780578e-07
1911,4.149891963400876e-08,1.4790640534556587e-07
1912,5.574080574888285e-08,1.693061904006754e-07
1913,5.196930086270868e-08,1.9143793394960085e-07
