year,serait_VERB au_ADP,serait_VERB tôt_ADV
1800,1.103601789509412e-06,1.5720821977538435e-08
1801,5.667214395543851e-07,4.7623651688866175e-09
1802,5.124653625898645e-07,4.475680270843441e-09
1803,6.221582111720636e-07,3.900678446910888e-09
1804,1.050536639013444e-06,2.2246657849223084e-08
1805,6.879764100631292e-07,0.0
1806,6.195588753143966e-07,1.152667650217154e-08
1807,8.683213081894792e-07,0.0
1808,6.412989250748069e-07,1.1330369531492579e-08
1809,7.070765377648058e-07,4.518061036407062e-09
1810,7.441603315783141e-07,4.680253518074551e-09
1811,9.426608471585496e-07,2.5070767684098882e-09
1812,1.4456268218054902e-06,5.601137331723294e-08
1813,1.08415463273559e-06,1.7254450312975678e-08
1814,1.4474715044343611e-06,3.1466771410748606e-09
1815,1.0033671742348815e-06,2.6972236000233352e-08
1816,1.0962265832858975e-06,1.3905623319487859e-08
1817,1.0322070238544256e-06,0.0
1818,9.978025445889216e-07,3.2187177367859476e-08
1819,1.1013516996172257e-06,6.210630232317271e-09
1820,1.2744600326186628e-06,2.7292905713238724e-08
1821,1.1547803069333895e-06,2.3667571014129862e-08
1822,1.0366486549173715e-06,1.1028177482330648e-08
1823,9.704798458187724e-07,2.569498569471307e-08
1824,1.0997973731718957e-06,3.621078548121659e-08
1825,1.1262161478953203e-06,3.258013947515792e-08
1826,1.0296533901055227e-06,1.0569580766173203e-08
1827,1.4111644759395858e-06,5.7147094167930845e-08
1828,1.308887362938549e-06,7.429564163885516e-08
1829,1.6006119949452113e-06,3.772197487705853e-08
1830,1.4830743566562887e-06,1.461157062010443e-08
1831,1.5388520751002943e-06,2.3386808933878456e-08
1832,1.6330673133779783e-06,5.141388470519814e-08
1833,1.310108359575679e-06,3.59092489077284e-08
1834,1.5149943237702246e-06,2.6136685704614138e-08
1835,1.3749694289799663e-06,1.4369867074037757e-08
1836,1.2829912066081306e-06,2.4866775305554256e-08
1837,1.3066919564153068e-06,2.5744196108234974e-08
1838,1.2605387382791378e-06,2.1461350030449466e-08
1839,1.2983169881408685e-06,1.8177836125232716e-08
1840,1.5166228877205867e-06,3.121147429396842e-08
1841,1.4343505654323963e-06,2.1829865914924085e-08
1842,1.381902620778419e-06,3.3541326160957396e-08
1843,1.379263721901225e-06,3.721353891705803e-08
1844,1.4736787079527858e-06,3.567564732520623e-08
1845,1.4374667216543457e-06,2.5669049108500985e-08
1846,1.3962985576654319e-06,2.9272506196775794e-08
1847,1.4691140677314252e-06,3.937053350000497e-08
1848,1.4159589909468195e-06,1.689496542667257e-08
1849,1.340706376140588e-06,2.011059585527164e-08
1850,1.3204597735239076e-06,4.955967014552698e-08
1851,1.4117821365289274e-06,5.8044946626978344e-09
1852,1.1816639471362578e-06,2.799534470909748e-08
1853,1.1352642559359083e-06,3.2845626662947325e-08
1854,1.2329311402936582e-06,3.688921879074769e-08
1855,1.1728330946425558e-06,2.600399184871094e-08
1856,1.1560663324416964e-06,2.0708757375587084e-08
1857,1.138856077886885e-06,4.8326938895115745e-08
1858,1.1969931392741273e-06,2.1532175153993194e-08
1859,1.4365020888362778e-06,3.360834455179429e-08
1860,1.2642182127819979e-06,2.746310379109218e-08
1861,1.2162470284238225e-06,2.5937801240161207e-08
1862,1.3111196039972128e-06,5.3312238179614724e-08
1863,1.2546487369036186e-06,3.9457503930862003e-08
1864,1.2672466027652263e-06,1.102787461348953e-08
1865,1.2666117754633888e-06,1.7886009118228685e-08
1866,1.1789379641413689e-06,3.795178216137174e-08
1867,1.3078326901450055e-06,2.135237053835226e-08
1868,1.2690536550508114e-06,8.397785578040384e-09
1869,1.3263637583804666e-06,3.4672986259920435e-08
1870,1.3675706895810436e-06,1.9495765002375265e-08
1871,1.3616348724099225e-06,3.504988654867702e-08
1872,1.305015871366777e-06,2.9027228620748247e-08
