year,fut_VERB en_ADP,fut_VERB tant_ADV
1800,1.2982254702365026e-05,1.4148740490327327e-07
1801,1.0805806596181355e-05,1.4048977448055666e-07
1802,1.123171932704281e-05,5.147032311469957e-07
1803,1.0128111171070486e-05,1.3457341196954076e-07
1804,1.0624014976201579e-05,4.69651695311768e-08
1805,1.1840586012112908e-05,1.0802935435094696e-07
1806,1.1947399798373226e-05,1.2391177506287931e-07
1807,1.0986399502144195e-05,1.195721210933698e-07
1808,1.1529784387676045e-05,1.0423940466353088e-07
1809,1.2210060049255844e-05,1.581321384946932e-07
1810,9.877675438474398e-06,1.0530570193623134e-07
1811,1.4335464584291913e-05,1.0279014617253779e-07
1812,1.1629027540038805e-05,1.8670458246106136e-07
1813,1.2707901987596415e-05,1.121539270343419e-07
1814,1.4122287211648654e-05,1.4789382873914292e-07
1815,1.2102442269679159e-05,1.537417375629957e-07
1816,1.1048017768189311e-05,8.57513455798653e-08
1817,1.214828353113262e-05,1.4167548556542897e-07
1818,1.4556949281541165e-05,1.5616741677604296e-07
1819,1.3572296666097827e-05,3.6539205439112266e-07
1820,1.4288430065789726e-05,5.3280501788322e-07
1821,1.374296971334843e-05,1.6764529675583617e-07
1822,1.4299535905593075e-05,2.2056354964661296e-07
1823,1.6023788703023456e-05,3.271169362051296e-07
1824,1.6504538507433608e-05,4.0673972989679896e-07
1825,1.677084765105974e-05,2.9674342272301146e-07
1826,1.454726680094609e-05,6.711683795401768e-07
1827,1.263688136532437e-05,4.958893100592832e-07
1828,1.2108354894735385e-05,3.503818959416094e-07
1829,1.3613346709462348e-05,1.3888545424833865e-07
1830,1.2673449418798555e-05,1.5655253093882493e-07
1831,1.1712114428519271e-05,1.1225668572478753e-07
1832,1.1978081602137536e-05,1.1771073360478113e-07
1833,1.250684363185428e-05,8.68772147555319e-08
1834,1.2726699424092658e-05,2.5389923052898666e-07
1835,1.3611289432446938e-05,3.547088169852941e-07
1836,1.4981896129029337e-05,5.067445272288751e-07
1837,1.4022237337485421e-05,4.153860970745882e-07
1838,1.5849838746362366e-05,4.412201235481916e-07
1839,1.26517734315712e-05,1.3843120427736721e-07
1840,1.301199972658651e-05,2.095627564813185e-07
1841,1.3120390576659702e-05,2.722312615333067e-07
1842,1.3340726582100615e-05,2.0124795696574438e-07
1843,1.3051911082584411e-05,1.4767277889404795e-07
1844,1.2379999134282116e-05,7.025358428336403e-08
1845,1.1347951840434689e-05,6.194053270291988e-08
1846,1.1853609066747595e-05,1.264572233594663e-07
1847,1.180468825623393e-05,9.384208965457219e-08
1848,1.084334962797584e-05,1.6814513514873397e-07
1849,1.000502106762724e-05,1.0641856817983353e-07
1850,1.0300943358743098e-05,1.547891059772155e-07
1851,1.0722837032517418e-05,1.289887734401418e-07
1852,1.0151242349820677e-05,1.1328349103223445e-07
1853,1.1790384633059148e-05,1.899074391076283e-07
1854,1.2642610272450838e-05,2.4679405896677054e-07
1855,1.1657748473226093e-05,1.5973880351793923e-07
1856,1.0887629287026357e-05,1.6567005900469667e-07
1857,1.2703150787274353e-05,2.884971763705835e-07
1858,1.1725247532012872e-05,2.407688555194909e-07
1859,1.120074466598453e-05,1.8484588792944123e-07
1860,1.1015450581908226e-05,1.2999201715047093e-07
1861,1.0236942216579337e-05,1.8203620300027978e-07
1862,1.0955212928820401e-05,1.6942448155532475e-07
1863,1.0393805496278219e-05,1.5083755044997815e-07
1864,1.0321610716346186e-05,1.5630813265943289e-07
1865,1.0017106433224399e-05,1.1014015655064213e-07
1866,1.0576382919680327e-05,1.420758906078845e-07
1867,9.540141945763025e-06,1.9459774591723544e-07
1868,9.943966688297223e-06,1.7635350957334595e-07
1869,9.21031733014388e-06,1.4943569226488762e-07
1870,1.1174513929290697e-05,1.2844269292600075e-07
1871,7.405084943457041e-06,9.559059321873065e-08
1872,8.55879898153944e-06,1.608592299362499e-07
1873,9.18731984711485e-06,1.9334794387759757e-07
1874,8.516804882674478e-06,1.3681854227343138e-07
1875,8.896402505342849e-06,1.756508822836622e-07
1876,8.723190148884896e-06,2.0677370571320353e-07
1877,8.940151928982232e-06,1.36065949618569e-07
1878,9.515188139630482e-06,1.2500913726398721e-07
1879,8.893344784155488e-06,1.9916400617603358e-07
1880,9.782723282114603e-06,2.098635718539299e-07
1881,7.927741535240784e-06,2.558910239258694e-07
1882,8.50291962706251e-06,1.5573601785945357e-07
1883,8.122246072161943e-06,1.0363715574612797e-07
1884,7.894309419498313e-06,1.34014442210173e-07
1885,7.594892394990893e-06,1.2633445578558167e-07
1886,8.048114978009835e-06,1.59400556754008e-07
1887,6.751561159035191e-06,9.923965649250022e-08
1888,7.5795705924974754e-06,1.7183066347570275e-07
1889,7.585827461298322e-06,1.5286933319202944e-07
1890,6.498674338217825e-06,8.913965388046563e-08
1891,6.888619736855617e-06,1.2047276243265514e-07
1892,6.747426596120931e-06,1.0531100969046747e-07
1893,6.789038252463797e-06,1.2871090859789547e-07
1894,6.961940471228445e-06,9.830401381805132e-08
1895,7.165762326621916e-06,1.131499516304757e-07
1896,6.985620530031156e-06,1.3740077520196792e-07
1897,6.5935091697610915e-06,1.130382401015595e-07
1898,6.745324753865134e-06,8.940200757479033e-08
1899,6.972487426537555e-06,8.45719512199139e-08
1900,6.876069164718501e-06,1.199133237150818e-07
1901,6.473995199485216e-06,9.10964459421848e-08
1902,5.668431640515337e-06,9.575053638855024e-08
1903,6.334998488455312e-06,1.1340462435782683e-07
1904,6.278637101786444e-06,1.0211788037395308e-07
1905,6.326058610284235e-06,1.0579555720369171e-07
1906,6.3263182710215915e-06,1.1883066264317677e-07
1907,6.111755283200182e-06,1.0902827796144265e-07
1908,6.655914603470592e-06,1.0313917186977051e-07
1909,6.98129815646098e-06,1.0506878567184685e-07
1910,6.667896741419099e-06,1.4322323238502577e-07
1911,6.683454103040276e-06,1.2556083106574079e-07
1912,6.884250069560949e-06,1.3648683250266913e-07
1913,6.621843112952774e-06,1.0287799767638717e-07
1914,6.427534572139848e-06,1.3192584447097033e-07
