year,serait_VERB aux_ADP,serait_VERB tôt_ADV
1800,9.118077315406481e-08,1.5720821977538435e-08
1801,8.096020565062645e-08,4.7623651688866175e-09
1802,7.161088433349505e-08,4.475680270843441e-09
1803,5.851017803593095e-08,3.900678446910888e-09
1804,1.7055771195373381e-07,2.2246657849223084e-08
1805,2.2743021688143017e-08,0.0
1806,7.204172902675055e-08,1.152667650217154e-08
1807,1.4804166426074516e-07,0.0
1808,9.970725756147658e-08,1.1330369531492579e-08
1809,1.1521055398588942e-07,4.518061036407062e-09
1810,1.310471020588011e-07,4.680253518074551e-09
1811,1.7048121492280188e-07,2.5070767684098882e-09
1812,8.268345652595599e-08,5.601137331723294e-08
1813,1.8979895344273245e-07,1.7254450312975678e-08
1814,1.0069366851439554e-07,3.1466771410748606e-09
1815,1.0519171667056071e-07,2.6972236000233352e-08
1816,8.1116134253989e-08,1.3905623319487859e-08
1817,1.370048607896024e-07,0.0
1818,1.6332012364728143e-07,3.2187177367859476e-08
1819,2.0391568966715568e-07,6.210630232317271e-09
1820,1.6019750148643652e-07,2.7292905713238724e-08
1821,1.8046523564407835e-07,2.3667571014129862e-08
1822,2.2357123441452131e-07,1.1028177482330648e-08
1823,1.9370065729162889e-07,2.569498569471307e-08
1824,1.3389569630817277e-07,3.621078548121659e-08
1825,2.2718043624081474e-07,3.258013947515792e-08
1826,1.5766292449370667e-07,1.0569580766173203e-08
1827,2.571619290847593e-07,5.7147094167930845e-08
1828,1.742737225640667e-07,7.429564163885516e-08
1829,2.417635585061362e-07,3.772197487705853e-08
1830,1.6385831713705556e-07,1.461157062010443e-08
1831,2.2919073217053665e-07,2.3386808933878456e-08
1832,1.97537559643024e-07,5.141388470519814e-08
1833,2.490480142114393e-07,3.59092489077284e-08
1834,2.8563664500325103e-07,2.6136685704614138e-08
1835,2.3596834353156737e-07,1.4369867074037757e-08
1836,1.9893420244443405e-07,2.4866775305554256e-08
1837,2.1082409773498512e-07,2.5744196108234974e-08
1838,2.1335107192044234e-07,2.1461350030449466e-08
1839,1.7268943963699712e-07,1.8177836125232716e-08
1840,2.496917943517474e-07,3.121147429396842e-08
1841,2.471911102475133e-07,2.1829865914924085e-08
1842,2.555848936935945e-07,3.3541326160957396e-08
1843,2.0260705468899687e-07,3.721353891705803e-08
1844,2.4094782702377415e-07,3.567564732520623e-08
1845,2.148387778788674e-07,2.5669049108500985e-08
1846,1.6216968390381226e-07,2.9272506196775794e-08
1847,1.9900994630006608e-07,3.937053350000497e-08
1848,2.0756671403887594e-07,1.689496542667257e-08
1849,1.9105065973690216e-07,2.011059585527164e-08
1850,2.5594513886062487e-07,4.955967014552698e-08
1851,2.27665182706005e-07,5.8044946626978344e-09
1852,2.0833745395520964e-07,2.799534470909748e-08
1853,1.7079725012081326e-07,3.2845626662947325e-08
1854,2.0159177438472398e-07,3.688921879074769e-08
1855,1.6186157836273196e-07,2.600399184871094e-08
1856,1.868965284756996e-07,2.0708757375587084e-08
1857,1.8256844214192824e-07,4.8326938895115745e-08
1858,1.453421845099001e-07,2.1532175153993194e-08
1859,1.7415233344308945e-07,3.360834455179429e-08
1860,1.922417283140021e-07,2.746310379109218e-08
1861,2.0750240992128965e-07,2.5937801240161207e-08
1862,2.222849246891201e-07,5.3312238179614724e-08
1863,1.7231441518106294e-07,3.9457503930862003e-08
1864,1.4575972784314217e-07,1.102787461348953e-08
1865,1.3461574610573734e-07,1.7886009118228685e-08
1866,1.591055394101204e-07,3.795178216137174e-08
1867,1.921713419505977e-07,2.135237053835226e-08
1868,1.5856996071761387e-07,8.397785578040384e-09
1869,2.1829330876244057e-07,3.4672986259920435e-08
1870,2.0069170147962723e-07,1.9495765002375265e-08
1871,2.3685225869485294e-07,3.504988654867702e-08
1872,1.6448763062726357e-07,2.9027228620748247e-08
1873,2.4901777351260534e-07,1.6760813181804224e-08
1874,1.463779284449629e-07,1.4339061493728877e-08
1875,1.9338762058396242e-07,1.7736734747586524e-08
1876,1.6445160611056053e-07,3.264847947548333e-08
1877,1.737933246204193e-07,2.535774612510977e-08
1878,1.9445865007128305e-07,2.8383716710322915e-08
1879,1.808360252653074e-07,2.1382637882538802e-08
1880,1.6943114644618618e-07,2.888030792291829e-08
1881,2.0917522647323494e-07,3.486253774553916e-08
1882,1.8036094218132348e-07,2.6621540527571597e-08
1883,1.5355993809862412e-07,1.7694148368718743e-08
1884,1.6834327709602803e-07,4.027035060971684e-08
1885,1.7016478182085848e-07,1.4824961702686323e-08
1886,1.4778431989270757e-07,1.871504551331782e-08
1887,1.7040493105469068e-07,1.1099172247952538e-08
1888,1.4837038975201722e-07,1.4583413587843097e-08
1889,1.434716381254475e-07,1.1277245803853475e-08
1890,1.625487868750497e-07,6.554386366985909e-09
1891,2.1736090616286674e-07,3.1871099537283953e-08
1892,1.8805536683430546e-07,3.0715710863660206e-08
1893,1.6319803819442313e-07,1.9091091374434654e-08
1894,1.795938686655063e-07,2.835692747282792e-08
1895,2.0102172015867836e-07,5.416753268150387e-09
1896,1.6570650984704116e-07,1.3563166589847242e-08
1897,1.701400407227993e-07,1.0488084178916779e-08
1898,1.4768306755286176e-07,1.1316709347397591e-08
1899,1.7135492669240193e-07,1.1055156790007459e-08
1900,1.7961043852210423e-07,2.0245106924221545e-08
1901,1.8666388257315703e-07,2.2913829056392387e-08
1902,1.4239823542538943e-07,1.7677022512430085e-08
1903,1.6956691695213522e-07,1.674068350610014e-08
1904,1.6607592101536284e-07,9.674325340824907e-09
1905,1.553388528918731e-07,8.257214467732865e-09
1906,1.04941364043043e-07,1.18316245689698e-08
1907,1.429710465572498e-07,2.0057088434555226e-08
1908,1.3801003717617277e-07,2.4065807124884486e-08
1909,1.2817291406008735e-07,1.4302557360679202e-08
1910,1.122271626741167e-07,2.404867771588215e-08
1911,1.340734314680958e-07,1.3300935464144459e-08
1912,1.224213974637678e-07,7.814131564032323e-09
1913,1.606805852816251e-07,1.7499866444836698e-08
1914,1.4464966113791888e-07,3.0135346662518714e-08
1915,1.7906758387198352e-07,9.424609537234119e-09
1916,1.2965205087311915e-07,3.84561182897869e-08
1917,1.6559300775043084e-07,7.676496771580332e-09
1918,1.4013379256994085e-07,4.135095466040184e-08
1919,1.3443458612982795e-07,1.2890987832747669e-08
1920,1.2418459505170176e-07,2.7260034229925623e-08
1921,9.768844222435291e-08,2.3475516641724425e-08
1922,1.2911387159419974e-07,1.696925089333945e-08
1923,1.210218130154317e-07,1.4862327368803108e-08
1924,1.4438619189149904e-07,1.933743654092268e-08
1925,1.1548086575885463e-07,1.3197813508725176e-08
1926,1.2372213120670494e-07,1.671920735191179e-08
1927,1.6723836893106636e-07,1.6723836537835268e-08
1928,1.451107181082989e-07,1.9424270192303084e-08
1929,1.0806193984080892e-07,2.33948540540041e-08
1930,1.344461253438567e-07,1.6805765667982087e-08
1931,1.437074956811557e-07,7.983749661377715e-09
1932,1.8850403193937382e-07,2.849479585620429e-08
1933,1.720599271948231e-07,2.064719240024715e-08
1934,1.2341027399997984e-07,1.4377896206951846e-08
1935,1.1609235883724978e-07,1.6755597798123745e-08
1936,1.4428410111122503e-07,9.699771652549316e-09
1937,1.1961562051965302e-07,6.295559185076627e-09
