year,tout_DET acte_NOUN,tout_DET tact_NOUN
1800,1.197926650320369e-06,0.0
1801,9.215176817178872e-07,0.0
1802,1.6403368761075399e-06,0.0
1803,1.3710884445572447e-06,0.0
1804,1.7649015831011639e-06,0.0
1805,1.5209395769488765e-06,0.0
1806,1.5099946040209034e-06,0.0
1807,2.8498021720224642e-06,0.0
1808,2.288734776811907e-06,0.0
1809,1.8546640490058053e-06,0.0
1810,2.209079639214906e-06,0.0
1811,1.8677721982385265e-06,0.0
1812,1.7336853375127248e-06,0.0
1813,1.573030687040955e-06,0.0
1814,1.71179232211216e-06,3.1466771410748606e-09
1815,1.63451751689081e-06,5.394447111228828e-09
1816,1.5087601354935032e-06,0.0
1817,1.5895678018296167e-06,0.0
1818,1.1325118407512491e-06,1.5497530370112145e-08
1819,1.9076985040555883e-06,0.0
1820,1.7692923108825198e-06,0.0
1821,2.1271230679076325e-06,0.0
1822,1.4968244812507692e-06,0.0
1823,1.6128544757521013e-06,0.0
1824,1.5099055161726938e-06,0.0
1825,1.5629661618277169e-06,0.0
1826,1.784497669632401e-06,0.0
1827,2.368839204791584e-06,0.0
1828,2.3077510888924735e-06,0.0
1829,2.186159974826296e-06,0.0
1830,2.1197213584400743e-06,0.0
1831,1.786752164889549e-06,0.0
1832,1.9469625840429217e-06,0.0
1833,2.08157803172071e-06,1.1583628500844156e-09
1834,2.1497424995686742e-06,9.334530925997342e-10
1835,1.9611086656823318e-06,0.0
1836,1.8582873337891215e-06,6.720750067579218e-10
1837,1.6316254800585739e-06,0.0
1838,1.6967090630259918e-06,0.0
1839,1.877910250414061e-06,0.0
1840,2.0765184842730378e-06,0.0
1841,2.2035322899682797e-06,0.0
1842,2.0634622899251553e-06,0.0
1843,1.9333320437908696e-06,1.2995204023980023e-08
1844,2.240430717392883e-06,5.488561161115513e-09
1845,2.355414153498714e-06,5.580227946389016e-10
1846,2.1761181869806023e-06,2.9272506640865004e-09
1847,2.2365698839621473e-06,1.0786447290911383e-09
1848,2.521372493902163e-06,0.0
1849,3.0283205774139788e-06,0.0
1850,2.6273415585365e-06,0.0
1851,2.4862585803475667e-06,6.449438760824933e-10
1852,2.527393746731832e-06,5.859490670445666e-09
1853,1.997014010157727e-06,5.971931837933653e-10
1854,2.015398251842271e-06,5.195664454227256e-10
1855,2.398204941300719e-06,3.714855978387277e-09
1856,2.6258703940129635e-06,5.177189232874468e-10
1857,2.166901850841896e-06,0.0
1858,2.253537815022355e-06,0.0
1859,2.4198008361508982e-06,0.0
1860,1.968189025092215e-06,1.8308735638683515e-09
1861,2.3188394209228136e-06,2.8295783494058924e-09
1862,1.955836239631026e-06,4.517986262886353e-10
1863,2.42838470398965e-06,0.0
1864,2.116872337865061e-06,9.589455896019672e-10
1865,1.9415732595007285e-06,4.706844358715045e-10
1866,2.2634830258994043e-06,0.0
1867,1.7790406587891994e-06,4.85281148598915e-10
1868,1.8954296194806375e-06,6.421836395986702e-09
1869,2.3216249758206686e-06,0.0
1870,1.7362700077683257e-06,5.734048791339319e-10
1871,2.3440938150542934e-06,0.0
1872,1.9925983565372007e-06,6.047339295989218e-10
1873,2.0184807567602547e-06,1.7958012854535355e-09
1874,1.8240481267639552e-06,0.0
1875,1.7645189984705212e-06,5.149374260327022e-09
1876,1.6971163461221295e-06,6.04601479992084e-10
1877,1.6606230701654567e-06,0.0
1878,1.9983344827778637e-06,0.0
1879,1.8492927154056815e-06,2.443730107160036e-09
1880,2.325185675999819e-06,0.0
1881,1.7389434248116231e-06,4.8807553554297556e-09
1882,1.6538632507945294e-06,1.9966155395678697e-09
1883,1.924238716810578e-06,0.0
1884,1.7817980051404447e-06,1.3203393933736152e-09
1885,2.1090120299049886e-06,1.2891271383708158e-09
1886,1.8844114038074622e-06,1.2906927748801422e-09
1887,2.4183137270483712e-06,6.528924623161458e-10
1888,1.9351556375113432e-06,6.340614699951175e-10
1889,1.8588661134799622e-06,3.759081934617825e-09
1890,2.0574218808633304e-06,2.1629475099871343e-08
1891,2.0110664706862735e-06,0.0
1892,2.0103118743008963e-06,0.0
1893,2.0372041547034314e-06,2.463366621796581e-09
1894,2.0064100851868716e-06,0.0
1895,1.999985641987223e-06,0.0
1896,2.4962124030025734e-06,4.717623180994224e-09
1897,2.2508593815473432e-06,0.0
1898,2.3233206150052865e-06,2.26334195829736e-09
1899,2.076158466479683e-06,2.2110313580014918e-09
1900,1.6751527880387584e-06,3.114631885736685e-09
1901,2.2466730627002107e-06,5.588738916095792e-10
1902,1.9724610353932803e-06,9.820567692386817e-10
1903,2.2923934182017547e-06,5.400220270956879e-10
